# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "16" "-F" "SAF" "-a" "B.SAF" "-o" "B_counts.txt" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_RR.bam" 
Geneid	Chr	Start	End	Strand	Length	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_RR.bam
NA_peak_512_G_Tb927.3.3760	Tb927_03_v5.1	1050912	1051812	.	901	3851	13085	12005	11673	32	1513	64	86	63	89	95	421	1	3	344	389	1	3	357	348	1	2	304	0	1	0	0	0	33	58	1	0	1	0	1
NA_peak_513_G_Tb927.3.3780	Tb927_03_v5.1	1054031	1054930	.	900	3978	13029	11951	11687	30	1496	43	112	66	87	99	393	2	2	349	398	0	1	310	350	0	2	311	0	0	2	0	0	43	56	0	0	1	0	0
NA_peak_514_R_Tb927.3.3790	Tb927_03_v5.1	1055565	1058212	.	2648	144	5034	4553	5728	40	44	22	1	2	1	5	5	0	7	53	0	0	7	80	1	0	14	69	1	3	1	1	0	2	0	0	0	0	0	0
NA_peak_515_G_Tb927.3.3830	Tb927_03_v5.1	1064714	1065170	.	457	12	43	5	10	26	69	42	0	0	0	0	3	0	0	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	2
NA_peak_516_G_Tb927.3.3840	Tb927_03_v5.1	1066134	1067140	.	1007	226	234	409	334	18	49	31	4	2	1	3	8	0	2	5	8	0	0	9	9	0	1	14	0	1	0	0	0	1	0	0	1	0	0	0
NA_peak_517_G_Tb927.3.3940	Tb927_03_v5.1	1105993	1106754	.	762	346	357	406	895	247	212	314	15	9	0	0	0	27	14	0	2	26	25	0	0	43	68	0	9	5	0	0	10	11	0	0	16	11	0	0
NA_peak_518_G_Tb927.3.3950	Tb927_03_v5.1	1109149	1111428	.	2280	4505	6984	565	73	3997	1570	1972	17	67	90	9	3	104	118	1	0	13	17	0	0	3	0	0	50	50	40	29	27	6	2	18	53	5	6	28
NA_peak_519_G_Tb927.3.3960	Tb927_03_v5.1	1113432	1115501	.	2070	1758	9069	10408	18316	13	43	17	89	3	5	67	255	3	20	156	210	5	45	157	304	8	59	216	0	0	0	0	0	1	1	0	1	2	0	0
NA_peak_522_R_Tb927.3.4000	Tb927_03_v5.1	1121737	1122328	.	592	0	30	4	13	0	4	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_523_G_Tb927.3.4005	Tb927_03_v5.1	1123929	1126150	.	2222	1849	2285	1817	784	2883	2694	3809	22	25	18	7	51	5	4	25	46	0	3	16	14	0	2	15	9	51	37	6	9	48	35	8	15	50	43	3
NA_peak_525_G_Tb927.3.4040	Tb927_03_v5.1	1138056	1139853	.	1798	2589	3524	3630	4392	523	682	622	73	19	32	53	15	94	92	0	18	100	91	3	23	74	118	4	14	0	7	10	6	0	13	3	11	2	1	5
NA_peak_526_G_Tb927.3.4060	Tb927_03_v5.1	1141789	1143571	.	1783	6175	9311	6692	4893	3596	2531	1795	103	23	27	52	162	30	31	47	102	11	21	41	97	1	4	34	10	46	21	4	0	26	11	1	8	19	9	1
NA_peak_528_R_Tb927.3.4070	Tb927_03_v5.1	1147759	1147989	.	231	620	554	485	776	430	441	436	2	0	3	12	0	6	14	0	0	0	13	0	0	3	25	0	1	0	0	36	0	0	0	41	1	0	2	35
NA_peak_530_G_Tb927.3.4090	Tb927_03_v5.1	1151576	1152670	.	1095	4805	5355	5905	6926	4965	5093	4913	82	6	47	158	2	15	256	5	2	10	263	4	3	15	302	2	5	1	6	124	4	1	0	127	9	1	10	121
NA_peak_533_R_Tb927.3.4110	Tb927_03_v5.1	1156522	1157194	.	673	2127	2959	2910	4061	967	1008	857	104	30	5	20	0	64	12	2	1	78	25	2	0	107	25	0	0	0	0	18	2	0	0	21	2	0	1	19
NA_peak_534_G_Tb927.3.4160	Tb927_03_v5.1	1168335	1169640	.	1306	8568	8446	9953	8646	4366	1660	627	132	204	270	92	164	114	136	146	156	159	184	126	96	165	223	72	93	18	17	96	40	2	10	32	9	4	5	7
NA_peak_535_G_Tb927.3.4180	Tb927_03_v5.1	1172748	1173521	.	774	93	160	50	35	77	16	81	7	5	4	0	3	4	5	3	1	0	0	1	3	0	0	1	0	2	4	0	0	2	0	0	0	6	2	0
NA_peak_536_G_Tb927.3.4230	Tb927_03_v5.1	1189802	1190537	.	736	5124	9197	9712	6439	1396	1404	909	99	86	116	162	48	277	418	80	41	319	424	75	16	212	305	29	1	0	17	137	0	0	0	155	0	0	1	123
NA_peak_537_G_Tb927.3.4250	Tb927_03_v5.1	1195690	1196721	.	1032	1797	3662	2642	2849	1135	10	16	53	18	21	53	40	3	78	62	0	11	83	11	4	8	95	3	29	1	2	43	0	0	0	0	0	0	0	0
NA_peak_538_G_Tb927.3.4270	Tb927_03_v5.1	1201010	1202195	.	1186	3384	4006	968	477	6879	1668	2692	49	70	139	61	103	16	22	99	13	19	20	27	0	10	18	1	154	1	2	159	47	0	0	51	72	0	5	81
NA_peak_542_G_Tb927.3.4450	Tb927_03_v5.1	1246795	1248152	.	1358	539	1554	856	663	491	180	153	10	5	12	7	5	42	49	0	6	28	19	0	3	19	19	1	13	2	1	7	4	1	1	3	4	1	0	2
NA_peak_543_G_Tb927.3.4500	Tb927_03_v5.1	1257015	1258346	.	1332	1112	2106	1979	2237	560	311	506	73	6	1	48	86	1	5	29	80	2	7	38	86	0	4	42	2	21	10	0	0	11	5	0	9	15	14	1
NA_peak_544_G_Tb927.3.4510	Tb927_03_v5.1	1259673	1260354	.	682	3	279	121	13	17	0	5	0	0	0	0	0	3	16	2	0	3	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
NA_peak_545_G_Tb927.3.4520	Tb927_03_v5.1	1263333	1264965	.	1633	1106	2201	942	270	2180	1760	2458	12	12	21	16	18	42	47	14	4	19	15	0	1	5	15	0	25	18	15	32	26	13	8	26	42	13	17	47
NA_peak_546_G_Tb927.3.4560	Tb927_03_v5.1	1270167	1271903	.	1737	2313	4619	5845	9559	1090	306	1656	70	7	7	94	31	93	106	21	31	115	135	9	33	210	227	22	30	0	0	27	9	0	1	8	101	0	1	123
NA_peak_547_G_Tb927.3.4590	Tb927_03_v5.1	1281756	1282917	.	1162	83	173	99	92	168	228	167	3	3	1	1	5	5	3	1	2	1	1	1	2	1	0	2	10	1	0	5	11	0	1	5	3	0	1	5
NA_peak_548_R_Tb927.3.4640	Tb927_03_v5.1	1314774	1315066	.	293	4	41	13	28	0	0	3	1	0	0	0	0	0	2	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_550_G_Tb927.3.4650	Tb927_03_v5.1	1316837	1317661	.	825	80	583	555	703	260	256	500	3	1	0	7	21	0	5	26	21	1	3	22	27	2	5	23	0	6	9	0	0	3	7	1	0	16	13	0
NA_peak_551_G_Tb927.3.4710	Tb927_03_v5.1	1329129	1330088	.	960	1371	1751	1315	1520	4042	1368	52	2	44	50	0	1	53	81	1	0	43	64	0	2	51	80	0	1	112	163	0	0	55	54	0	1	0	0	4
NA_peak_552_G_Tb927.3.4760	Tb927_03_v5.1	1342247	1343763	.	1517	2614	6898	5196	3888	1379	268	264	16	24	67	34	77	48	139	115	52	33	105	78	17	37	78	38	6	0	2	39	4	0	1	8	0	0	0	10
NA_peak_553_R_Tb927.3.4800	Tb927_03_v5.1	1352271	1352520	.	250	242	759	511	361	170	41	56	7	16	0	0	47	45	0	0	34	27	0	0	20	23	0	0	5	2	1	0	3	1	0	0	1	2	0	0
NA_peak_556_G_Tb927.3.4960	Tb927_03_v5.1	1394401	1395149	.	749	2053	3360	1485	652	2217	889	104	21	63	32	23	3	133	74	1	3	47	38	6	0	19	13	1	1	85	57	0	0	36	28	0	1	3	4	2
NA_peak_557_G_Tb927.3.4970	Tb927_03_v5.1	1396605	1398722	.	2118	1	249	8	323	7	45	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NA_peak_559_G_Tb927.3.5010	Tb927_03_v5.1	1406661	1407641	.	981	8441	9867	6195	792	3881	3662	2993	196	130	46	31	283	0	1	89	203	2	0	49	27	0	0	8	108	33	1	32	87	60	1	22	38	87	0	5
NA_peak_560_R_Tb927.3.5010	Tb927_03_v5.1	1407273	1407526	.	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_562_G_Tb927.3.5020	Tb927_03_v5.1	1412550	1414331	.	1782	2828	6493	6135	6654	2228	1490	2372	36	68	61	24	140	6	27	84	134	11	32	71	141	9	16	104	3	42	43	0	0	20	40	0	7	41	40	0
NA_peak_563_R_Tb927.3.5040	Tb927_03_v5.1	1417539	1418007	.	469	421	1553	868	941	919	621	423	1	0	14	7	0	0	30	92	0	0	17	53	0	0	11	49	0	0	78	2	0	1	45	2	0	0	40	1
NA_peak_564_G_Tb927.3.5050	Tb927_03_v5.1	1418191	1419216	.	1026	1650	2936	2170	2123	1561	1077	751	25	70	51	10	108	13	12	17	89	3	3	21	62	0	1	14	2	52	1	0	2	40	1	2	9	25	1	0
NA_peak_565_G_Tb927.3.5070	Tb927_03_v5.1	1423645	1425366	.	1722	656	1516	1150	871	3128	1617	2285	22	15	10	10	37	1	7	23	31	4	8	13	24	0	5	16	38	51	26	30	15	31	32	5	41	26	24	15
NA_peak_566_G_Tb927.3.5080	Tb927_03_v5.1	1428232	1429433	.	1202	69	465	784	817	160	109	38	4	2	0	0	10	0	2	16	13	0	1	15	20	0	1	16	3	5	0	0	3	3	0	0	1	1	0	0
NA_peak_568_G_Tb927.3.5130	Tb927_03_v5.1	1439851	1440970	.	1120	330	1719	1286	1229	605	483	639	5	3	8	4	39	3	8	30	36	0	5	20	40	1	1	10	2	18	2	2	0	8	4	2	1	15	10	1
NA_peak_569_G_Tb927.3.5140	Tb927_03_v5.1	1445252	1446096	.	845	522	853	798	396	220	124	21	6	15	9	3	15	33	23	12	8	30	25	4	4	14	10	2	9	0	2	2	1	8	1	1	1	1	0	0
NA_peak_571_G_Tb927.3.5180	Tb927_03_v5.1	1454574	1456024	.	1451	94	1851	858	928	42	22	12	1	4	0	5	42	28	29	24	10	18	14	5	14	20	24	5	1	0	0	1	0	0	0	0	0	0	0	0
NA_peak_572_G_Tb927.3.5190	Tb927_03_v5.1	1459000	1459595	.	596	734	1502	898	78	99	40	63	26	5	0	17	60	0	0	64	39	0	0	43	3	0	0	0	4	1	0	3	1	2	0	0	0	4	0	0
NA_peak_573_G_Tb927.3.5220	Tb927_03_v5.1	1466869	1468700	.	1832	3355	1996	2116	2398	552	435	507	103	4	18	139	44	1	8	40	46	2	8	36	48	0	6	54	2	15	17	0	2	4	11	1	0	23	25	1
NA_peak_574_G_Tb927.3.5250	Tb927_03_v5.1	1475191	1475782	.	592	531	5179	3901	3337	31	4	3	17	32	31	13	305	3	3	266	237	2	2	202	241	1	1	176	0	0	0	3	0	1	0	0	0	0	0	0
NA_peak_575_R_Tb927.3.5300	Tb927_03_v5.1	1488161	1489571	.	1411	32	6	13	174	54	25	19	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0
NA_peak_576_G_Tb927.3.5360	Tb927_03_v5.1	1503803	1504506	.	704	1013	3325	673	942	12	2	10	0	65	37	0	11	126	139	12	1	26	27	5	5	40	32	1	0	0	0	2	0	0	0	0	0	0	0	0
NA_peak_577_G_Tb927.3.5390	Tb927_03_v5.1	1511265	1511570	.	306	4	12	4	5	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_578_G_Tb927.3.5400	Tb927_03_v5.1	1513401	1514743	.	1343	542	740	466	230	1035	738	1030	12	8	7	7	13	2	1	16	2	1	1	3	3	0	1	0	2	21	19	3	1	21	17	0	7	19	15	0
NA_peak_579_G_Tb927.3.5420	Tb927_03_v5.1	1518866	1519440	.	575	1470	2994	2068	446	1736	1474	1770	23	56	65	6	16	100	147	0	14	93	114	0	2	20	26	0	22	40	0	0	1	53	0	0	12	54	0	0
NA_peak_580_G_Tb927.3.5430	Tb927_03_v5.1	1520364	1521139	.	776	1815	3476	3050	23	1818	209	345	22	58	52	23	8	114	121	3	0	101	99	11	0	2	1	0	20	50	51	9	7	0	0	5	6	0	1	17
NA_peak_581_G_Tb927.3.5520	Tb927_03_v5.1	1545467	1546987	.	1521	1102	7282	7183	7437	2090	957	1742	17	13	17	5	154	8	29	106	140	1	36	110	160	4	24	112	0	38	32	6	2	30	16	0	6	29	35	0
NA_peak_582_G_Tb927.3.5550	Tb927_03_v5.1	1558768	1560383	.	1616	2620	11644	8572	7997	2627	1822	2331	31	91	50	12	390	10	18	305	267	7	15	225	262	10	14	223	8	58	42	0	0	45	22	0	23	62	25	3
NA_peak_583_G_Tb927.3.5580	Tb927_03_v5.1	1562625	1563945	.	1321	12378	16400	9215	3840	3216	1784	2331	180	100	214	148	352	2	10	243	199	1	4	153	102	1	2	87	33	42	35	45	0	36	45	4	11	48	58	3
NA_peak_584_G_Tb927.3.5660	Tb927_03_v5.1	1582375	1583733	.	1359	801	3810	2564	3399	1576	955	1586	49	3	6	37	89	1	15	73	73	1	11	60	91	1	10	77	6	31	36	5	0	17	27	0	9	29	42	1
NA_peak_603_G_Tb927.4.360	Tb927_04_v5.1	106764	108376	.	1613	6616	1916	1531	638	1643	349	414	127	49	0	49	162	39	3	5	135	23	4	1	39	11	0	2	20	15	0	0	6	0	0	0	25	2	0	1
NA_peak_603.2_G_Tb927.4.360	Tb927_04_v5.1	107980	108376	.	397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_604_R_Tb927.4.380	Tb927_04_v5.1	111950	112863	.	914	68	616	275	366	344	441	176	2	3	3	0	1	19	26	1	1	10	7	0	0	12	9	0	13	8	8	2	13	0	0	10	6	0	0	9
NA_peak_605_G_Tb927.4.400	Tb927_04_v5.1	115101	116197	.	1097	532	1595	826	677	256	16	22	4	11	21	3	41	16	6	18	32	13	3	8	22	2	3	5	2	4	7	0	0	0	0	0	1	0	0	0
NA_peak_606_G_Tb927.4.410	Tb927_04_v5.1	116295	117793	.	1499	3965	14196	7575	4719	3832	91	662	165	1	9	56	381	23	21	167	243	7	16	107	151	4	10	73	128	3	8	56	2	1	0	0	37	1	0	19
NA_peak_607_G_Tb927.4.420	Tb927_04_v5.1	118201	119317	.	1117	4768	17535	17296	13988	2695	89	1076	77	102	125	50	563	95	152	316	661	47	71	357	478	55	73	305	27	76	75	31	0	3	1	1	1	34	44	3
NA_peak_608_G_Tb927.4.430	Tb927_04_v5.1	126526	128620	.	2095	192	1723	1499	1125	119	483	144	1	3	4	1	9	27	41	7	2	41	47	2	3	17	29	0	5	0	1	1	10	0	1	7	3	0	0	5
NA_peak_609_G_Tb927.4.450	Tb927_04_v5.1	130497	131439	.	943	4419	24162	27227	30344	77	21	20	51	104	101	39	13	431	630	1	7	488	770	0	18	516	847	0	2	1	0	3	0	2	0	0	0	0	0	0
NA_peak_610_G_Tb927.4.460	Tb927_04_v5.1	134309	136324	.	2016	5884	33017	27921	31904	4837	4268	3843	38	79	35	40	54	451	263	10	44	388	227	11	37	417	280	11	96	5	3	77	71	1	15	76	59	16	28	61
NA_peak_611_R_Tb927.4.480	Tb927_04_v5.1	138220	138676	.	457	0	91	2	6	2	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_612_G_Tb927.4.500	Tb927_04_v5.1	141029	142383	.	1355	700	491	494	655	3836	2682	2864	5	9	16	8	17	5	3	9	14	4	6	14	14	9	13	8	14	31	36	30	16	13	23	41	19	31	34	22
NA_peak_614_G_Tb927.4.560	Tb927_04_v5.1	150400	152146	.	1747	4130	23434	24436	32614	83	24	9	2	159	92	1	13	572	468	3	14	586	483	1	12	689	649	4	0	2	2	0	0	2	1	0	0	1	0	0
NA_peak_615_G_Tb927.4.660	Tb927_04_v5.1	187632	188612	.	981	3274	10395	9843	3543	4280	2480	1922	14	97	140	17	3	223	551	3	2	232	506	6	1	166	257	0	7	67	131	12	2	81	92	7	1	56	77	13
NA_peak_617_G_Tb927.4.700	Tb927_04_v5.1	196047	196939	.	893	2079	6801	1303	1944	105	245	227	69	46	40	35	2	191	189	0	0	45	47	0	2	79	58	0	1	0	0	2	10	0	0	8	6	0	0	10
NA_peak_618_R_Tb927.4.710	Tb927_04_v5.1	198459	198722	.	264	1	44	3	8	28	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	3	0	0	0	1	0	0	0	0
NA_peak_619_R_Tb927.4.710	Tb927_04_v5.1	198956	199433	.	478	12	57	11	11	6	2	5	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
NA_peak_620_G_Tb927.4.720	Tb927_04_v5.1	201604	202829	.	1226	2347	893	1126	2901	3025	1613	2743	32	118	78	14	1	21	15	0	1	35	22	1	0	69	59	0	151	10	13	100	98	0	0	63	147	0	0	93
NA_peak_621_G_Tb927.4.750	Tb927_04_v5.1	206879	207401	.	523	30	118	119	177	9	3	26	1	0	0	1	8	2	1	0	2	0	0	1	7	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0
NA_peak_622_G_Tb927.4.770	Tb927_04_v5.1	211140	212597	.	1458	3341	5598	3581	4202	272	220	313	66	92	63	40	48	73	124	37	22	67	98	24	21	72	119	22	4	9	2	1	0	10	2	0	0	8	0	0
NA_peak_623_G_Tb927.4.790	Tb927_04_v5.1	217119	217450	.	332	402	5779	5800	6655	170	126	94	41	3	0	41	521	8	0	530	542	2	0	566	607	0	0	606	3	8	0	0	8	6	0	0	0	8	0	0
NA_peak_624_G_Tb927.4.870	Tb927_04_v5.1	237081	237944	.	864	332	4027	3312	4284	126	288	18	5	9	5	7	42	77	103	24	19	53	90	8	6	90	150	1	3	2	0	5	10	1	0	13	1	0	0	0
NA_peak_626_R_Tb927.4.960	Tb927_04_v5.1	262880	263230	.	351	10	16	2	113	2	2	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_627_G_Tb927.4.1000	Tb927_04_v5.1	271198	273524	.	2327	691	2500	2156	2536	162	2	177	10	2	6	7	19	34	36	24	9	41	13	13	12	36	29	6	3	1	3	1	0	0	0	0	2	3	1	5
NA_peak_628_R_Tb927.4.1000	Tb927_04_v5.1	274264	274811	.	548	4	52	47	72	2	0	0	0	0	0	0	4	0	2	2	1	0	0	2	3	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_629_G_Tb927.4.1030	Tb927_04_v5.1	278790	280508	.	1719	2337	13146	5086	4175	3077	1606	2553	28	43	61	17	17	219	246	3	8	122	122	0	3	94	89	0	42	24	24	46	35	1	3	40	50	4	13	44
NA_peak_633_G_Tb927.4.1220	Tb927_04_v5.1	326957	328620	.	1664	592	5206	5120	6316	167	79	741	18	19	10	7	33	124	110	11	17	139	119	5	14	176	144	1	14	2	0	2	2	1	0	7	63	0	1	53
NA_peak_634_G_Tb927.4.1270	Tb927_04_v5.1	334666	336833	.	2168	6445	27537	37389	50821	7129	6479	7527	56	72	97	66	95	312	437	17	115	422	598	20	162	494	749	25	118	8	4	114	113	1	4	106	111	3	22	130
NA_peak_635_G_Tb927.4.1300	Tb927_04_v5.1	339148	341686	.	2539	5242	26759	39192	57728	5051	4194	6065	110	27	22	87	75	255	350	11	120	371	555	21	136	493	727	21	76	1	1	68	54	1	1	53	97	1	11	108
NA_peak_637_G_Tb927.4.1360	Tb927_04_v5.1	355581	356525	.	945	950	1044	445	1277	1720	1540	2115	12	19	22	11	2	14	27	4	4	16	8	2	20	25	15	19	19	3	21	31	19	7	18	18	36	10	16	35
NA_peak_638_G_Tb927.4.1390	Tb927_04_v5.1	359074	360111	.	1038	682	1364	948	1554	413	409	602	8	22	10	3	47	1	8	35	27	0	7	29	52	0	8	35	3	12	8	0	1	14	10	0	4	17	12	1
NA_peak_639_G_Tb927.4.1540	Tb927_04_v5.1	398084	398740	.	657	1532	1432	3845	2036	141	249	211	34	23	88	48	0	74	70	2	0	160	185	0	0	88	100	0	0	0	2	10	0	1	1	12	0	0	3	10
NA_peak_642_G_Tb927.4.1610	Tb927_04_v5.1	411254	412479	.	1226	3524	9007	6303	2498	1292	1103	932	110	16	11	70	234	1	2	140	187	0	0	101	62	0	0	45	26	26	18	15	20	21	16	6	24	17	10	20
