chr - Tb927_01_v5.1 1 0 1064671 grey
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 274458 288982 white
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 288983 295025 black
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 295026 505657 white
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 505658 562239 black
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 562240 688174 white
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 688175 747903 black
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 747904 933720 white
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 933721 980388 black
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 980389 1020467 white
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 1020468 1159512 black
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 1159513 1296162 white
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 1296163 1396892 black
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 1396893 1440266 white
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 1440267 1677923 black
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 1677924 1693595 white
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 1693596 1758913 black
band Tb927_05_v5.1 Tb927_05_v5.1_band Tb927_05_v5.1_band 1758914 1802302 white
band Tb927_06_v5.1 Tb927_06_v5.1_band Tb927_06_v5.1_band 0 22847 white
band Tb927_06_v5.1 Tb927_06_v5.1_band Tb927_06_v5.1_band 22848 41685 black
band Tb927_06_v5.1 Tb927_06_v5.1_band Tb927_06_v5.1_band 41686 49718 white
band Tb927_06_v5.1 Tb927_06_v5.1_band Tb927_06_v5.1_band 49719 85658 black
band Tb927_06_v5.1 Tb927_06_v5.1_band Tb927_06_v5.1_band 85659 90142 white
band Tb927_06_v5.1 Tb927_06_v5.1_band Tb927_06_v5.1_band 90143 108072 black
band Tb927_06_v5.1 Tb927_06_v5.1_band Tb927_06_v5.1_band 108073 121347 white
band Tb927_06_v5.1 Tb927_06_v5.1_band Tb927_06_v5.1_band 121348 150932 black
band Tb927_06_v5.1 Tb927_06_v5.1_band Tb927_06_v5.1_band 150933 173050 white
band Tb927_06_v5.1 Tb927_06_v5.1_band Tb927_06_v5.1_band 173051 190559 black
band Tb927_06_v5.1 Tb927_06_v5.1_band Tb927_06_v5.1_band 190560 238070 white
band Tb927_06_v5.1 Tb927_06_v5.1_band Tb927_06_v5.1_band 238071 316052 black
band Tb927_06_v5.1 Tb927_06_v5.1_band Tb927_06_v5.1_band 316053 339530 white
band Tb927_06_v5.1 Tb927_06_v5.1_band Tb927_06_v5.1_band 339531 484266 black
band Tb927_06_v5.1 Tb927_06_v5.1_band Tb927_06_v5.1_band 484267 485474 white
band Tb927_06_v5.1 Tb927_06_v5.1_band Tb927_06_v5.1_band 485475 690009 black
band Tb927_06_v5.1 Tb927_06_v5.1_band Tb927_06_v5.1_band 690010 995713 white
band Tb927_06_v5.1 Tb927_06_v5.1_band Tb927_06_v5.1_band 995714 1285447 black
band Tb927_06_v5.1 Tb927_06_v5.1_band Tb927_06_v5.1_band 1285448 1442499 white
band Tb927_06_v5.1 Tb927_06_v5.1_band Tb927_06_v5.1_band 1442500 1610843 black
band Tb927_06_v5.1 Tb927_06_v5.1_band Tb927_06_v5.1_band 1610844 1612056 white
band Tb927_06_v5.1 Tb927_06_v5.1_band Tb927_06_v5.1_band 1612057 1618914 black
band Tb927_04_v5.1 Tb927_04_v5.1_band Tb927_04_v5.1_band 0 10208 black
band Tb927_04_v5.1 Tb927_04_v5.1_band Tb927_04_v5.1_band 10209 34665 white
band Tb927_04_v5.1 Tb927_04_v5.1_band Tb927_04_v5.1_band 34666 319453 black
band Tb927_04_v5.1 Tb927_04_v5.1_band Tb927_04_v5.1_band 319454 322147 white
band Tb927_04_v5.1 Tb927_04_v5.1_band Tb927_04_v5.1_band 322148 325765 black
band Tb927_04_v5.1 Tb927_04_v5.1_band Tb927_04_v5.1_band 325766 326097 white
band Tb927_04_v5.1 Tb927_04_v5.1_band Tb927_04_v5.1_band 326098 539207 black
band Tb927_04_v5.1 Tb927_04_v5.1_band Tb927_04_v5.1_band 539208 842650 white
band Tb927_04_v5.1 Tb927_04_v5.1_band Tb927_04_v5.1_band 842651 860772 black
band Tb927_04_v5.1 Tb927_04_v5.1_band Tb927_04_v5.1_band 860773 860888 white
band Tb927_04_v5.1 Tb927_04_v5.1_band Tb927_04_v5.1_band 860889 861085 black
band Tb927_04_v5.1 Tb927_04_v5.1_band Tb927_04_v5.1_band 861086 862350 white
band Tb927_04_v5.1 Tb927_04_v5.1_band Tb927_04_v5.1_band 862351 972195 black
band Tb927_04_v5.1 Tb927_04_v5.1_band Tb927_04_v5.1_band 972196 981051 white
band Tb927_04_v5.1 Tb927_04_v5.1_band Tb927_04_v5.1_band 981052 1476951 black
band Tb927_04_v5.1 Tb927_04_v5.1_band Tb927_04_v5.1_band 1476952 1488144 white
band Tb927_04_v5.1 Tb927_04_v5.1_band Tb927_04_v5.1_band 1488145 1590431 black
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 0 122245 white
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 122246 124232 black
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 124233 135691 white
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 135692 445969 black
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 445970 454109 white
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 454110 460825 black
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 460826 555010 white
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 555011 626527 black
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 626528 793611 white
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 793612 794574 black
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 794575 854287 white
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 854288 854455 black
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 854456 857769 white
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 857770 858104 black
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 858105 858428 white
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 858429 858597 black
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 858598 860994 white
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 860995 861364 black
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 861365 861526 white
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 861527 861694 black
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 861695 865404 white
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 865405 877264 black
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 877265 1053324 white
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 1053325 1053538 black
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 1053539 1057217 white
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 1057218 1450506 black
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 1450507 1589231 white
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 1589232 1613112 black
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 1613113 1897689 white
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 1897690 1999214 black
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 1999215 2096000 white
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 2096001 2115949 black
band Tb927_08_v5.1 Tb927_08_v5.1_band Tb927_08_v5.1_band 2115950 2481189 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 0 176770 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 176771 475120 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 475121 566028 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 566029 700925 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 700926 909897 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 909898 914996 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 914997 924685 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 924686 1207310 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 1207311 1288540 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 1288541 1368733 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 1368734 1378216 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 1378217 1684695 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 1684696 1898857 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 1898858 1903705 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 1903706 2027795 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 2027796 2110577 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 2110578 2247398 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 2247399 2573579 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 2573580 2580541 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 2580542 2581171 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 2581172 2657284 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 2657285 3048000 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 3048001 3051564 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 3051565 3205877 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 3205878 3208174 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 3208175 3210706 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 3210707 3215823 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 3215824 3218913 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 3218914 3222629 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 3222630 3405503 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 3405504 3512886 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 3512887 3515189 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 3515190 3526843 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 3526844 3530687 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 3530688 3530957 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 3530958 3533310 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 3533311 3653361 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 3653362 3853438 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 3853439 3855018 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 3855019 3887117 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 3887118 4283380 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 4283381 4288419 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 4288420 4549948 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 4549949 4565172 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 4565173 4588371 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 4588372 4606104 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 4606105 4624607 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 4624608 4671905 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 4671906 4690410 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 4690411 4714771 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 4714772 4741710 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 4741711 4778313 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 4778314 4844927 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 4844928 4854106 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 4854107 4925726 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 4925727 4966188 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 4966189 5059558 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 5059559 5082131 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 5082132 5089936 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 5089937 5130636 white
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 5130637 5133507 black
band Tb927_11_v5.1 Tb927_11_v5.1_band Tb927_11_v5.1_band 5133508 5223312 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 0 23058 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 23059 27788 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 27789 58918 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 58919 278918 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 278919 453239 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 453240 466528 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 466529 475898 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 475899 619326 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 619327 637414 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 637415 796733 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 796734 802452 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 802453 938616 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 938617 1102799 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 1102800 1129418 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 1129419 1132091 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 1132092 1133222 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 1133223 1236473 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 1236474 1423503 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 1423504 1633085 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 1633086 1801220 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 1801221 1887983 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 1887984 1890469 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 1890470 1923734 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 1923735 1927882 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 1927883 1927994 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 1927995 1928829 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 1928830 1928973 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 1928974 1929079 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 1929080 1984471 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 1984472 1985101 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 1985102 2061587 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 2061588 2350951 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 2350952 2357426 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 2357427 2510571 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 2510572 2647482 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 2647483 2647633 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 2647634 2647807 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 2647808 2650318 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 2650319 2757277 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 2757278 2984627 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 2984628 3048057 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 3048058 3049382 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 3049383 3049735 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 3049736 3050377 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 3050378 3172062 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 3172063 3176363 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 3176364 3302975 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 3302976 3304582 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 3304583 3478084 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 3478085 3479229 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 3479230 3624744 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 3624745 4004719 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 4004720 4027020 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 4027021 4046328 white
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 4046329 4050206 black
band Tb927_10_v5.1 Tb927_10_v5.1_band Tb927_10_v5.1_band 4050207 4144374 white
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 0 19125 black
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 19126 160734 white
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 160735 171360 black
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 171361 172752 white
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 172753 179434 black
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 179435 185885 white
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 185886 186433 black
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 186434 327680 white
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 327681 471071 black
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 471072 477535 white
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 477536 690643 black
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 690644 877410 white
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 877411 887829 black
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 887830 1182191 white
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 1182192 1774912 black
band Tb927_09_v5.1 Tb927_09_v5.1_band Tb927_09_v5.1_band 1774913 2080922 white
