# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-O" "-T" "8" "-F" "SAF" "-a" "merge_macs_BSF_G/merge_macs_BSF_G.SAF" "-o" "merge_macs_BSF_G/merge_macs_BSF_G_counts.txt" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_RR.bam" 
Geneid	Chr	Start	End	Strand	Length	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_RR.bam
NA_peak_32	5K5_v5.1	75789	76411	.	623	789	3840	2118	1597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_33	5K5_v5.1	83886	84829	.	944	685	10199	10026	10552	1	45	0	0	7	332	0	0	3	362	0	0	24	341	0	0
NA_peak_34	5K5_v5.1	85321	85818	.	498	1451	1987	1807	2106	1	3	0	2	3	0	3	0	0	4	1	0	2	3	0	0
NA_peak_35	5K5_v5.1	86510	87462	.	953	1435	2460	1720	3002	8	2	54	41	1	2	103	27	2	0	67	8	33	2	152	48
NA_peak_36	5K5_v5.1	89603	90560	.	958	397	1271	1093	857	21	0	4	4	23	0	0	6	13	2	0	13	20	5	2	10
NA_peak_37	5K5_v5.1	101518	101916	.	399	48	82	67	74	0	0	2	0	1	0	0	1	0	0	0	1	0	0	0	0
NA_peak_38	5K5_v5.1	104843	106555	.	1713	137	430	292	512	0	0	0	0	3	0	0	0	2	1	0	0	5	0	0	0
NA_peak_39	5K5_v5.1	108135	108504	.	370	64	170	149	115	1	2	0	0	3	8	0	0	6	4	0	0	0	4	0	0
NA_peak_40	5K5_v5.1	113171	113475	.	305	429	549	499	586	4	4	0	0	9	4	0	0	4	5	0	0	8	4	0	0
NA_peak_41	5K5_v5.1	113567	113885	.	319	831	844	915	932	0	0	0	0	0	0	1	3	0	0	1	0	0	0	2	2
NA_peak_42	5K5_v5.1	122748	123062	.	315	257	376	390	341	11	8	10	6	20	2	7	11	12	11	9	24	27	1	4	11
NA_peak_43	5K5_v5.1	127078	129039	.	1962	299	1031	1120	784	3	5	3	3	8	26	18	11	18	14	13	5	6	21	11	3
NA_peak_44	5K5_v5.1	133944	135905	.	1962	299	1101	1232	719	2	5	7	1	7	19	23	5	23	16	15	10	10	23	11	7
NA_peak_45	5K5_v5.1	138323	139840	.	1518	2483	7400	6170	6057	21	12	120	103	50	18	197	324	46	3	157	272	48	5	92	296
NA_peak_46	5K5_v5.1	140122	141193	.	1072	2100	4435	3089	2557	31	7	12	56	86	5	3	122	48	0	3	89	24	2	8	61
NA_peak_47	5K5_v5.1	141404	141850	.	447	505	788	685	904	8	1	1	2	7	5	3	4	9	3	1	2	9	4	3	4
NA_peak_48	5K5_v5.1	145583	146393	.	811	1014	2834	1478	2636	28	14	24	22	5	57	161	14	9	19	7	10	20	42	109	11
NA_peak_49	5K5_v5.1	146694	147052	.	359	335	638	585	585	22	37	0	16	50	85	0	2	32	92	0	7	61	98	2	1
NA_peak_50	5K5_v5.1	147416	149506	.	2091	1588	5081	6775	6789	14	13	0	4	83	5	0	2	97	0	0	1	93	1	0	2
NA_peak_51	5K5_v5.1	151831	153151	.	1321	897	5799	5367	2161	3	22	35	1	9	179	186	14	5	199	200	7	12	60	61	9
NA_peak_52	5K5_v5.1	155596	156691	.	1096	920	1996	1973	2084	7	1	9	5	23	2	7	30	15	1	8	29	0	3	11	31
NA_peak_53	5K5_v5.1	157283	158318	.	1036	1375	3466	2657	3837	47	0	3	42	189	0	8	56	83	0	2	68	174	0	4	83
NA_peak_54	FM162566.1	2568	3718	.	1151	7788	10648	8189	9902	109	51	0	21	68	94	0	0	25	65	0	1	47	121	1	1
NA_peak_55	FM162566.1	3857	4219	.	363	3255	4354	3328	3960	7	10	72	87	0	4	81	55	0	0	77	36	13	3	116	38
NA_peak_56	FM162566.1	6306	6607	.	302	3849	4563	3816	4095	5	4	118	120	0	0	225	63	0	0	176	36	1	0	192	35
NA_peak_57	FM162566.1	8951	10542	.	1592	4589	8348	7133	8260	52	26	48	60	51	59	80	66	24	51	71	55	46	51	91	84
NA_peak_58	FM162566.1	10596	11958	.	1363	3400	8083	6551	7447	24	67	110	83	101	62	173	264	109	62	157	154	41	172	302	135
NA_peak_59	FM162566.1	14639	15009	.	371	1181	1195	1534	1504	5	6	29	30	1	0	9	3	0	0	15	0	0	0	9	0
NA_peak_60	FM162566.1	15631	17330	.	1700	5285	10759	7816	9289	79	81	106	35	150	99	137	94	122	72	82	58	153	92	130	81
NA_peak_61	FM162566.1	17633	18021	.	389	1305	1977	1638	2607	14	11	63	70	25	3	87	69	25	2	54	65	125	2	106	64
NA_peak_62	FM162566.1	18029	18470	.	442	567	1080	897	3198	2	2	18	33	0	0	17	37	1	0	2	32	70	1	17	123
NA_peak_63	FM162566.1	19424	20403	.	980	1198	3464	1864	2951	60	7	30	65	59	123	28	59	11	53	19	43	70	84	39	71
NA_peak_64	FM162566.1	20414	20853	.	440	753	1579	609	936	32	1	10	1	14	7	145	6	2	0	72	1	0	6	130	3
NA_peak_65	FM162566.1	26160	26942	.	783	842	950	859	2535	16	37	46	15	10	25	26	28	15	12	17	37	47	118	117	48
NA_peak_66	FM162566.1	29217	29847	.	631	1578	2242	1958	2349	13	9	16	25	8	21	10	1	0	27	10	0	0	26	14	0
NA_peak_67	FM162566.1	30529	32877	.	2349	14464	27992	21994	25995	130	138	175	85	283	143	178	146	224	85	130	131	371	100	195	128
NA_peak_68	FM162566.1	34315	35132	.	818	928	5145	1703	4359	48	3	3	30	180	41	13	142	48	18	9	40	148	32	11	126
NA_peak_69	FM162566.1	35277	35600	.	324	438	1041	463	792	11	0	0	0	6	7	3	0	2	5	3	0	2	10	13	2
NA_peak_70	FM162566.1	36908	37717	.	810	1167	1230	944	4997	14	58	56	10	15	39	38	15	18	24	17	19	54	231	208	40
NA_peak_71	FM162566.1	39488	40358	.	871	767	1011	869	2682	11	47	22	11	18	29	39	27	22	13	12	32	46	133	127	58
NA_peak_72	FM162566.1	42949	43326	.	378	2763	3486	2096	4212	15	49	26	55	0	3	8	9	0	1	5	2	4	84	34	3
NA_peak_73	FM162566.1	53962	54331	.	370	1176	1724	1969	2182	17	9	4	15	11	4	9	4	11	13	18	6	13	9	2	11
NA_peak_74	FM162566.1	59433	59759	.	327	100	2490	1534	1602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_75	FM162567.1	2371	3178	.	808	7514	10066	8064	10109	129	68	79	44	80	113	66	15	76	92	75	16	79	149	108	76
NA_peak_76	FM162567.1	3794	4251	.	458	3377	4420	3190	4066	18	8	75	122	0	1	95	81	1	0	104	44	18	4	165	75
NA_peak_77	FM162567.1	6137	6604	.	468	3340	4423	3427	3958	14	9	79	129	2	4	116	66	0	1	100	60	17	5	140	66
NA_peak_78	FM162567.1	8375	8709	.	335	3590	4409	3319	3874	7	9	52	56	2	1	71	23	0	0	53	6	6	7	82	13
NA_peak_79	FM162567.1	9520	10090	.	571	1668	1940	1674	4619	57	15	20	7	3	36	25	3	1	21	22	1	5	54	148	6
NA_peak_80	FM162567.1	11195	12864	.	1670	5086	9566	8702	9908	115	56	63	85	106	112	112	82	64	98	108	65	106	97	119	80
NA_peak_81	FM162567.1	13111	14271	.	1161	3285	8146	5684	6571	13	53	87	41	29	20	84	199	37	20	88	81	22	71	247	44
NA_peak_82	FM162567.1	17950	20040	.	2091	5320	10008	7693	7784	102	54	32	23	143	124	60	65	108	99	65	29	101	106	70	15
NA_peak_83	FM162567.1	20054	20440	.	387	591	945	775	1852	7	3	42	27	10	0	48	53	9	0	34	46	131	0	50	56
NA_peak_84	FM162567.1	21874	22941	.	1068	1160	3450	1505	2981	33	2	4	29	20	4	15	25	2	8	10	6	28	14	28	27
NA_peak_85	FM162567.1	26928	27271	.	344	3460	5091	3301	3308	18	1	177	108	0	2	307	25	0	0	196	27	0	0	172	17
NA_peak_86	FM162567.1	28606	29248	.	643	1140	1132	857	2949	9	34	37	11	6	15	46	13	10	10	16	36	17	90	164	42
NA_peak_87	FM162567.1	32793	33263	.	471	1896	2576	1889	2051	61	59	3	2	61	77	2	1	54	39	1	0	74	47	2	1
NA_peak_88	FM162567.1	45358	46703	.	1346	2128	4846	4885	5325	8	51	36	42	36	58	47	45	25	31	36	77	45	46	54	82
NA_peak_89	FM162567.1	48088	48484	.	397	274	541	279	227	9	5	0	0	7	10	0	1	4	4	0	0	6	4	0	0
NA_peak_90	FM162567.1	51082	51754	.	673	65	3614	1968	2066	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_91	GTRYP_4071_4094-1a01.w2k4071	441	927	.	487	1657	2874	2148	2559	1	2	8	10	28	1	15	19	15	7	14	6	27	3	18	7
NA_peak_92	GTRYP_4071_4094-1a01.w2k4071	2404	3778	.	1375	1222	2668	2742	3122	9	6	23	24	9	4	50	68	2	1	31	78	26	12	93	88
NA_peak_93	GTRYP_4071_4094-1a01.w2k4071	10812	11823	.	1012	1058	2314	1354	2100	48	1	0	7	137	9	3	29	86	8	1	0	157	9	0	0
NA_peak_94	GTRYP_4071_4094-1a01.w2k4071	15448	16122	.	675	516	1281	1171	1474	14	5	0	5	48	5	1	0	46	10	1	0	45	9	3	5
NA_peak_95	GTRYP_4071_4094-1a01.w2k4071	16178	16936	.	759	190	690	648	662	1	2	10	3	1	2	18	10	3	1	17	17	6	2	16	15
NA_peak_96	GTRYP_4071_4094-1a01.w2k4071	17832	18266	.	435	929	1472	1287	1453	52	31	0	0	79	35	0	0	78	23	0	0	80	27	3	0
NA_peak_97	M94286.1	1191	3236	.	2046	1167	2495	3095	3069	10	40	2	3	12	75	7	1	19	64	4	4	47	58	7	1
NA_peak_98	M94286.1	4888	6740	.	1853	1979	4653	4173	5868	16	10	23	32	51	25	48	43	36	30	36	45	60	43	75	59
NA_peak_99	M94286.1	6746	9873	.	3128	2782	4361	6444	7433	27	27	40	53	46	31	75	71	37	66	95	83	70	64	143	106
NA_peak_100	M94286.1	10724	12135	.	1412	347	1242	1220	2017	9	12	7	6	38	27	8	4	38	21	10	5	52	34	36	13
NA_peak_101	M94286.1	12219	12519	.	301	111	386	199	376	1	0	6	2	2	1	8	3	0	0	4	8	19	1	3	13
NA_peak_102	M94286.1	12665	13609	.	945	1107	7482	9216	7937	62	5	8	51	316	5	10	219	384	4	7	287	357	2	5	229
NA_peak_103	M94286.1	14134	15981	.	1848	2601	9124	7877	9032	61	5	20	57	71	34	83	134	70	38	57	111	83	44	106	128
NA_peak_104	TP26M21-2a10.p1k	2427	3503	.	1077	2390	4100	3740	3943	0	0	41	79	0	0	74	82	0	0	62	84	0	0	29	139
NA_peak_105	TP26M21-2a10.p1k	4603	6187	.	1585	416	1113	1028	1601	6	4	8	4	12	6	4	11	16	6	6	10	14	16	12	10
NA_peak_106	TP26M21-2a10.p1k	6882	7946	.	1065	701	2120	2009	1836	29	0	0	0	84	1	0	24	65	1	0	22	74	1	0	23
NA_peak_107	TP26M21-2a10.p1k	10850	11383	.	534	19	37	31	97	0	0	0	0	0	2	0	0	1	0	0	0	0	12	0	0
NA_peak_108	TP26M21-2a10.p1k	14054	14719	.	666	42	105	119	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_109	TP26M21-2a10.p1k	14973	15368	.	396	9	34	32	38	0	0	0	1	0	0	0	3	0	0	0	2	0	0	0	1
NA_peak_110	TP26M21-2a10.p1k	16529	16848	.	320	43	115	70	98	0	2	0	0	0	4	0	0	0	2	0	0	1	2	0	0
NA_peak_111	TP26M21-2a10.p1k	22702	23286	.	585	6	25	25	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_112	TP26M21-2a10.p1k	23429	23827	.	399	10	38	28	38	0	0	0	1	0	0	0	2	0	0	0	1	0	0	1	4
NA_peak_113	TP26M21-2a10.p1k	24995	25572	.	578	82	210	138	211	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0	0
NA_peak_114	TP26M21-2a10.p1k	26447	27407	.	961	282	470	392	566	0	0	10	6	0	0	22	5	0	0	16	2	0	0	27	5
NA_peak_115	TP26M21-2a10.p1k	27782	28169	.	388	267	803	585	694	1	2	10	4	6	4	45	3	2	5	25	0	6	3	34	5
NA_peak_116	TP26M21-2a10.p1k	29844	30404	.	561	654	1183	880	1210	17	21	0	3	23	7	0	0	20	9	1	0	31	6	0	1
NA_peak_117	TP26M21-2a10.p1k	30745	31088	.	344	560	1012	750	913	0	0	0	13	2	0	0	46	0	0	0	29	1	0	0	32
NA_peak_118	TP26M21-2a10.p1k	34948	35431	.	484	25	56	69	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_119	TP26P4-1a02.q1ka	3520	4615	.	1096	23	73	58	39	0	1	0	0	0	0	0	0	0	1	1	0	1	0	2	0
NA_peak_120	TP26P4-1a02.q1ka	7246	9191	.	1946	1270	2865	2399	3006	5	11	31	13	1	2	58	26	0	2	46	12	0	1	57	12
NA_peak_121	TP26P4-1a02.q1ka	14851	15188	.	338	369	451	254	826	3	0	7	16	0	0	23	16	0	0	14	11	4	0	11	30
NA_peak_122	TP26P4-3b07.q1k	2164	2767	.	604	122	244	429	430	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
NA_peak_123	TP26P4-3b07.q1k	4968	5290	.	323	1125	1105	1155	1449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_124	TP26P4-3b07.q1k	5722	6071	.	350	519	753	747	965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_125	TP26P4-3b07.q1k	13552	14837	.	1286	1549	4101	2855	3043	0	1	4	0	0	3	0	1	2	4	0	1	1	2	0	0
NA_peak_126	TP26P4-3b07.q1k	16817	17451	.	635	1316	3344	3103	3820	5	11	0	3	3	5	0	0	0	5	0	0	2	10	0	0
NA_peak_127	TP26P4-3b07.q1k	17844	18204	.	361	905	1494	1382	1579	1	0	41	13	0	0	72	4	1	0	70	3	1	1	107	2
NA_peak_128	TP26P4-3b07.q1k	19467	20159	.	693	1244	3213	3198	3632	15	4	6	9	34	4	9	3	28	3	0	1	40	4	10	7
NA_peak_129	TP26P4-3b07.q1k	22268	22692	.	425	20	34	31	64	0	1	0	0	2	0	0	0	3	0	0	0	0	4	1	0
NA_peak_130	TP26P4-3b07.q1k	23797	25087	.	1291	70	449	223	472	1	3	2	0	7	3	5	4	9	0	1	1	13	8	2	1
NA_peak_131	TP26P4-3b07.q1k	29032	29869	.	838	2159	4513	3090	3625	0	5	34	11	1	1	92	73	1	0	58	43	5	0	72	85
NA_peak_132	TP26P4-3b07.q1k	45514	46941	.	1428	175	337	352	456	4	5	3	1	0	8	1	0	3	7	2	0	3	11	1	1
NA_peak_133	TP26P4-3b07.q1k	48874	49291	.	418	619	775	565	827	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0
NA_peak_134	TP26P4-3b07.q1k	49530	49907	.	378	578	719	571	849	0	0	2	32	0	0	22	10	0	0	22	4	0	0	17	8
NA_peak_135	TP26P4-3b07.q1k	52677	53103	.	427	65	205	95	84	2	0	0	1	16	0	0	0	8	0	0	0	6	0	0	0
NA_peak_136	TP26P4-3b07.q1k	54907	55371	.	465	1083	1649	1547	1797	10	2	7	6	3	1	13	12	3	2	5	3	12	1	12	4
NA_peak_137	TP26P4-5g04.p1k	558	956	.	399	354	583	563	679	12	8	1	0	9	17	0	0	31	19	0	0	22	20	0	0
