contig	start	end	peak_id	status	new_start	new_end
Tb927_01_v5.1	847169	848885	NA_peak_401	G		848525
Tb927_01_v5.1	859390	859800	NA_peak_402	G		860597
Tb927_01_v5.1	863192	865081	NA_peak_403	G		
Tb927_01_v5.1	871694	872643	NA_peak_404	G		
Tb927_01_v5.1	881396	881928	NA_peak_405	G		882887
Tb927_01_v5.1	882491	882803	NA_peak_406	R		
Tb927_01_v5.1	883851	884183	NA_peak_407	G	883558	884485
Tb927_01_v5.1	905861	906350	NA_peak_408	G	905149	906350
Tb927_01_v5.1	911146	912666	NA_peak_409	G		
Tb927_01_v5.1	912934	915493	NA_peak_410	G		
Tb927_01_v5.1	916831	917496	NA_peak_411	R		
Tb927_01_v5.1	920716	922240	NA_peak_412	G		
Tb927_01_v5.1	947936	948248	NA_peak_413	R		
Tb927_01_v5.1	950652	950958	NA_peak_414	R		
Tb927_01_v5.1	952873	953275	NA_peak_415	R		
Tb927_01_v5.1	973109	974817	NA_peak_416	G		
Tb927_01_v5.1	976747	977095	NA_peak_417	G		
Tb927_01_v5.1	980349	981671	NA_peak_418	G		
Tb927_01_v5.1	987342	987841	NA_peak_419	G	987203	989330
Tb927_01_v5.1	987923	988462	NA_peak_420	R		
Tb927_01_v5.1	989640	990174	NA_peak_421	G	989333	990239
Tb927_01_v5.1	992436	992742	NA_peak_422	G	991889	
Tb927_01_v5.1	1001289	1002585	NA_peak_423	G		
Tb927_01_v5.1	1008067	1008443	NA_peak_424	G	1006820	1009077
Tb927_01_v5.1	1011616	1012637	NA_peak_425	G		
Tb927_01_v5.1	1012672	1013399	NA_peak_426	G		
Tb927_01_v5.1	1014118	1015004	NA_peak_427	G		
Tb927_01_v5.1	1015562	1016628	NA_peak_428	G		
Tb927_01_v5.1	1024045	1024933	NA_peak_429	G		
Tb927_01_v5.1	1026993	1027342	NA_peak_430	R		
Tb927_01_v5.1	1028410	1028711	NA_peak_431	R		
Tb927_01_v5.1	1032328	1032640	NA_peak_432	R		
Tb927_01_v5.1	1043709	1044485	NA_peak_433	R		
Tb927_01_v5.1	1044704	1045237	NA_peak_434	R		
Tb927_01_v5.1	1046117	1046565	NA_peak_435	R		
Tb927_01_v5.1	1046856	1047297	NA_peak_436	R		
Tb927_01_v5.1	1055412	1055805	NA_peak_437	R		
Tb927_01_v5.1	1057594	1058228	NA_peak_438	R		
Tb927_01_v5.1	1058673	1059146	NA_peak_439	R		
Tb927_01_v5.1	1061835	1062240	NA_peak_440	R		
Tb927_01_v5.1	1063170	1063723	NA_peak_441	R		
Tb927_01_v5.1	1063911	1064671	NA_peak_442	R		
Tb927_02_v5.1	177	556	NA_peak_443	R		
Tb927_02_v5.1	2413	3044	NA_peak_444	R		
Tb927_02_v5.1	3211	5749	NA_peak_445	G		
Tb927_02_v5.1	5855	6315	NA_peak_446	G		
Tb927_02_v5.1	8350	9019	NA_peak_447	G	7978	
Tb927_02_v5.1	11894	12261	NA_peak_448	G		
Tb927_02_v5.1	12383	12931	NA_peak_449	G		
Tb927_02_v5.1	17389	17729	NA_peak_450	G	16131	
Tb927_02_v5.1	20210	20870	NA_peak_451	G	20120	21067
Tb927_02_v5.1	21209	21661	NA_peak_452	G	21070	23519
Tb927_02_v5.1	21716	22356	NA_peak_453	R		
Tb927_02_v5.1	23021	23498	NA_peak_454	R		
Tb927_02_v5.1	25081	25565	NA_peak_455	G	24945	26755
Tb927_02_v5.1	26933	28291	NA_peak_456	G	26758	28349
Tb927_02_v5.1	29355	30672	NA_peak_457	G		
Tb927_02_v5.1	30720	31713	NA_peak_458	G		
Tb927_02_v5.1	32453	33068	NA_peak_459	R		
Tb927_02_v5.1	33261	33596	NA_peak_460	R		
Tb927_02_v5.1	34608	35259	NA_peak_461	G	34372	
Tb927_02_v5.1	38139	38633	NA_peak_462	G		
Tb927_02_v5.1	39151	39543	NA_peak_463	G		
Tb927_02_v5.1	39761	40120	NA_peak_464	G		
Tb927_02_v5.1	42446	42745	NA_peak_465	G		
Tb927_02_v5.1	46555	47630	NA_peak_466	G	46055	47042
Tb927_02_v5.1	46555	47630	NA_peak_466.2	G	47045	47747
Tb927_02_v5.1	48034	48994	NA_peak_467	G	47750	
Tb927_02_v5.1	49087	49479	NA_peak_468	G		
Tb927_02_v5.1	50269	50616	NA_peak_469	R		
Tb927_02_v5.1	53496	54027	NA_peak_470	G	52761	55146
Tb927_02_v5.1	56572	56975	NA_peak_471	G	55149	57113
Tb927_02_v5.1	58899	60004	NA_peak_472	G		
Tb927_02_v5.1	60450	60835	NA_peak_473	G		
Tb927_02_v5.1	63680	64015	NA_peak_474	G		
Tb927_02_v5.1	64994	65599	NA_peak_475	G		
Tb927_02_v5.1	65669	66185	NA_peak_476	G		
Tb927_02_v5.1	69107	69610	NA_peak_477	G		
Tb927_02_v5.1	70016	70576	NA_peak_478	G		
Tb927_02_v5.1	70721	71093	NA_peak_479	G		
Tb927_02_v5.1	71486	71934	NA_peak_480	G		
Tb927_02_v5.1	72051	72636	NA_peak_481	G		
Tb927_02_v5.1	77121	78012	NA_peak_482	G	77039	
Tb927_02_v5.1	79226	80448	NA_peak_483	G	78731	
Tb927_02_v5.1	81190	82037	NA_peak_484	G		
Tb927_02_v5.1	82131	82441	NA_peak_485	G		
Tb927_02_v5.1	82455	83460	NA_peak_486	G		
Tb927_02_v5.1	84624	84987	NA_peak_487	G		
Tb927_02_v5.1	86765	87109	NA_peak_488	G		87756
Tb927_02_v5.1	87281	87742	NA_peak_489	R		
Tb927_02_v5.1	87865	89169	NA_peak_490	G		
Tb927_02_v5.1	89486	90145	NA_peak_491	G	89221	91112
Tb927_02_v5.1	93911	94541	NA_peak_492	G		
Tb927_02_v5.1	98199	98505	NA_peak_493	G		
Tb927_02_v5.1	100163	102543	NA_peak_494	G		
Tb927_02_v5.1	103550	104706	NA_peak_495	R		
Tb927_02_v5.1	108818	109897	NA_peak_496	G	108117	110252
Tb927_02_v5.1	110436	111197	NA_peak_497	G	110255	
Tb927_02_v5.1	111366	112829	NA_peak_498	G		
Tb927_02_v5.1	115748	116141	NA_peak_499	G		
Tb927_02_v5.1	118399	119068	NA_peak_500	G		119973
Tb927_02_v5.1	122768	123536	NA_peak_501	G		
Tb927_02_v5.1	123999	124442	NA_peak_502	G		
Tb927_02_v5.1	124738	125168	NA_peak_503	G		
Tb927_02_v5.1	125649	126110	NA_peak_504	G		
Tb927_02_v5.1	126334	127292	NA_peak_505	G		
Tb927_02_v5.1	127571	128299	NA_peak_506	G		
Tb927_02_v5.1	128859	130132	NA_peak_507	G	128721	
Tb927_02_v5.1	130266	130593	NA_peak_508	G		
Tb927_02_v5.1	132220	132979	NA_peak_509	G		
Tb927_02_v5.1	133087	133481	NA_peak_510	G		
Tb927_02_v5.1	133488	133849	NA_peak_511	G		
Tb927_02_v5.1	134967	135438	NA_peak_512	G		
Tb927_02_v5.1	137791	139174	NA_peak_513	G		
Tb927_02_v5.1	141429	141998	NA_peak_514	G		
Tb927_02_v5.1	143731	144890	NA_peak_515	G		
Tb927_02_v5.1	144959	146408	NA_peak_516	G		
Tb927_02_v5.1	147245	147666	NA_peak_517	G		
Tb927_02_v5.1	148974	149324	NA_peak_518	G		
Tb927_02_v5.1	152025	152385	NA_peak_519	G	151886	153489
Tb927_02_v5.1	155262	155856	NA_peak_520	G	155147	156148
Tb927_02_v5.1	156289	157000	NA_peak_521	G	156151	158702
Tb927_02_v5.1	157063	158699	NA_peak_522	G		
Tb927_02_v5.1	159175	160052	NA_peak_523	G		160679
Tb927_02_v5.1	160956	161591	NA_peak_524	G	160682	162320
Tb927_02_v5.1	163189	164208	NA_peak_525	G	163048	164428
Tb927_02_v5.1	165605	166328	NA_peak_526	G		
Tb927_02_v5.1	167704	168225	NA_peak_527	G		
Tb927_02_v5.1	169927	170758	NA_peak_528	G		
Tb927_02_v5.1	171172	171513	NA_peak_529	G		
Tb927_02_v5.1	172512	173001	NA_peak_530	G		
Tb927_02_v5.1	173105	174154	NA_peak_531	G		
Tb927_02_v5.1	177282	177594	NA_peak_532	G	176238	
Tb927_02_v5.1	179176	179943	NA_peak_533	G	179037	180846
Tb927_02_v5.1	181150	181505	NA_peak_534	G	181159	182435
Tb927_02_v5.1	181854	182289	NA_peak_535	G		
Tb927_02_v5.1	182747	183865	NA_peak_536	G		
Tb927_02_v5.1	184027	184585	NA_peak_537	G		
Tb927_02_v5.1	184798	185416	NA_peak_538	G		
Tb927_02_v5.1	185982	187352	NA_peak_539	G		
Tb927_02_v5.1	190754	191118	NA_peak_540	G		
Tb927_02_v5.1	192304	193054	NA_peak_541	G		
Tb927_02_v5.1	193907	194641	NA_peak_542	G		
Tb927_02_v5.1	194652	196056	NA_peak_543	G		
Tb927_02_v5.1	196075	196960	NA_peak_544	G		
Tb927_02_v5.1	197663	199127	NA_peak_545	G		
Tb927_02_v5.1	199923	200528	NA_peak_546	G		
Tb927_02_v5.1	204940	206331	NA_peak_547	G		
Tb927_02_v5.1	207057	207442	NA_peak_548	G	206753	208335
Tb927_02_v5.1	207540	208290	NA_peak_549	R		
Tb927_02_v5.1	208434	209086	NA_peak_550	G		
Tb927_02_v5.1	209377	210615	NA_peak_551	G		
Tb927_02_v5.1	210652	211608	NA_peak_552	G		
Tb927_02_v5.1	212088	213673	NA_peak_553	G		
Tb927_02_v5.1	214535	214863	NA_peak_554	G		
Tb927_02_v5.1	215877	216361	NA_peak_555	G		
Tb927_02_v5.1	219406	219734	NA_peak_556	G	219345	221406
Tb927_02_v5.1	219916	220528	NA_peak_557	R		
Tb927_02_v5.1	220778	221423	NA_peak_558	R		
Tb927_02_v5.1	222583	223567	NA_peak_559	R		
Tb927_02_v5.1	223929	224546	NA_peak_560	R		
Tb927_02_v5.1	226763	227406	NA_peak_561	G	226269	227491
Tb927_02_v5.1	228003	228422	NA_peak_562	G	227992	228840
Tb927_02_v5.1	229688	230547	NA_peak_563	G	229579	231182
Tb927_02_v5.1	233857	234188	NA_peak_564	R		
Tb927_02_v5.1	236421	237150	NA_peak_565	G		
Tb927_02_v5.1	237518	238250	NA_peak_566	G		
Tb927_02_v5.1	240750	241539	NA_peak_567	G		
Tb927_02_v5.1	241757	242545	NA_peak_568	G		
Tb927_02_v5.1	243199	243567	NA_peak_569	G		
Tb927_02_v5.1	245490	246117	NA_peak_570	G		
Tb927_02_v5.1	247434	247951	NA_peak_571	G		
Tb927_02_v5.1	256306	256909	NA_peak_572	G		
Tb927_02_v5.1	259452	259844	NA_peak_573	G	259456	260683
Tb927_02_v5.1	260074	260680	NA_peak_574	R		
Tb927_02_v5.1	261681	263062	NA_peak_575	G		263578
Tb927_02_v5.1	263715	264336	NA_peak_576	G	263602	266304
Tb927_02_v5.1	264950	265358	NA_peak_577	R		
Tb927_02_v5.1	265550	266002	NA_peak_578	R		
Tb927_02_v5.1	273260	273838	NA_peak_579	G		
Tb927_02_v5.1	274772	275643	NA_peak_580	G		
Tb927_02_v5.1	277294	277723	NA_peak_581	G		
Tb927_02_v5.1	277800	279024	NA_peak_582	G		
Tb927_02_v5.1	280020	281423	NA_peak_583	G		
Tb927_02_v5.1	282015	282871	NA_peak_584	G		
Tb927_02_v5.1	283283	283613	NA_peak_585	G		
Tb927_02_v5.1	283890	284627	NA_peak_586	G		
Tb927_02_v5.1	289295	290077	NA_peak_587	G		
Tb927_02_v5.1	299946	300647	NA_peak_588	G		
Tb927_02_v5.1	309921	311485	NA_peak_589	G		
Tb927_02_v5.1	312306	313305	NA_peak_590	G		
Tb927_02_v5.1	314866	315801	NA_peak_591	G		
Tb927_02_v5.1	324700	325257	NA_peak_592	G	324559	325775
Tb927_02_v5.1	327075	329115	NA_peak_593	G		
Tb927_02_v5.1	331723	332982	NA_peak_594	G		
Tb927_02_v5.1	333049	333572	NA_peak_595	G		334078
Tb927_02_v5.1	336693	337702	NA_peak_596	G		
Tb927_02_v5.1	350328	351414	NA_peak_597	G	349776	351413
Tb927_02_v5.1	361733	363545	NA_peak_598	G		
Tb927_02_v5.1	365689	366014	NA_peak_599	G		
Tb927_02_v5.1	372248	372889	NA_peak_600	G		
Tb927_02_v5.1	373972	374789	NA_peak_601	G		
Tb927_02_v5.1	375526	376845	NA_peak_602	G		
Tb927_02_v5.1	377902	379015	NA_peak_603	G		
Tb927_02_v5.1	379266	379573	NA_peak_604	G		
Tb927_02_v5.1	381565	382070	NA_peak_605	G		
Tb927_02_v5.1	382399	382722	NA_peak_606	G		
Tb927_02_v5.1	382987	383586	NA_peak_607	G		
Tb927_02_v5.1	387709	388940	NA_peak_608	G	387548	
Tb927_02_v5.1	394489	394919	NA_peak_609	G		
Tb927_02_v5.1	397500	398870	NA_peak_610	G		
Tb927_02_v5.1	408049	408937	NA_peak_611	G		
Tb927_02_v5.1	415699	416719	NA_peak_612	G		
Tb927_02_v5.1	419928	420323	NA_peak_613	G	419789	420567
Tb927_02_v5.1	422739	423294	NA_peak_614	G	422326	
Tb927_02_v5.1	428589	428932	NA_peak_615	G	428480	430496
Tb927_02_v5.1	429400	430445	NA_peak_616	R		
Tb927_02_v5.1	435114	435490	NA_peak_617	G		
Tb927_02_v5.1	437439	437885	NA_peak_618	G		
Tb927_02_v5.1	441515	441824	NA_peak_619	G		
Tb927_02_v5.1	459464	460537	NA_peak_620	G	459469	461034
Tb927_02_v5.1	460568	460946	NA_peak_621	R		
Tb927_02_v5.1	461800	464969	NA_peak_622	G		
Tb927_02_v5.1	471636	472540	NA_peak_623	G		
Tb927_02_v5.1	497514	500558	NA_peak_624	R		
Tb927_02_v5.1	500631	500957	NA_peak_625	R		
Tb927_02_v5.1	500972	502373	NA_peak_626	G		
Tb927_02_v5.1	504370	505769	NA_peak_627	G		
Tb927_02_v5.1	509391	509913	NA_peak_628	G	508717	
Tb927_02_v5.1	511142	512346	NA_peak_629	G	510607	
Tb927_02_v5.1	521223	522616	NA_peak_630	G		
Tb927_02_v5.1	523310	524107	NA_peak_631	G		
Tb927_02_v5.1	524547	526237	NA_peak_632	G		
Tb927_02_v5.1	529352	529783	NA_peak_633	G		
Tb927_02_v5.1	533664	534898	NA_peak_634	G		
Tb927_02_v5.1	552264	554242	NA_peak_635	G		554371
Tb927_02_v5.1	554980	556271	NA_peak_636	G		
Tb927_02_v5.1	557607	559768	NA_peak_637	G		559849
Tb927_02_v5.1	561818	562524	NA_peak_638	G		
