# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "16" "-F" "SAF" "-a" "G.SAF" "-o" "G_counts.txt" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_RR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_F.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_R.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_FR.bam" "/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_RR.bam" 
Geneid	Chr	Start	End	Strand	Length	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_01/res4/BSF_01/BSF_01_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_03/res4/BSF_03/BSF_03_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_04/res4/BSF_04/BSF_04_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_05/res4/BSF_05/BSF_05_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_06/res4/BSF_06/BSF_06_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_07/res4/BSF_07/BSF_07_sorted_RR.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_F.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_R.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_FR.bam	/cluster/majf_lab/mtinti/UTR/BSF_08/res4/BSF_08/BSF_08_sorted_RR.bam
NA_peak_1208_G_Tb927.4.650	Tb927_04_v5.1	186354	187534	.	1181	3583	394	245	92	6568	7070	4490	137	7	12	111	1	4	0	0	2	3	0	0	1	1	0	0	143	18	20	124	155	12	18	118	93	10	23	103
NA_peak_1209_G_Tb927.4.670	Tb927_04_v5.1	191351	192589	.	1239	1318	414	340	18	1747	1459	1508	40	7	7	45	4	13	2	3	3	11	0	0	0	0	0	0	16	25	35	13	14	17	27	18	33	18	26	19
NA_peak_1210_G_Tb927.4.680	Tb927_04_v5.1	193567	194804	.	1238	1645	342	53	15	1819	3182	3217	18	35	47	9	4	12	6	1	1	0	0	1	0	1	1	0	15	30	28	17	7	103	79	3	14	109	81	7
NA_peak_1211_G_Tb927.4.740	Tb927_04_v5.1	203952	205312	.	1361	1162	434	5	3	7680	5045	6696	0	32	54	0	0	16	20	0	0	0	0	0	0	0	0	0	3	124	233	17	0	103	157	3	3	113	204	3
NA_peak_1217_G_Tb927.4.840	Tb927_04_v5.1	232898	234292	.	1395	273	100	24	66	769	691	329	0	9	3	2	0	3	3	2	0	1	0	0	0	1	0	0	7	15	17	12	13	2	6	16	6	5	5	3
NA_peak_1218_G_Tb927.4.860	Tb927_04_v5.1	235380	236656	.	1277	1608	760	592	803	11436	8655	6963	28	9	5	59	5	25	8	1	2	21	2	0	12	31	2	1	258	14	6	289	197	17	10	249	170	5	9	186
NA_peak_1219_G_Tb927.4.870	Tb927_04_v5.1	238071	239017	.	947	491	1323	629	244	1400	1344	1099	3	14	13	3	27	1	12	8	6	1	4	1	8	0	4	0	4	39	48	3	0	39	47	2	0	36	32	1
NA_peak_1223_G_Tb927.4.980	Tb927_04_v5.1	267262	268813	.	1552	811	42	8	20	3500	2488	3332	10	9	22	9	1	1	2	0	0	0	0	0	0	0	0	0	43	21	23	49	23	22	19	30	43	34	58	51
NA_peak_1225_G_Tb927.4.1060	Tb927_04_v5.1	281707	282790	.	1084	586	221	77	64	1739	883	1590	40	4	7	24	2	2	7	1	0	3	1	0	1	2	2	0	34	5	23	19	13	2	7	10	20	2	14	24
NA_peak_1227_G_Tb927.4.1080	Tb927_04_v5.1	287179	287988	.	810	1133	792	618	744	5819	4197	2817	43	7	16	43	1	17	21	1	0	8	20	1	1	6	20	0	232	0	2	162	161	0	0	126	109	0	3	89
NA_peak_1231_G_Tb927.4.1150	Tb927_04_v5.1	301773	302641	.	869	657	341	221	623	2059	178	197	20	6	16	29	1	15	12	1	1	9	5	0	0	20	21	0	2	66	62	2	10	6	2	0	6	4	0	1
NA_peak_1232_G_Tb927.4.1160	Tb927_04_v5.1	304443	306136	.	1694	1405	169	46	42	3890	3358	4677	38	16	4	34	0	3	0	0	0	0	1	0	0	0	0	0	52	30	14	25	43	27	14	19	110	34	19	79
NA_peak_1233_G_Tb927.4.1190	Tb927_04_v5.1	311702	312431	.	730	176	7	4	13	564	96	205	3	1	5	3	0	0	2	0	1	0	0	0	0	0	0	0	8	15	20	7	2	0	0	3	4	5	5	4
NA_peak_1237_G_Tb927.4.1210	Tb927_04_v5.1	322813	324853	.	2041	351	21	5	3	607	563	488	12	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	6	5	2	5	4	1	0	4	4
NA_peak_1238_G_Tb927.4.1210	Tb927_04_v5.1	322883	324748	.	1866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_1239_G_Tb927.4.1250	Tb927_04_v5.1	331201	332509	.	1309	797	60	18	55	2719	3758	3630	15	2	6	8	5	0	0	2	0	0	0	0	0	1	3	0	34	12	19	48	15	27	34	70	41	19	29	62
NA_peak_1240_G_Tb927.4.1270	Tb927_04_v5.1	334671	336617	.	1947	6430	27193	37082	50302	7117	6460	7499	56	72	95	64	95	311	382	12	115	422	526	14	162	492	640	22	118	8	4	111	112	1	3	104	111	3	20	122
NA_peak_1241_G_Tb927.4.1300	Tb927_04_v5.1	339105	341333	.	2229	4973	26450	38840	57147	4966	4175	5969	110	27	19	50	77	258	305	11	122	381	486	20	139	503	634	16	77	0	1	55	56	1	1	49	102	1	11	96
NA_peak_1243_R_Tb927.4.1320	Tb927_04_v5.1	345105	345716	.	612	0	5	4	3	42	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NA_peak_1246_G_Tb927.4.1360	Tb927_04_v5.1	354202	356546	.	2345	1342	1169	470	1303	3149	2790	3595	21	24	27	17	4	21	28	4	4	16	9	2	20	26	16	19	52	18	27	34	47	15	18	30	79	14	21	46
NA_peak_1247_G_Tb927.4.1390	Tb927_04_v5.1	360251	362299	.	2049	3058	179	45	166	5974	4146	6001	67	26	33	51	1	1	1	1	0	1	0	0	1	0	2	0	48	73	77	30	28	54	51	27	66	63	85	52
NA_peak_1249_G_Tb927.4.1400	Tb927_04_v5.1	363318	364913	.	1596	1853	399	190	189	2462	2252	3119	13	48	96	6	4	0	1	24	7	0	1	5	4	0	3	6	6	47	56	16	6	24	61	6	7	56	97	3
NA_peak_1250_G_Tb927.4.1420	Tb927_04_v5.1	366108	367662	.	1555	424	151	9	22	3234	1749	1493	13	2	7	1	0	0	1	9	0	0	0	0	0	0	0	1	95	20	20	6	46	6	20	8	35	13	19	2
NA_peak_1251_G_Tb927.4.1430	Tb927_04_v5.1	368164	369420	.	1257	90	155	16	10	468	83	141	5	0	1	5	0	1	7	0	0	1	0	0	0	0	0	0	9	4	11	6	2	1	1	1	4	0	1	3
NA_peak_1252_G_Tb927.4.1450	Tb927_04_v5.1	370857	371852	.	996	2626	37	21	8	7890	4639	4976	79	12	24	74	0	0	1	0	0	0	1	0	0	0	0	0	124	3	94	144	32	4	119	42	10	16	160	10
NA_peak_1258_G_Tb927.4.1630	Tb927_04_v5.1	415183	417380	.	2198	2366	798	192	120	3338	2459	2279	59	50	7	0	29	20	0	0	1	5	0	0	4	0	1	0	73	57	0	0	63	28	0	0	74	28	0	0
NA_peak_1259_R_Tb927.4.1630	Tb927_04_v5.1	415892	417386	.	1495	79	14	6	3	144	128	96	0	0	0	22	0	0	0	2	0	0	0	3	0	0	0	1	0	0	3	66	0	0	0	69	0	0	0	53
NA_peak_1260_G_Tb927.4.1720	Tb927_04_v5.1	437029	438465	.	1437	1851	2543	1128	800	2683	1875	1766	38	27	1	0	11	61	2	0	4	26	6	0	3	28	3	0	61	2	0	1	57	1	1	1	42	5	0	1
NA_peak_1261_R_Tb927.4.1720	Tb927_04_v5.1	438025	438369	.	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_1264_G_Tb927.4.1840	Tb927_04_v5.1	457421	458875	.	1455	839	717	108	33	1224	1349	1323	38	27	26	17	1	51	37	0	0	0	3	0	0	0	1	0	33	20	12	32	37	6	6	28	42	6	14	22
NA_peak_1266_G_Tb927.4.1850	Tb927_04_v5.1	462386	463067	.	682	327	553	172	136	868	524	702	0	0	12	4	0	0	25	0	0	0	7	1	0	0	2	0	0	0	3	20	0	0	0	20	0	0	4	30
NA_peak_1268_G_Tb927.4.1950	Tb927_04_v5.1	492925	493840	.	916	3187	414	481	381	8550	4311	5466	171	14	3	103	6	6	1	0	11	3	0	0	5	1	0	0	234	31	3	186	104	39	0	78	126	37	2	101
NA_peak_1277_G_Tb927.4.2110	Tb927_04_v5.1	549233	550339	.	1107	380	1680	1399	1042	1285	1280	1109	11	4	7	10	41	2	5	18	45	0	0	9	24	0	2	2	0	21	43	3	0	46	35	0	3	26	49	3
NA_peak_1279_G_Tb927.4.2140	Tb927_04_v5.1	554801	556559	.	1759	8021	116	58	21	25956	23903	19849	144	218	133	96	1	0	2	3	2	0	2	1	0	0	0	0	80	517	451	77	118	484	419	80	141	386	326	102
NA_peak_1281_G_Tb927.4.2210	Tb927_04_v5.1	572854	573241	.	388	545	10	2	5	190	91	3753	15	21	12	7	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	1	0	1	2	0	0	161	137	3
NA_peak_1282_G_Tb927.4.2210	Tb927_04_v5.1	573396	574153	.	758	1930	752	38	16	6090	3236	2011	11	55	59	0	5	22	0	0	3	0	0	0	1	0	0	0	0	151	249	0	17	82	132	0	4	59	101	0
NA_peak_1283_G_Tb927.4.2230	Tb927_04_v5.1	581077	581411	.	335	20	245	104	30	69	153	118	0	0	0	0	0	5	4	0	0	6	6	0	0	2	0	0	0	0	0	0	0	0	0	13	4	0	0	8
NA_peak_1284_G_Tb927.4.2270	Tb927_04_v5.1	591889	593547	.	1659	1015	682	206	84	3323	2721	2560	14	19	17	16	15	2	4	12	6	0	0	1	1	0	0	0	47	30	36	41	34	16	42	26	28	38	41	30
NA_peak_1286_G_Tb927.4.2350	Tb927_04_v5.1	608671	610092	.	1422	5151	674	544	8	12707	3341	6876	106	59	70	92	34	0	0	36	44	0	0	34	0	0	0	0	41	0	0	203	38	1	0	76	38	0	7	110
NA_peak_1291_G_Tb927.4.2400	Tb927_04_v5.1	623993	625998	.	2006	4891	4918	2838	1595	6033	5211	4341	70	35	54	56	71	2	16	66	50	2	16	45	31	0	6	32	19	59	86	7	11	56	93	11	18	53	54	5
NA_peak_1292_G_Tb927.4.2410	Tb927_04_v5.1	629631	631465	.	1835	3274	779	59	37	8995	15378	17119	11	7	24	84	37	1	4	62	0	1	1	2	0	1	0	0	54	20	49	218	82	24	51	351	117	15	62	414
NA_peak_1293_G_Tb927.4.2430	Tb927_04_v5.1	633706	634783	.	1078	232	78	70	43	1701	1581	1604	4	0	2	4	1	2	0	0	1	3	1	2	0	0	2	0	5	31	26	19	8	24	25	12	16	36	41	16
NA_peak_1294_G_Tb927.4.2460	Tb927_04_v5.1	642874	645897	.	3024	6268	389	13	9	7331	8629	9075	64	67	69	62	0	6	11	0	0	0	1	0	0	0	0	0	50	116	109	38	39	131	143	35	70	111	133	61
NA_peak_1295_R_Tb927.4.2460	Tb927_04_v5.1	644205	644509	.	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_1300_G_Tb927.4.2540	Tb927_04_v5.1	670417	672330	.	1914	1242	265	27	159	1695	2786	1248	18	25	22	6	3	0	1	1	0	0	1	0	0	0	0	0	16	23	16	20	19	46	37	14	25	13	16	10
NA_peak_1304_G_Tb927.4.2570	Tb927_04_v5.1	677120	678035	.	916	3	4	3	4	4	37	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
NA_peak_1305_G_Tb927.4.2590	Tb927_04_v5.1	685550	686893	.	1344	159	530	119	59	615	394	652	1	7	1	0	12	1	1	2	5	0	0	0	0	0	0	0	0	12	7	1	3	9	3	0	5	17	8	0
NA_peak_1306_G_Tb927.4.2620	Tb927_04_v5.1	693679	694553	.	875	526	6	4	62	1424	558	479	21	4	7	19	0	0	0	0	0	0	0	0	0	0	0	0	52	7	6	49	1	8	16	1	1	22	7	1
NA_peak_1307_G_Tb927.4.2630	Tb927_04_v5.1	695784	697606	.	1823	77	12	17	10	508	480	577	1	1	2	0	0	0	1	0	0	0	2	0	0	0	0	0	8	11	8	6	5	3	4	6	5	9	12	6
NA_peak_1308_G_Tb927.4.2640	Tb927_04_v5.1	701517	702704	.	1188	4911	3161	1352	2120	8383	11293	8336	93	104	49	5	81	2	5	54	36	0	8	30	43	0	4	23	3	174	177	3	1	185	247	2	9	176	194	1
NA_peak_1309_G_Tb927.4.2650	Tb927_04_v5.1	703048	705581	.	2534	3860	143	63	286	5459	4899	6280	24	33	35	16	1	0	0	0	0	1	2	0	1	0	0	0	33	44	32	25	15	38	35	24	39	62	57	31
NA_peak_1316_G_Tb927.4.2890	Tb927_04_v5.1	767179	768305	.	1127	3223	461	66	100	5875	4174	5213	83	8	9	81	1	5	10	0	0	0	2	0	0	2	2	0	102	17	17	107	98	3	27	82	112	13	9	93
NA_peak_1319_G_Tb927.4.2910	Tb927_04_v5.1	773653	775317	.	1665	587	1337	321	221	917	596	1046	15	16	1	0	61	2	0	0	22	0	0	0	9	1	0	1	11	20	0	2	9	24	0	0	11	48	11	0
NA_peak_1320_R_Tb927.4.2910	Tb927_04_v5.1	774443	775291	.	849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_1322_G_Tb927.4.2935	Tb927_04_v5.1	780752	782917	.	2166	5782	7185	1026	530	6817	5363	7594	84	57	77	51	155	0	7	106	16	0	4	20	12	0	1	4	28	92	91	34	30	59	62	22	41	102	104	34
NA_peak_1326_G_Tb927.4.2960	Tb927_04_v5.1	785664	787537	.	1874	2129	490	21	9	7789	7831	7965	13	25	43	13	18	0	0	18	0	1	0	0	0	0	0	0	113	59	83	99	122	79	89	84	158	60	82	108
NA_peak_1328_G_Tb927.4.3020	Tb927_04_v5.1	802706	803640	.	935	770	1665	984	960	2074	762	804	34	14	0	14	62	1	0	45	38	0	0	36	42	1	0	28	51	32	0	34	5	29	0	0	7	23	0	0
NA_peak_1330_G_Tb927.4.3030	Tb927_04_v5.1	803881	804830	.	950	1162	455	252	200	5257	2808	2014	0	30	39	6	0	1	4	20	0	0	6	6	0	0	0	6	0	117	152	11	0	73	95	3	0	46	63	7
NA_peak_1331_G_Tb927.4.3040	Tb927_04_v5.1	806640	807498	.	859	2176	1083	779	1358	2083	2695	2926	49	59	30	52	43	5	4	25	41	1	0	16	71	1	3	39	1	66	3	0	1	97	0	0	2	86	0	0
NA_peak_1333_G_Tb927.4.3070	Tb927_04_v5.1	812623	813929	.	1307	2825	60	10	6	9974	3113	6799	16	68	87	17	0	0	0	0	0	0	0	0	1	0	0	0	19	171	208	12	7	69	76	3	58	119	143	45
NA_peak_1334_G_Tb927.4.3090	Tb927_04_v5.1	816454	817450	.	997	188	221	15	6	503	157	288	5	1	1	4	2	6	4	0	0	1	0	0	0	0	0	0	12	2	3	2	2	1	1	3	4	3	0	5
NA_peak_1335_G_Tb927.4.3110	Tb927_04_v5.1	819123	819914	.	792	1	3	1	2	175	20	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	1	0	0	0	0	0	1	0
NA_peak_1338_G_Tb927.4.3160	Tb927_04_v5.1	832799	833641	.	843	3568	2595	1025	306	10474	8284	2527	39	102	133	47	65	28	56	63	17	13	24	29	1	2	5	1	254	66	96	316	250	7	5	280	54	41	51	72
NA_peak_1345_G_Tb927.4.3330	Tb927_04_v5.1	870325	871076	.	752	1468	1955	831	103	4487	1752	1782	0	68	60	5	0	73	81	6	0	38	34	0	0	0	2	1	0	164	184	2	0	91	76	0	1	79	65	0
NA_peak_1346_G_Tb927.4.3340	Tb927_04_v5.1	872229	873533	.	1305	903	47	12	13	1081	1525	696	27	12	15	33	0	2	1	0	0	0	0	0	0	0	0	0	0	7	9	26	3	17	24	26	8	10	7	12
NA_peak_1347_G_Tb927.4.3360	Tb927_04_v5.1	876511	877274	.	764	2224	76	105	37	5136	3702	1849	73	17	35	90	2	3	0	0	0	0	0	2	1	1	0	0	35	97	176	56	12	103	127	20	13	35	67	28
NA_peak_1348_G_Tb927.4.3380	Tb927_04_v5.1	879593	880676	.	1084	332	249	61	75	648	563	385	13	21	0	0	2	9	0	0	0	7	0	0	0	6	0	0	29	33	0	0	38	18	0	0	33	5	0	0
NA_peak_1349_G_Tb927.4.3380	Tb927_04_v5.1	879933	880690	.	758	46	23	7	4	101	79	64	0	0	12	13	0	0	7	0	0	0	4	0	0	0	2	1	0	0	27	24	0	0	6	36	0	0	11	38
NA_peak_1350_G_Tb927.4.3390	Tb927_04_v5.1	883037	884309	.	1273	4182	5558	1791	171	8327	6258	2907	21	147	175	5	5	136	170	3	2	69	39	2	4	0	2	6	11	174	214	5	8	172	152	2	5	88	86	0
NA_peak_1351_G_Tb927.4.3410	Tb927_04_v5.1	888747	889432	.	686	36	29	9	3	55	80	166	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	1	3	3	0	0
NA_peak_1353_G_Tb927.4.3430	Tb927_04_v5.1	894225	895246	.	1022	3	6	5	13	39	28	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	1	0	0	0	0
NA_peak_1354_G_Tb927.4.3590	Tb927_04_v5.1	916591	917170	.	580	580	487	403	628	502	656	1253	2	0	1	48	0	0	23	0	0	0	15	0	0	1	14	0	2	0	0	40	1	0	0	57	10	0	0	90
NA_peak_1355_G_Tb927.4.3620	Tb927_04_v5.1	920171	921954	.	1784	976	1741	57	1030	1594	768	1327	9	28	12	12	1	65	30	0	1	1	0	0	0	44	15	0	22	35	4	0	12	13	2	5	25	13	0	5
NA_peak_1356_R_Tb927.4.3620	Tb927_04_v5.1	920864	921864	.	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_1357_G_Tb927.4.3720	Tb927_04_v5.1	936740	937940	.	1201	2395	8	8	15	16478	15293	13788	83	20	19	55	0	0	0	0	0	0	0	0	1	0	0	0	395	20	15	238	395	8	4	238	363	12	11	246
NA_peak_1370_G_Tb927.4.3750	Tb927_04_v5.1	977037	977805	.	769	1346	5204	669	8	3759	1403	2243	3	30	29	0	2	98	182	0	0	22	25	0	0	0	0	0	25	62	104	0	27	7	1	0	14	51	68	0
NA_peak_1371_G_Tb927.4.3770	Tb927_04_v5.1	984293	986310	.	2018	628	7	1	3	1142	476	852	26	4	1	1	0	2	0	0	0	0	0	0	0	0	0	0	56	4	1	6	24	5	1	2	35	1	0	2
NA_peak_1372_R_Tb927.4.3770	Tb927_04_v5.1	984890	985258	.	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_1373_R_Tb927.4.3770	Tb927_04_v5.1	985388	985588	.	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_1374_R_Tb927.4.3770	Tb927_04_v5.1	985964	986192	.	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA_peak_1375_G_Tb927.4.3800	Tb927_04_v5.1	991526	992313	.	788	3599	1506	685	290	5471	2534	4173	156	2	5	116	32	23	24	35	1	22	25	0	1	8	9	0	225	1	0	122	108	0	0	79	177	0	1	106
NA_peak_1376_G_Tb927.4.3920	Tb927_04_v5.1	1031996	1033758	.	1763	6416	5278	4086	5892	9486	11055	11308	100	50	97	79	6	100	160	0	2	79	131	0	8	124	169	0	39	110	188	36	21	123	189	17	70	126	186	40
NA_peak_1377_G_Tb927.4.3930	Tb927_04_v5.1	1036751	1037611	.	861	88	23	3	6	1058	452	575	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	27	12	10	30	15	1	0	19	20	1	2	24
NA_peak_1379_G_Tb927.4.3950	Tb927_04_v5.1	1043704	1045183	.	1480	2991	8881	5290	2615	4535	2832	5648	135	4	9	95	520	2	7	387	343	2	11	269	173	1	1	138	87	13	20	95	4	27	26	40	98	13	29	117
NA_peak_1381_G_Tb927.4.4030	Tb927_04_v5.1	1070716	1071535	.	820	110	32	26	5	387	412	224	2	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	6	5	12	3	7	6	5	10	7	6	1	1
NA_peak_1382_G_Tb927.4.4070	Tb927_04_v5.1	1081272	1082510	.	1239	464	308	219	109	1855	1159	2166	5	23	26	5	4	1	2	10	8	0	0	2	3	0	0	3	3	33	41	5	1	19	40	2	9	69	77	5
NA_peak_1383_G_Tb927.4.4080	Tb927_04_v5.1	1083048	1083931	.	884	233	26	5	31	769	800	686	9	2	5	2	0	0	0	0	0	0	0	0	0	0	0	0	7	12	22	5	0	7	18	5	12	15	15	7
NA_peak_1384_G_Tb927.4.4110	Tb927_04_v5.1	1087325	1088400	.	1076	1515	15698	8407	4868	14359	16777	14838	55	4	7	27	398	2	9	283	245	0	1	153	149	0	0	104	379	2	6	248	440	0	1	279	426	1	5	272
