"Gene ID","source_id","Organism","Genomic Location (Gene)","Product Description","Gene Type","Input ID"
"Tb11.02.5440","Tb11.02.5440:mRNA","Trypanosoma brucei brucei TREU927","Tb927_11_v5.1:2,115,792..2,117,437(-)","SUMO-interacting motif-containing protein","protein coding","NCDS.Tb927.11.7457"
"Tb927.1.05","Tb927.1.05:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:381..1,983(-)","variant surface glycoprotein (VSG), putative","protein coding","Tb927.1.05"
"Tb927.1.10","Tb927.1.10:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:6,871..7,203(+)","hypothetical protein","protein coding","Tb927.1.10"
"Tb927.1.100","Tb927.1.100:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:52,834..59,047(-)","RNA polymerase (pseudogene), putative","protein coding","Tb927.1.100"
"Tb927.1.1000","Tb927.1.1000:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:289,877..291,155(+)","developmentally regulated phosphoprotein","protein coding","Tb927.1.1000"
"Tb927.1.1010","Tb927.1.1010:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:291,565..293,744(+)","E3 ubiquitin-protein ligase KCMF1, putative","protein coding","Tb927.1.1010"
"Tb927.1.1020","Tb927.1.1020:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:294,104..296,172(+)","leucine-rich repeat-containing protein","protein coding","Tb927.1.1020"
"Tb927.1.1025","Tb927.1.1025:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:296,302..296,645(+)","conserved protein, unknown function","protein coding","NTCDS.Tb1.NT.21"
"Tb927.1.1030","Tb927.1.1030:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:296,918..298,629(+)","Nucleolar protein 49","protein coding","Tb927.1.1030"
"Tb927.1.1050","Tb927.1.1050:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:298,769..303,453(+)","Metallo-dependent phosphatase-like domain-containing protein","protein coding","Tb927.1.1050"
"Tb927.1.1060","Tb927.1.1060:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:303,867..305,683(+)","Cell cycle checkpoint protein RAD1-like, putative","protein coding","Tb927.1.1060"
"Tb927.1.1080","Tb927.1.1080:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:305,834..307,362(+)","TFIIH basal transcription factor subunit, putative","protein coding","Tb927.1.1080"
"Tb927.1.1090","Tb927.1.1090:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:307,531..308,220(+)","hypothetical protein, conserved","protein coding","Tb927.1.1090"
"Tb927.1.110","Tb927.1.110:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:59,858..60,184(+)","hypothetical protein, conserved","protein coding","Tb927.1.110"
"Tb927.1.1100","Tb927.1.1100:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:308,515..311,616(+)","Basal body protein","protein coding","Tb927.1.1100"
"Tb927.1.1120","Tb927.1.1120:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:312,383..313,566(+)","ribosomal RNA-processing protein 8, putative","protein coding","Tb927.1.1120"
"Tb927.1.1130","Tb927.1.1130:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:313,928..315,833(+)","glycerol-3-phosphate dehydrogenase (FAD-dependent), putative","protein coding","Tb927.1.1130"
"Tb927.1.1140","Tb927.1.1140:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:316,136..317,263(+)","Transmembrane protein 231, putative","protein coding","Tb927.1.1140"
"Tb927.1.1150","Tb927.1.1150:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:317,686..319,537(+)","zeta tubulin","protein coding","Tb927.1.1150"
"Tb927.1.1160","Tb927.1.1160:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:319,645..321,248(+)","kinetoplast ribosomal PPR-repeat containing protein 3","protein coding","Tb927.1.1160"
"Tb927.1.1170","Tb927.1.1170:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:321,591..321,873(+)","DNA-directed RNA polymerase 2, RPB12 subunit","protein coding","Tb927.1.1170"
"Tb927.1.1175","Tb927.1.1175:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:322,204..322,845(+)","hypothetical protein","protein coding","NTCDS.Tb1.NT.22"
"Tb927.1.120","Tb927.1.120:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:60,218..62,886(-)","retrotransposon hot spot protein 4 (RHS4), putative","protein coding","Tb927.1.120"
"Tb927.1.1200","Tb927.1.1200:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:322,959..324,540(+)","Mitochondrial ribosomal protein S15","protein coding","Tb927.1.1200"
"Tb927.1.1210","Tb927.1.1210:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:325,360..326,379(+)","conserved protein, unknown function","protein coding","Tb927.1.1210"
"Tb927.1.1220","Tb927.1.1220:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:326,506..327,395(+)","RWD domain-containing protein","protein coding","Tb927.1.1220"
"Tb927.1.1230","Tb927.1.1230:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:327,626..329,839(+)","chaperone protein DnaJ, putative","protein coding","Tb927.1.1230"
"Tb927.1.1240","Tb927.1.1240:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:330,231..332,871(+)","cytidine triphosphate synthase, putative","protein coding","Tb927.1.1240"
"Tb927.1.1270","Tb927.1.1270:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:334,682..335,988(+)","homocysteine S-methyltransferase, putative","protein coding","Tb927.1.1270"
"Tb927.1.1300","Tb927.1.1300:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:338,011..339,021(+)","hypothetical transmembrane protein, conserved","protein coding","Tb927.1.1300"
"Tb927.1.1310","Tb927.1.1310:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:339,514..341,181(+)","transmembrane protein, conserved","protein coding","Tb927.1.1310"
"Tb927.1.1330","Tb927.1.1330:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:341,280..342,519(+)","Mitochondrial Editosome-like Complex TUTase","protein coding","Tb927.1.1330"
"Tb927.1.1340","Tb927.1.1340:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:342,870..345,206(+)","Quinonprotein alcohol dehydrogenase-like protein, putative","protein coding","Tb927.1.1340"
"Tb927.1.1350","Tb927.1.1350:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:345,440..349,875(+)","kinesin heavy chain, putative","protein coding","Tb927.1.1350"
"Tb927.1.1370","Tb927.1.1370:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:350,008..353,225(+)","rRNA biogenesis protein, putative","protein coding","Tb927.1.1370"
"Tb927.1.1380","Tb927.1.1380:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:352,622..355,913(+)","serine/threonine protein phosphatase 2A regulatory subunit, putative","protein coding","Tb927.1.1380"
"Tb927.1.1390","Tb927.1.1390:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:356,851..358,003(+)","hypothetical protein, conserved","protein coding","Tb927.1.1390"
"Tb927.1.1400","Tb927.1.1400:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:358,331..358,941(+)","Overproducer of inositol protein 10 homolog, putative","protein coding","Tb927.1.1400"
"Tb927.1.1420","Tb927.1.1420:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:360,216..362,252(+)","conserved protein, unknown function","protein coding","Tb927.1.1420"
"Tb927.1.1470","Tb927.1.1470:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:366,500..371,255(+)","conserved protein, unknown function","protein coding","Tb927.1.1470"
"Tb927.1.1500","Tb927.1.1500:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:374,289..380,825(+)","conserved protein, unknown function","protein coding","Tb927.1.1500"
"Tb927.1.1530","Tb927.1.1530:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:385,687..394,564(+)","STE group serine/threonine-protein kinase, putative","protein coding","Tb927.1.1530"
"Tb927.1.1540","Tb927.1.1540:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:394,770..397,050(+)","Tubulin/FtsZ family, putative","protein coding","Tb927.1.1540"
"Tb927.1.1550","Tb927.1.1550:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:397,182..399,439(+)","tubulin-tyrosine ligase, putative","protein coding","Tb927.1.1550"
"Tb927.1.1560","Tb927.1.1560:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:399,582..403,619(+)","vesicular-fusion protein nsf, putative","protein coding","Tb927.1.1560"
"Tb927.1.1580","Tb927.1.1580:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:403,754..405,277(+)","electron transport protein SCO1/2, putative","protein coding","Tb927.1.1580"
"Tb927.1.1600","Tb927.1.1600:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:405,433..410,249(+)","pseudouridine synthase TruD, putative","protein coding","Tb927.1.1600"
"Tb927.1.1610","Tb927.1.1610:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:411,183..412,571(+)","hypothetical protein, conserved","protein coding","Tb927.1.1610"
"Tb927.1.1620","Tb927.1.1620:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:412,695..415,370(+)","ATP-dependent DEAD/H RNA helicase, putative","protein coding","Tb927.1.1620"
"Tb927.1.1630","Tb927.1.1630:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:415,584..416,167(+)","transcription elongation factor 1 homolog","protein coding","Tb927.1.1630"
"Tb927.1.1640","Tb927.1.1640:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:416,749..417,804(+)","hypothetical protein, conserved","protein coding","Tb927.1.1640"
"Tb927.1.1650","Tb927.1.1650:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:417,999..418,622(+)","hypothetical protein, conserved","protein coding","Tb927.1.1650"
"Tb927.1.1660","Tb927.1.1660:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:418,784..419,716(+)","ESCO acetyltransferase domain-containing protein","protein coding","Tb927.1.1660"
"Tb927.1.1670","Tb927.1.1670:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:419,908..424,412(+)","ARM-like helical domain-containing protein","protein coding","Tb927.1.1670"
"Tb927.1.1680","Tb927.1.1680:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:424,538..425,655(+)","Transcription elongation factor 1 domain-containing protein","protein coding","Tb927.1.1680"
"Tb927.1.1690","Tb927.1.1690:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:425,774..428,601(+)","RNA-editing nuclease 1","protein coding","Tb927.1.1690"
"Tb927.1.1700","Tb927.1.1700:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:428,804..430,357(+)","AATF protein, putative","protein coding","Tb927.1.1700"
"Tb927.1.1710","Tb927.1.1710:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:430,810..436,805(+)","transmembrane protein, conserved","protein coding","Tb927.1.1710"
"Tb927.1.1720","Tb927.1.1720:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:436,931..438,166(+)","cyclophilin 15, putative","protein coding","Tb927.1.1720"
"Tb927.1.1730","Tb927.1.1730:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:438,559..440,944(+)","Polyadenylation mediator complex protein PAMC1, putative","protein coding","Tb927.1.1730"
"Tb927.1.1740","Tb927.1.1740:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:441,101..462,853(+)","Microtubule-associated protein futsch, putative","protein coding","Tb927.1.1740"
"Tb927.1.1750","Tb927.1.1750:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:463,430..464,902(+)","conserved protein, unknown function","protein coding","Tb927.1.1750"
"Tb927.1.1760","Tb927.1.1760:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:465,361..465,801(+)","hypothetical transmembrane protein","protein coding","Tb927.1.1760"
"Tb927.1.1770","Tb927.1.1770:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:466,901..467,937(+)","Dithiol glutaredoxin 2","protein coding","Tb927.1.1770"
"Tb927.1.1790","Tb927.1.1790:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:468,057..469,268(+)","hypothetical PIN domain-containing protein, conserved","protein coding","Tb927.1.1790"
"Tb927.1.180","Tb927.1.180:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:69,661..72,469(-)","retrotransposon hot spot protein 1 (RHS1), putative","protein coding","Tb927.1.180"
"Tb927.1.1820","Tb927.1.1820:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:470,120..471,459(+)","hypothetical PIN domain-containing protein","protein coding","Tb927.1.1820"
"Tb927.1.1840","Tb927.1.1840:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:473,180..477,856(+)","conserved protein, unknown function","protein coding","Tb927.1.1840"
"Tb927.1.1850","Tb927.1.1850:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:479,530..482,045(+)","hypothetical protein, conserved","protein coding","Tb927.1.1850"
"Tb927.1.1880","Tb927.1.1880:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:483,817..488,521(+)","WD40 repeat-containing protein","protein coding","Tb927.1.1880"
"Tb927.1.1890","Tb927.1.1890:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:488,949..493,047(+)","Replication Factor C Subunit 1-related protein","protein coding","Tb927.1.1890"
"Tb927.1.190","Tb927.1.190:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:74,919..77,979(-)","retrotransposon hot spot protein (RHS, pseudogene), putative","protein coding","Tb927.1.190"
"Tb927.1.1910","Tb927.1.1910:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:493,470..497,857(+)","MORN repeat-containing protein","protein coding","Tb927.1.1910"
"Tb927.1.1920","Tb927.1.1920:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:498,098..500,775(+)","conserved protein, unknown function","protein coding","Tb927.1.1920"
"Tb927.1.1930","Tb927.1.1930:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:500,880..513,605(+)","phosphatidylinositol 3-kinase, putative","protein coding","Tb927.1.1930"
"Tb927.1.1960","Tb927.1.1960:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:513,878..516,276(+)","chaperone protein DnaJ, putative","protein coding","Tb927.1.1960"
"Tb927.1.1980","Tb927.1.1980:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:516,410..517,613(+)","protein transport protein YIF1, putative","protein coding","Tb927.1.1980"
"Tb927.1.1990","Tb927.1.1990:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:517,767..518,431(+)","Pre-mRNA-splicing factor 38, putative","protein coding","Tb927.1.1990"
"Tb927.1.20","Tb927.1.20:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:7,554..8,566(-)","expression site-associated gene 3 (ESAG3), pseudogene","protein coding","Tb927.1.20"
"Tb927.1.2000","Tb927.1.2000:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:518,621..519,181(+)","hypothetical protein","protein coding","Tb927.1.2000"
"Tb927.1.2040","Tb927.1.2040:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:521,080..522,475(-)","expression site-associated gene 2 (ESAG2) protein, putative","protein coding","Tb927.1.2040"
"Tb927.1.2060","Tb927.1.2060:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:524,736..524,873(-)","expression site-associated gene 11 (ESAG11), fragment","protein coding","Tb927.1.2060"
"Tb927.1.2070","Tb927.1.2070:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:524,998..525,443(-)","expression site-associated gene 11 (ESAG11), fragment","protein coding","Tb927.1.2070"
"Tb927.1.2100","Tb927.1.2100:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:531,515..535,583(+)","Calpain-like protein 1.1","protein coding","Tb927.1.2100"
"Tb927.1.2110","Tb927.1.2110:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:535,994..538,833(+)","Calpain-like protein 1.2","protein coding","Tb927.1.2110"
"Tb927.1.2120","Tb927.1.2120:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:540,417..545,837(+)","Calpain-like protein CALP1.3","protein coding","Tb927.1.2120"
"Tb927.1.2150","Tb927.1.2150:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:546,122..548,454(+)","Small kinetoplastid calpain-related protein 1-4","protein coding","Tb927.1.2150"
"Tb927.1.2160","Tb927.1.2160:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:548,660..550,440(+)","Small kinetoplastid calpain-related protein 1-5","protein coding","Tb927.1.2160"
"Tb927.1.2190","Tb927.1.2190:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:551,782..559,549(+)","Raptor N-terminal CASPase like domain containing protein, putative","protein coding","Tb927.1.2190"
"Tb927.1.220","Tb927.1.220:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:85,611..88,419(-)","retrotransposon hot spot protein 1 (RHS1), putative","protein coding","Tb927.1.220"
"Tb927.1.2200","Tb927.1.2200:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:559,477..560,052(+)","zinc finger protein family member, putative","protein coding","Tb927.1.2200"
"Tb927.1.2210","Tb927.1.2210:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:559,984..562,221(+)","nucleosome assembly protein (NAP), putative","protein coding","Tb927.1.2210"
"Tb927.1.2230","Tb927.1.2230:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:562,111..564,339(+)","small myristoylated protein 1-1","protein coding","Tb927.1.2230"
"Tb927.1.2260","Tb927.1.2260:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:564,601..567,106(+)","small myristoylated protein 1-2","protein coding","Tb927.1.2260"
"Tb927.1.2310","Tb927.1.2310:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:567,371..568,169(+)","hypothetical protein","protein coding","Tb927.1.2310"
"Tb927.1.2320","Tb927.1.2320:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:568,526..569,507(+)","Cardiolipin-dependent protein 35kDa","protein coding","Tb927.1.2320"
"Tb927.1.2330","Tb927.1.2330:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:570,423..572,177(+)","beta tubulin","protein coding","Tb927.1.2330"
"Tb927.1.2340","Tb927.1.2340:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:572,336..573,881(+)","alpha tubulin","protein coding","Tb927.1.2340"
"Tb927.1.2350","Tb927.1.2350:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:574,065..575,819(+)","beta tubulin","protein coding","Tb927.1.2350"
"Tb927.1.2360","Tb927.1.2360:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:575,978..577,523(+)","alpha tubulin","protein coding","Tb927.1.2360"
"Tb927.1.2370","Tb927.1.2370:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:577,707..579,461(+)","beta tubulin","protein coding","Tb927.1.2370"
"Tb927.1.2380","Tb927.1.2380:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:579,620..581,165(+)","alpha tubulin","protein coding","Tb927.1.2380"
"Tb927.1.2390","Tb927.1.2390:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:581,349..583,103(+)","beta tubulin","protein coding","Tb927.1.2390"
"Tb927.1.240","Tb927.1.240:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:88,986..99,145(-)","retrotransposon hot spot protein (RHS, pseudogene), putative","protein coding","Tb927.1.240"
"Tb927.1.2400","Tb927.1.2400:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:583,262..584,807(+)","alpha tubulin","protein coding","Tb927.1.2400"
"Tb927.1.2410","Tb927.1.2410:pseudogenic_transcript","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:584,991..585,950(+)","beta tubulin, pseudogene","protein coding","Tb927.1.2410"
"Tb927.1.2420","Tb927.1.2420:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:591,041..592,285(+)","hypothetical protein","protein coding","Tb927.1.2420"
"Tb927.1.2430","Tb927.1.2430:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:592,441..593,869(+)","histone H3, putative","protein coding","Tb927.1.2430"
"Tb927.1.2450","Tb927.1.2450:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:594,024..595,466(+)","histone H3, putative","protein coding","Tb927.1.2450"
"Tb927.1.2470","Tb927.1.2470:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:595,608..597,044(+)","histone H3, putative","protein coding","Tb927.1.2470"
"Tb927.1.2490","Tb927.1.2490:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:597,200..598,630(+)","histone H3, putative","protein coding","Tb927.1.2490"
"Tb927.1.2510","Tb927.1.2510:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:598,786..600,216(+)","histone H3, putative","protein coding","Tb927.1.2510"
"Tb927.1.2530","Tb927.1.2530:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:600,372..601,800(+)","histone H3, putative","protein coding","Tb927.1.2530"
"Tb927.1.2550","Tb927.1.2550:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:601,956..603,378(+)","histone H3, putative","protein coding","Tb927.1.2550"
"Tb927.1.2570","Tb927.1.2570:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:603,459..606,430(+)","coatomer beta subunit","protein coding","Tb927.1.2570"
"Tb927.1.2580","Tb927.1.2580:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:607,396..608,595(+)","exosome-associated protein 1","protein coding","Tb927.1.2580"
"Tb927.1.2600","Tb927.1.2600:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:609,479..614,307(+)","pumilio/PUF RNA binding protein 9","protein coding","Tb927.1.2600"
"Tb927.1.2640","Tb927.1.2640:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:616,213..617,552(+)","hypothetical protein, conserved","protein coding","Tb927.1.2640"
"Tb927.1.2670","Tb927.1.2670:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:618,377..621,469(+)","paralyzed flagella 16","protein coding","Tb927.1.2670"
"Tb927.1.270","Tb927.1.270:mRNA","Trypanosoma brucei brucei TREU927","Tb927_01_v5.1:106,147..107,927(+)","hypothetical protein","protein coding","Tb927.1.270"
