GeneID	Chromosome	CDS start	CDS end	PCF1r	PCF2r	PCF3r	slBF1r	slBF2r	slBF3r	cBF1r	cBF2r	cBF3r	PCF1m	PCF2m	PCF3m	slBF1m	slBF2m	slBF3m	cBF1m	cBF2m	cBF3m	Percent Multialigners	Annotation source	is Pseudogene	Functional category	Prodcut description
NCDS.Tb927.11.14612	Tb927_11_v5	3882546	3883913	8.5	9.9	7.9	5100.0	3003.0	3251.0	1096.3	687.9	705.0	29.2	78.8	18.1	5183.1	3683.4	3951.8	1216.9	616.6	766.4	56.2	Seattle BioMed	No	ESAG/GRESAG	"expression site-associated gene (ESAG) protein, putative,expression site-associated gene 2 (ESAG2) protein, putative"
NCDS.Tb927.11.14613	Tb927_11_v5	3884116	3885246	6.2	7.8	11.5	1152.7	1266.8	1335.6	452.4	302.9	423.5	17.1	40.8	17.5	966.3	983.3	992.1	639.8	516.5	702.6	21.1	Seattle BioMed	No	ESAG/GRESAG	"expression site-associated gene (ESAG) protein, putative,expression site-associated gene 11 (ESAG11) protein, putative"
NCDS.Tb927.11.15665	Tb927_11_v5	4153401	4153204	105.8	67.4	50.1	103.0	24.3	31.8	100.9	50.8	89.9	333.0	258.5	163.0	298.8	174.8	127.8	366.5	148.8	107.0	0.2	Seattle BioMed	No	Unknown: Tb-specific	hypothetical protein
NCDS.Tb927.11.161	Tb927_11_v5	38058	37888	152.2	151.2	130.7	75.7	54.5	87.3	87.8	86.3	82.8	328.7	304.7	185.8	178.2	118.3	73.3	283.3	184.3	86.0	0.3	Seattle BioMed	No	Unknown: Tb-specific	hypothetical protein
NCDS.Tb927.11.2461	Tb927_11_v5	724791	724510	349.0	225.3	385.9	85.5	82.8	119.2	102.9	127.6	206.4	300.9	255.7	281.1	165.5	110.8	123.7	133.9	154.4	116.3	1.8	Seattle BioMed	No	Unknown: conserved	"hypothetical protein, conserved"
NCDS.Tb927.11.6740	Tb927_11_v5	1905758	1903710	1150.7	495.8	891.2	509.8	318.0	317.8	226.0	380.8	257.0	1048.3	790.1	1174.1	730.9	850.3	792.1	697.3	741.2	853.6	1.1	Seattle BioMed	No	RNA-associated	"pumilio/PUF RNA binding protein 10, putative (PUF10)"
NCDS.Tb927.11.711	Tb927_11_v5	173609	173337	6289.2	6907.5	9444.5	4522.7	3331.1	5468.6	2426.1	7240.9	5205.0	3381.9	4404.3	3696.7	2735.0	1444.4	1513.9	2615.2	4347.7	2780.7	0.2	Seattle BioMed	No	organelle biogenesis and structure	"dynein light chain LC8, putative (DYNLL2)"
NCDS.Tb927.11.7451	Tb927_11_v5	2099456	2102419	879.2	654.5	734.8	474.9	494.6	438.1	349.0	383.2	385.8	866.4	686.7	887.2	641.2	1056.9	1120.4	625.3	702.4	1040.7	0.3	Seattle BioMed	No	RNA-associated	exosome complex exonuclease RRP44p homologue (RRP44)
NCDS.Tb927.11.7452	Tb927_11_v5	2102610	2106047	556.6	400.7	423.0	266.5	241.2	189.4	205.3	289.9	288.4	836.9	603.6	884.0	700.9	974.5	1051.9	576.2	743.5	1073.4	1.1	Seattle BioMed	No	RNA-associated	"mRNA processing protein, putative"
NCDS.Tb927.11.7454	Tb927_11_v5	2108687	2109895	140.2	166.6	144.9	163.1	174.6	215.0	189.9	106.4	146.1	355.1	368.3	390.9	444.3	393.1	296.7	399.2	366.5	348.4	1.5	Seattle BioMed	No	Protease-related	"ubiquitin activating enzyme, putative"
NCDS.Tb927.11.7455	Tb927_11_v5	2112676	2110784	461.5	444.8	478.9	859.7	913.5	693.3	696.6	676.6	673.2	546.3	564.9	725.0	842.0	923.1	939.3	675.3	639.0	1160.9	61.3	Seattle BioMed	No	Metabolism	"NADPH--cytochrome p450 reductase, putative (CPR)"
NCDS.Tb927.11.7456	Tb927_11_v5	2115381	2114086	148.7	149.0	176.0	113.9	114.1	160.6	125.5	108.3	100.0	224.2	241.8	303.4	238.4	298.3	375.9	186.9	218.1	333.4	1.0	Seattle BioMed	No	Unknown: conserved	"hypothetical protein, conserved"
NCDS.Tb927.11.7457	Tb927_11_v5	2117528	2115795	134.1	129.2	139.6	284.2	317.0	346.6	181.7	165.6	170.5	619.5	412.5	609.1	579.9	811.2	951.6	494.0	525.9	591.3	0.4	Seattle BioMed	No	Unknown: conserved	"hypothetical protein, conserved"
NCDS.Tb927.11.7675	Tb927_11_v5	2174442	2174092	2414.2	478.3	2123.9	756.6	358.4	480.1	1257.9	1744.6	795.4	6387.6	5429.8	5713.0	5118.3	3517.1	2385.5	6094.5	5355.2	3086.1	100.0	Seattle BioMed	No	Unknown: Tb-specific	"hypothetical protein, unlikely"
NCDS.Tb927.11.7695	Tb927_11_v5	2182150	2181248	155.6	64.3	167.8	577.4	719.7	625.2	314.9	266.8	418.4	470.7	628.7	572.8	661.7	673.2	819.1	501.8	449.7	517.3	1.2	Seattle BioMed	No	Unknown: Tb-specific	"hypothetical protein,chrXI additional, unordered contigs"
NCDS.Tb927.11.7702	Tb927_11_v5	2184874	2184545	53.4	57.5	84.3	95.2	38.4	90.8	71.0	63.2	121.2	471.5	495.8	415.8	409.0	298.1	184.1	476.6	536.0	218.6	0.1	Seattle BioMed	No	Unknown: conserved	"hypothetical protein, conserved"
NCDS.Tb927.11.7705	Tb927_11_v5	2185927	2185472	2251.2	762.9	1821.4	734.4	266.5	395.1	940.6	1185.1	611.5	9671.1	8086.6	8340.4	6362.2	3999.8	2912.8	5270.9	5511.7	2979.7	73.3	Seattle BioMed	No	Translation	"40S ribosomal protein S14, putative,chrXI additional, unordered contigs (RPS14)"
NCDS.Tb927.11.7707	Tb927_11_v5	2186853	2186476	273.0	269.3	288.3	177.3	211.0	285.6	109.0	171.0	190.8	234.6	274.2	197.6	261.9	191.1	171.3	159.9	179.5	149.9	71.2	Seattle BioMed	No	Unknown: conserved	"hypothetical protein, conserved"
NCDS.Tb927.6.811	Tb927_06_v4	343859	343530	15.6	11.1	13.1	155.4	99.9	157.6	150.1	144.4	178.8	59.8	39.7	20.9	108.6	180.3	132.4	88.2	69.8	119.9	2.4	Seattle BioMed	No	Unknown: Tb-specific	"hypothetical protein, unlikely"
NCDS.Tb927.7.4641	Tb927_07_v4	1230858	1230655	25.3	32.9	9.8	7.2	11.1	12.6	12.3	14.1	16.9	112.4	132.2	39.7	56.3	37.5	21.4	84.9	56.2	35.7	0.0	Seattle BioMed	No	Unknown: Tb-specific	hypothetical protein
NCDS.Tb927.8.2391	Tb927_08_v4	722552	722794	12.0	7.8	11.7	19.8	9.1	20.3	30.9	61.8	61.9	287.0	367.6	190.4	211.8	121.2	104.5	303.2	243.6	113.1	1.0	Seattle BioMed	No	Unknown: Tb-specific	hypothetical protein
NCDS.Tb927.9.13655	Tb927_09_v5	2172657	2172109	954.4	681.1	1296.4	1565.5	1228.5	1584.1	1127.7	1572.5	1800.1	1204.6	1124.3	1432.3	1993.1	939.3	735.5	1858.6	1981.3	1158.3	99.7	Seattle BioMed	No	Protein transport/modification	"ADP-ribosylation factor, putative"
NCDS.Tb927.9.13715	Tb927_09_v5	2175001	2174453	1095.6	665.7	1425.6	1810.9	1369.8	1812.5	1160.6	1627.2	1757.5	1251.9	1285.9	1539.3	2138.0	1001.5	851.5	1870.4	1911.1	1155.3	100.0	Seattle BioMed	No	Protein transport/modification	"ADP-ribosylation factor, putative"
NCDS.Tb927.9.13745	Tb927_09_v5	2176787	2175948	98.1	132.4	121.3	291.4	254.4	295.5	194.2	237.0	280.9	503.6	560.4	399.3	805.6	650.4	606.7	699.4	460.7	518.6	0.4	Seattle BioMed	No	Unknown: conserved	"hypothetical protein, conserved"
NCDS.Tb927.9.13775	Tb927_09_v5	2178793	2178515	4205.4	6762.7	4726.6	4201.0	3389.6	4857.0	1900.1	3993.6	3498.3	2477.7	2453.7	2177.0	2746.9	2239.6	1670.6	1465.4	2459.4	2322.6	95.9	Seattle BioMed	No	Other	kinetoplastid membrane protein KMP-11
NCDS.Tb927.9.13785	Tb927_09_v5	2179386	2179108	4393.8	6278.3	4500.9	4223.1	3335.1	4841.8	1895.2	3987.4	3548.2	2173.5	2383.6	1909.8	2826.7	2088.8	1539.8	1549.1	2525.7	2406.9	100.0	Seattle BioMed	No	Other	kinetoplastid membrane protein KMP-11
NCDS.Tb927.9.14555	Tb927_09_v5	2276594	2278426	196.7	204.1	119.3	89.2	58.6	86.4	194.0	279.6	94.4	342.9	431.2	255.9	378.3	271.8	240.5	769.9	495.6	451.2	2.9	Seattle BioMed	No	Interacting	"leucine-rich repeat protein (LRRP), putative"
NCDS.Tb927.9.15035	Tb927_09_v5	2346258	2347865	159.2	91.8	136.9	44.5	58.5	51.0	94.2	115.4	137.3	373.1	395.1	447.3	346.2	402.4	261.2	545.4	499.3	552.0	0.3	Seattle BioMed	No	DNA-associated	"DNA polymerase epsilon subunit b, putative"
NCDS.Tb927.9.15215	Tb927_09_v5	2362520	2362849	2244.6	335.9	1332.3	453.9	146.4	216.3	889.1	822.0	533.6	6274.4	4274.0	4672.9	3347.0	3088.1	2445.4	2585.0	2859.7	2668.7	30.9	Seattle BioMed	No	Translation	"ribosomal protein L36, putative"
NCDS.Tb927.9.15245	Tb927_09_v5	2365598	2366344	222.2	167.9	217.8	73.2	51.5	85.3	86.7	80.1	115.4	895.6	1403.3	917.0	425.6	247.5	217.9	802.1	639.2	377.3	0.3	Seattle BioMed	No	Unknown: conserved	"hypothetical protein, conserved"
NCDS.Tb927.9.15335	Tb927_09_v5	2381852	2383918	125.7	154.4	109.9	139.9	163.5	124.7	63.6	68.7	87.4	545.5	538.2	618.4	581.4	546.8	573.1	535.0	585.9	684.8	1.2	Seattle BioMed	No	Unknown: conserved	"hypothetical protein, conserved"
NCDS.Tb927.9.15705	Tb927_09_v5	2461239	2462666	6.1	5.5	6.5	524.6	354.3	409.8	22.9	14.0	15.9	15.8	11.1	8.1	244.3	330.5	314.3	15.4	17.6	7.9	72.9	Seattle BioMed	No	VSG/VR	"variant surface glycoprotein (VSG)-related, putative"
NCDS.Tb927.9.15715	Tb927_09_v5	2469698	2471122	7.3	7.7	7.8	418.4	319.0	376.8	35.0	20.2	18.5	17.3	7.3	8.0	178.8	290.7	270.2	16.6	14.4	10.3	56.7	Seattle BioMed	No	VSG/VR	"variant surface glycoprotein (VSG)-related, putative"
NCDS.Tb927.9.15735	Tb927_09_v5	2478151	2479575	46.7	33.1	21.4	181.1	167.6	169.0	66.5	28.9	39.1	20.6	12.0	9.6	94.8	170.1	138.5	25.7	22.7	17.7	65.0	Seattle BioMed	No	VSG/VR	"variant surface glycoprotein (VSG)-related, putative"
NCDS.Tb927.9.15795	Tb927_09_v5	2495100	2496521	6.1	6.6	7.8	285.6	201.9	220.7	84.7	46.6	27.3	13.4	10.1	8.0	143.9	192.0	195.7	42.4	24.3	38.8	50.0	Seattle BioMed	No	VSG/VR	"variant surface glycoprotein (VSG)-related, putative"
NCDS.Tb927.9.2801	Tb927_09_v5	610758	609472	12.3	7.9	35.4	48.3	24.2	45.8	15.7	14.1	7.6	216.9	161.5	144.1	222.4	119.8	155.8	99.9	79.3	84.9	100.0	Seattle BioMed	No	Unknown: conserved	"hypothetical protein, conserved"
NCDS.Tb927.9.2802	Tb927_09_v5	613765	612533	16.1	21.1	48.6	47.5	29.3	50.0	20.4	12.3	8.8	169.5	132.8	182.9	207.3	107.7	181.0	136.9	98.5	132.7	99.9	Seattle BioMed	No	Unknown: conserved	"hypothetical protein,chrIX additional, unordered contigs"
NCDS.Tb927.9.2803	Tb927_09_v5	616858	615554	20.8	18.9	43.5	61.1	25.3	58.3	18.0	9.6	11.1	186.6	146.7	183.1	221.7	156.5	196.5	117.4	101.8	101.4	100.0	Seattle BioMed	No	Unknown: conserved	"hypothetical protein,chrIX additional, unordered contigs"
NCDS.Tb927.9.2811	Tb927_09_v5	629069	627747	16.0	16.7	45.9	58.3	18.2	41.5	17.0	17.7	12.3	174.3	135.6	151.3	195.3	129.6	157.5	177.6	137.6	170.3	100.0	Seattle BioMed	No	Unknown: conserved	"hypothetical protein,chrIX additional, unordered contigs"
NCDS.Tb927.9.2812	Tb927_09_v5	631992	630706	23.2	16.7	48.6	54.3	23.2	41.4	12.3	15.0	12.2	169.0	138.4	158.8	214.1	125.7	154.9	153.3	125.0	150.4	100.0	Seattle BioMed	No	Unknown: conserved	"hypothetical protein,chrIX additional, unordered contigs"
NCDS.Tb927.9.2813	Tb927_09_v5	635034	633766	19.5	15.6	38.4	47.4	28.3	56.3	8.7	12.4	9.8	198.1	161.5	177.3	211.5	151.7	134.9	92.6	85.1	85.9	100.0	Seattle BioMed	No	Unknown: conserved	"hypothetical protein,chrIX additional, unordered contigs"
NCDS.Tb927.9.2814	Tb927_09_v5	638073	636805	18.4	10.2	50.8	54.9	19.2	45.7	19.2	15.9	6.4	172.2	145.8	166.4	212.4	138.1	188.7	124.0	92.3	124.4	100.0	Seattle BioMed	No	Unknown: conserved	"hypothetical protein,chrIX additional, unordered contigs"
NCDS.Tb927.9.2815	Tb927_09_v5	641202	639844	17.3	15.6	51.0	54.7	21.2	53.5	21.7	15.0	10.0	175.7	168.0	172.6	213.2	109.7	172.3	188.8	137.7	168.9	100.0	Seattle BioMed	No	Unknown: conserved	"hypothetical protein,chrIX additional, unordered contigs"
NCDS.Tb927.9.2816	Tb927_09_v5	644206	642974	15.9	13.4	36.9	63.7	25.3	54.0	14.5	11.4	8.7	198.4	148.5	205.9	223.7	130.1	184.4	111.7	75.9	104.4	99.9	Seattle BioMed	No	Unknown: conserved	"hypothetical protein,chrIX additional, unordered contigs"
NCDS.Tb927.9.2817	Tb927_09_v5	648424	645989	24.5	26.6	65.4	183.1	136.3	181.7	69.7	30.7	11.6	337.8	256.6	269.1	350.2	276.2	314.2	296.4	169.5	243.2	86.4	Seattle BioMed	No	Unknown: conserved	"hypothetical protein,chrIX additional, unordered contigs"
NCDS.Tb927.9.2821	Tb927_09_v5	651899	650055	56.3	105.0	300.7	279.6	140.3	200.1	44.9	49.5	15.2	271.0	276.0	376.6	310.0	237.1	310.0	358.7	212.9	306.2	86.2	Seattle BioMed	No	Unknown: conserved	"hypothetical protein, conserved"
NCDS.Tb927.9.2841	Tb927_09_v5	622888	621584	14.8	11.2	41.9	44.4	30.3	42.9	18.1	14.1	10.0	261.6	169.7	233.6	238.9	148.5	187.8	113.6	114.0	119.9	99.2	Seattle BioMed	No	Unknown: conserved	"hypothetical protein,chrIX additional, unordered contigs"
NCDS.Tb927.9.2842	Tb927_09_v5	625973	624669	12.5	14.5	48.3	62.8	40.4	53.1	22.9	19.5	6.5	177.9	139.3	178.5	218.7	152.2	171.4	172.4	111.2	156.5	100.0	Seattle BioMed	No	Unknown: conserved	"hypothetical protein,chrIX additional, unordered contigs"
NCDS.Tb927.9.4755	Tb927_09_v5	867907	868011	35.3	59.4	41.9	56.8	38.4	70.2	29.7	59.1	60.6	93.9	103.4	84.4	75.7	52.6	55.3	98.4	74.2	35.5	33.5	Seattle BioMed	No	Unknown: Tb-specific	hypothetical protein
NCDS.Tb927.9.5885	Tb927_09_v5	991620	992996	222.2	187.7	229.5	294.7	413.8	366.5	239.1	198.1	250.6	920.9	747.7	715.2	963.8	898.3	794.6	942.3	1009.1	744.1	0.8	Seattle BioMed	No	Unknown: conserved	"hypothetical protein, conserved"
NCDS.Tb927.9.715	Tb927_09_v5	172837	172754	14.6	24.1	13.3	30.1	24.2	44.7	6.1	4.3	7.2	14.5	12.0	15.1	16.9	27.3	13.7	7.6	18.2	6.3	63.5	Seattle BioMed	No	Unknown: Tb-specific	hypothetical protein
NCDS.Tb927.9.9115	Tb927_09_v5	1453872	1453699	61.1	39.8	24.1	23.6	32.3	33.3	34.7	52.7	101.5	189.8	233.7	109.6	146.7	93.6	57.7	210.8	171.4	100.8	1.0	Seattle BioMed	No	Unknown: Tb-specific	hypothetical protein
NTCDS.Tb1.NT.21	Tb927_01_v4	296394	296645	211.7	258.3	320.6	111.9	57.6	124.0	160.8	75.4	181.0	660.7	674.9	437.7	310.8	138.4	128.7	639.2	370.8	152.3	0.6	Tschudi Lab	No	Unknown: Tb-specific	hypothetical protein
NTCDS.Tb1.NT.22	Tb927_01_v4	322220	322444	70.0	84.8	43.6	247.2	79.8	161.4	60.2	88.9	127.3	334.8	248.3	267.5	220.4	139.7	134.9	234.6	182.6	162.7	0.5	Tschudi Lab	No	Unknown: conserved	"hypothetical protein, conserved"
NTCDS.Tb10.NT.100	Tb927_10_v5	2237932	2238081	694.5	365.6	859.2	464.3	251.4	356.1	469.0	931.3	938.2	724.1	622.1	896.0	556.4	240.0	217.9	755.3	1123.3	615.2	0.1	Tschudi Lab	No	Unknown: Tb-specific	hypothetical protein
NTCDS.Tb10.NT.105	Tb927_10_v5	2337107	2337301	28.8	18.9	24.8	252.1	459.3	456.5	346.6	356.7	416.2	44.4	65.7	25.5	190.6	133.7	168.8	203.6	164.3	190.2	0.2	Tschudi Lab	No	Unknown: Tb-specific	hypothetical protein
NTCDS.Tb10.NT.107	Tb927_10_v5	2340520	2340651	7.2	5.6	6.5	35.8	62.6	72.2	58.9	58.8	118.6	20.3	9.2	11.0	49.6	55.9	59.8	81.8	37.1	53.5	0.2	Tschudi Lab	No	Unknown: Tb-specific	hypothetical protein
NTCDS.Tb10.NT.110	Tb927_10_v5	2388412	2388492	31.5	37.5	34.0	64.9	96.9	125.5	70.5	40.3	60.8	80.1	104.4	76.8	74.4	78.0	54.4	74.9	98.6	30.1	0.0	Tschudi Lab	No	Unknown: Tb-specific	hypothetical protein
NTCDS.Tb10.NT.13	Tb927_10_v5	438549	438361	52.0	43.2	64.9	75.4	74.7	103.2	89.0	71.3	88.8	62.3	59.0	77.5	54.6	54.3	66.7	71.0	108.9	105.4	1.2	Tschudi Lab	No	Unknown: conserved	"hypothetical protein, conserved"
NTCDS.Tb10.NT.144	Tb927_10_v5	3299341	3298988	257.5	270.4	332.5	165.8	159.5	180.9	213.6	203.4	262.7	280.1	365.6	336.0	292.2	217.4	138.2	359.8	249.4	279.0	0.2	Tschudi Lab	No	Unknown: Tb-specific	"hypothetical protein, unlikely"
NTCDS.Tb10.NT.145	Tb927_10_v5	3299951	3299691	1393.7	609.5	1352.8	534.0	333.1	481.9	725.2	1285.5	1212.2	3605.6	3772.9	3098.2	2488.6	1582.2	1262.8	2911.5	2414.8	1533.0	73.0	Tschudi Lab	No	Translation	"40S ribosomal protein S27, putative"
NTCDS.Tb10.NT.79	Tb927_10_v5	1864069	1863830	139.2	137.0	229.0	66.1	33.3	56.0	79.4	75.7	104.4	87.0	123.8	105.5	86.0	84.4	61.3	133.4	106.1	105.6	0.1	Tschudi Lab	No	Unknown: Tb-specific	unspecified product
NTCDS.Tb10.NT.86	Tb927_10_v5	1980231	1979950	177.8	173.4	269.5	62.9	64.6	71.2	115.7	69.4	122.7	465.2	469.9	382.3	233.4	192.6	155.7	341.0	189.6	166.6	0.1	Tschudi Lab	No	Unknown: conserved	"hypothetical protein, conserved"
NTCDS.Tb10.NT.87	Tb927_10_v5	1989371	1989177	203.0	206.4	201.0	52.7	49.5	79.9	79.6	117.2	124.0	559.8	536.4	276.2	205.8	115.0	95.8	368.7	209.7	114.3	0.1	Tschudi Lab	No	Unknown: Tb-specific	"hypothetical protein, unlikely"
NTCDS.Tb10.NT.90	Tb927_10_v5	2020226	2020023	100.4	113.7	122.5	64.0	48.5	112.0	75.9	103.1	110.6	264.8	350.0	254.0	195.4	108.9	97.6	251.7	226.9	122.9	4.1	Tschudi Lab	No	Unknown: Tb-specific	hypothetical protein
NTCDS.Tb10.NT.94	Tb927_10_v5	2067741	2067956	184.5	136.9	112.6	129.6	129.2	180.6	272.3	220.0	502.0	451.9	508.7	475.1	336.6	171.0	120.0	833.5	612.3	289.3	4.0	Tschudi Lab	No	Unknown: Tb-specific	hypothetical protein
NTCDS.Tb10.NT.96	Tb927_10_v5	2124792	2124968	29.1	36.3	28.8	76.9	83.8	68.8	60.1	57.1	118.6	174.5	256.8	174.6	191.8	110.7	86.3	267.0	161.8	79.1	2.3	Tschudi Lab	No	Unknown: Tb-specific	hypothetical protein
NTCDS.Tb11.NT.10	Tb927_11_v5	163350	163063	393.0	571.7	744.5	278.8	179.7	359.5	318.3	234.2	339.4	433.7	487.5	377.8	297.3	224.2	220.7	308.5	277.2	223.9	0.3	Tschudi Lab	No	Unknown: conserved	"hypothetical protein, conserved"
NTCDS.Tb11.NT.100	Tb927_11_v5	2296563	2296859	295.8	161.4	336.1	131.8	99.9	159.8	144.3	182.3	231.0	462.7	549.4	349.0	392.7	204.0	139.9	461.8	353.9	241.6	0.8	Tschudi Lab	No	Unknown: Tb-specific	hypothetical protein
NTCDS.Tb11.NT.101	Tb927_11_v5	2302674	2302877	141.5	135.9	210.8	63.9	36.4	139.5	78.1	99.7	64.8	124.0	164.4	110.5	104.4	93.3	84.7	113.8	85.5	81.6	0.5	Tschudi Lab	No	Unknown: Tb-specific	hypothetical protein
NTCDS.Tb11.NT.103	Tb927_11_v5	2412323	2412451	20.7	20.0	37.3	29.4	27.3	41.8	25.8	27.2	37.5	49.1	51.7	34.2	41.6	66.7	46.7	104.2	62.8	42.7	0.0	Tschudi Lab	No	Unknown: Tb-specific	hypothetical protein
NTCDS.Tb11.NT.108	Tb927_11_v5	2555142	2555432	95.9	160.0	182.2	62.2	53.5	94.5	95.2	104.0	93.8	257.3	283.5	193.2	273.5	176.6	135.7	278.5	158.2	112.9	0.6	Tschudi Lab	No	Unknown: Tb-specific	hypothetical protein
NTCDS.Tb11.NT.109	Tb927_11_v5	2580523	2579987	90.8	146.5	76.2	127.7	92.9	120.2	129.1	79.1	130.1	555.4	526.2	423.7	638.2	377.8	328.7	597.8	402.2	327.3	0.6	Tschudi Lab	No	Unknown: Tb-specific	hypothetical protein
NTCDS.Tb11.NT.110	Tb927_11_v5	2582705	2582349	90.5	60.9	100.1	50.2	24.2	52.1	97.7	72.9	155.2	393.4	300.0	305.8	345.6	246.9	203.2	348.6	238.9	232.6	3.2	Tschudi Lab	No	Unknown: Tb-specific	"hypothetical protein, unlikely"
NTCDS.Tb11.NT.112	Tb927_11_v5	2626789	2626430	75.0	67.4	110.4	269.1	172.6	245.8	245.2	230.8	249.5	163.7	274.3	192.8	510.0	262.3	237.8	297.0	493.0	399.0	0.5	Tschudi Lab	No	Unknown: Tb-specific	"hypothetical protein, unlikely"
NTCDS.Tb11.NT.118	Tb927_11_v5	2697743	2697958	1277.4	533.3	853.5	504.0	409.8	530.2	858.8	691.4	836.2	4060.2	2818.2	3127.1	2855.2	1642.6	1335.5	1879.8	2223.5	1557.8	100.0	Tschudi Lab	No	Translation	"60S ribosomal protein L29, putative"
NTCDS.Tb11.NT.119	Tb927_11_v5	2703686	2703925	111.1	136.7	80.1	186.1	220.1	350.7	144.4	182.2	334.0	439.4	403.4	456.6	288.4	266.9	218.9	193.8	377.9	230.5	0.4	Tschudi Lab	No	Unknown: Tb-specific	hypothetical protein
NTCDS.Tb11.NT.125	Tb927_11_v5	2966156	2966548	111.2	133.4	98.1	61.4	41.4	64.4	163.1	125.9	100.1	243.9	332.5	197.8	267.8	282.6	183.3	550.8	310.0	361.3	0.2	Tschudi Lab	No	Unknown: Tb-specific	hypothetical protein
NTCDS.Tb11.NT.126	Tb927_11_v5	2980172	2980513	109.9	100.5	114.7	182.0	81.8	123.4	286.4	216.6	209.6	262.4	313.0	329.7	465.2	217.0	199.7	478.6	262.7	379.1	0.2	Tschudi Lab	No	Unknown: Tb-specific	"hypothetical protein, unlikely"
NTCDS.Tb11.NT.128	Tb927_11_v5	3040867	3041160	149.8	146.8	151.4	103.6	79.8	96.7	133.0	150.7	115.8	261.7	232.6	173.3	208.4	170.0	142.7	262.3	229.7	186.9	0.3	Tschudi Lab	No	Unknown: conserved	"hypothetical protein, conserved"
NTCDS.Tb11.NT.131	Tb927_11_v5	3057709	3057786	20.6	22.1	26.0	34.5	67.6	69.4	47.4	22.7	49.6	33.6	26.8	23.3	39.6	33.5	34.6	40.2	42.9	30.7	0.0	Tschudi Lab	No	Unknown: Tb-specific	hypothetical protein
NTCDS.Tb11.NT.133	Tb927_11_v5	3064084	3064356	321.6	308.1	573.3	321.7	159.5	265.1	204.2	441.7	265.6	404.9	457.0	405.0	418.8	216.9	220.6	321.4	453.7	317.8	0.2	Tschudi Lab	No	organelle biogenesis and structure	"Dynein light chain LC6, flagellar outer arm, putative"
