"Gene_acc","Gene_id","bsf","pcf","rank_bsf","rank_pcf","Desc","prot_group"
"aa1045aa","Tb927.10.10720","6.37","6.22","4707.00","4944.00","Tetraspanin family, putative","PG596"
"aa1046aa","Tb927.10.10730","6.75","5.35","5406.00","3103.00","RNA Interference Factor 5","PG597"
"aa1047aa","Tb927.10.10740","5.67","4.82","3048.00","2377.00","hypothetical protein, conserved","PG598"
"aa1048aa","Tb927.10.10750","3.89","3.56","949.00","353.00","metallo-peptidase, Clan MC, Family M14, putative","PG599"
"aa1049aa","Tb927.10.10780","6.43","5.98","4864.00","4444.00","hypothetical protein, conserved","PG600"
"aa104aa","Tb10.v4.0034","6.00","5.21","3860.00","2848.00","SAP domain containing protein, putative","PG49"
"aa1050aa","Tb927.10.1090","7.92","7.76","6437.00","6462.00","40S ribosomal protein S23, putative","PG601"
"aa1051aa","Tb927.10.1080","7.92","7.76","6437.00","6462.00","40S ribosomal protein S23, putative","PG601"
"aa1052aa","Tb927.10.10800","5.78","5.96","3312.00","4383.00","palmitoyl acyltransferase 2, putative","PG602"
"aa1053aa","Tb927.10.10810","4.17","3.61","1010.00","794.00","adenosine deaminase-like protein","PG603"
"aa1054aa","Tb927.10.10820","3.23","3.71","104.00","1428.00","hypothetical protein, conserved","PG604"
"aa1055aa","Tb927.10.10830","7.00","6.06","5760.00","4605.00","RGG-containing protein 2","PG605"
"aa1056aa","Tb927.10.10840","5.98","3.61","3793.00","735.00","Enriched in surface-labeled proteome protein 15","PG606"
"aa1057aa","Tb11.v5.0423","5.98","3.61","3793.00","735.00","Plexin repeat, putative","PG606"
"aa1058aa","Tb927.10.10850","7.21","7.00","5995.00","6012.00","Protein argonaute-1","PG607"
"aa1059aa","Tb927.10.10870","5.19","5.33","1987.00","3051.00","CMGC family protein kinase, putative","PG608"
"aa105aa","Tb10.v4.0035","7.67","7.19","6332.00","6154.00","stress-inducible protein STI1-like, putative","PG50"
"aa1060aa","Tb927.10.10880","6.88","6.59","5598.00","5559.00","ATP-binding cassette sub-family F member 1, putative","PG609"
"aa1061aa","Tb927.10.10990","4.51","3.61","1173.00","791.00","predicted WD40 repeat protein","PG610"
"aa1062aa","Tb927.10.1100","8.26","7.22","6542.00","6184.00","60S ribosomal protein L9, putative","PG611"
"aa1063aa","Tb927.6.4690","8.26","7.22","6542.00","6184.00","60S ribosomal protein L9, putative","PG611"
"aa1064aa","Tb927.10.11000","3.33","3.60","440.00","705.00","hypothetical protein, conserved","PG612"
"aa1065aa","Tb927.10.11020","6.18","5.33","4264.00","3053.00","DNA mismatch repair protein MSH2, putative","PG613"
"aa1066aa","Tb11.v5.0547","6.18","5.33","4264.00","3053.00","DNA mismatch repair protein, putative","PG613"
"aa1067aa","Tb927.10.11030","6.88","6.95","5599.00","5966.00","Archaic translocase of outer membrane 11 kDa subunit","PG614"
"aa1068aa","Tb927.10.11050","4.75","5.03","1388.00","2607.00","LSU ribosomal protein, mitochondrial, putative","PG615"
"aa1069aa","Tb927.10.11060","3.55","4.10","828.00","2100.00","hypothetical protein, conserved","PG616"
"aa106aa","Tb927.10.4450","7.67","7.19","6332.00","6154.00","stress-inducible protein STI1-like, putative","PG50"
"aa1070aa","Tb927.10.11070","5.37","3.56","2344.00","354.00","hypothetical protein, conserved","PG617"
"aa1071aa","Tb927.10.11080","6.87","5.95","5592.00","4364.00","paraflagellar rod protein","PG618"
"aa1072aa","Tb927.10.11090","3.43","3.64","677.00","1051.00","hypothetical protein, conserved","PG619"
"aa1073aa","Tb927.10.11100","5.64","4.29","2974.00","2151.00","deoxyribodipyrimidine photo-lyase, putative","PG620"
"aa1074aa","Tb927.10.11110","4.25","3.71","1038.00","1462.00","hypothetical protein, conserved","PG621"
"aa1075aa","Tb927.10.11120","3.30","3.68","318.00","1268.00","hypothetical protein, conserved","PG622"
"aa1076aa","Tb927.10.11130","5.33","5.03","2271.00","2604.00","SET domain containing protein, putative","PG623"
"aa1077aa","Tb927.10.11140","5.81","3.65","3365.00","1076.00","hypothetical protein, conserved","PG624"
"aa1078aa","Tb927.10.11150","6.74","5.53","5395.00","3438.00","hypothetical protein, conserved","PG625"
"aa1079aa","Tb927.10.11160","5.13","5.52","1902.00","3397.00","NFU2 iron-sulfur cluster scaffold homolog, mitochondrial","PG626"
"aa107aa","Tb11.v5.0757","7.67","7.19","6332.00","6154.00","stress-inducible protein STI1-like, putative","PG50"
"aa1080aa","Tb927.10.11170","5.16","3.76","1951.00","1637.00","hypothetical protein, conserved","PG627"
"aa1081aa","Tb927.10.11180","5.74","5.72","3209.00","3812.00","Ubiquitin-like modifier-activating enzyme ATG7, putative","PG628"
"aa1082aa","Tb927.10.11190","4.43","4.65","1127.00","2267.00","tRNA-splicing ligase RtcB, putative","PG629"
"aa1083aa","Tb927.10.1120","4.54","3.82","1197.00","1788.00","hypothetical protein, conserved","PG630"
"aa1084aa","Tb927.10.11200","3.42","3.69","665.00","1328.00","hypothetical protein, conserved","PG631"
"aa1085aa","Tb927.10.11210","5.93","6.57","3697.00","5535.00","hypothetical protein, conserved","PG632"
"aa1086aa","Tb927.10.11220","5.90","7.40","3620.00","6283.00","procyclic form surface phosphoprotein","PG633"
"aa1087aa","Tb927.10.11230","5.69","3.71","3096.00","1454.00","Ras-induced vulval development antagonist, putative","PG634"
"aa1088aa","Tb927.10.11250","6.59","6.47","5147.00","5375.00","Coiled-coil domain-containing protein 40 homolog","PG635"
"aa1089aa","Tb11.v5.0575","6.59","6.47","5147.00","5375.00","Coiled-coil domain-containing protein 40 homolog (fragment)","PG635"
"aa108aa","Tb927.10.4460","6.37","6.10","4715.00","4685.00","leucine carboxyl methyltransferase, putative","PG51"
"aa1090aa","Tb927.10.11260","4.58","5.90","1238.00","4263.00","SSU ribosomal protein, mitochondrial, putative","PG636"
"aa1091aa","Tb927.10.11270","4.97","5.63","1653.00","3640.00","RNA-binding protein, putative","PG637"
"aa1092aa","Tb927.10.11300","8.47","8.48","6591.00","6619.00","paraflagellar rod component, putative","PG638"
"aa1093aa","Tb927.10.11310","7.42","6.21","6188.00","4941.00","intraflagellar transport protein 57/55","PG639"
"aa1094aa","Tb927.10.11330","6.01","5.92","3884.00","4296.00","EF-hand domain pair, putative","PG640"
"aa1095aa","Tb927.10.11340","5.54","5.46","2705.00","3293.00","hypothetical protein, conserved","PG641"
"aa1096aa","Tb11.v5.0604","5.54","5.46","2705.00","3293.00","hypothetical protein, conserved","PG641"
"aa1097aa","Tb927.10.11350","3.50","3.86","781.00","1853.00","LSU ribosomal protein, mitochondrial, putative","PG642"
"aa1098aa","Tb927.10.11360","5.97","4.97","3776.00","2529.00","Flagellum attachment zone protein 33","PG643"
"aa1099aa","Tb11.v5.0674","5.97","4.97","3776.00","2529.00","protein phosphatase 2A regulatory subunit, putative","PG643"
"aa109aa","Tb10.v4.0036","6.37","6.10","4715.00","4685.00","leucine carboxyl methyltransferase, putative","PG51"
"aa10aa","Tb10.v4.0255","7.51","3.53","6247.00","142.00","expression site-associated gene 3 (ESAG3, pseudogene), putative","PG1"
"aa1100aa","Tb927.10.11370","5.24","3.84","2091.00","1818.00","hypothetical protein, conserved","PG644"
"aa1101aa","Tb927.10.11380","5.76","6.03","3257.00","4524.00","hypothetical protein, conserved","PG645"
"aa1102aa","Tb927.10.11390","8.30","8.21","6562.00","6579.00","60S ribosomal protein L6, putative","PG646"
"aa1103aa","Tb927.10.11400","6.16","5.90","4214.00","4246.00","WD domain, G-beta repeat, putative","PG647"
"aa1104aa","Tb927.10.11410","5.52","3.64","2673.00","1014.00","hypothetical protein, conserved","PG648"
"aa1105aa","Tb927.10.11420","3.30","5.01","327.00","2567.00","hypothetical protein, conserved","PG649"
"aa1106aa","Tb927.10.11430","5.45","5.42","2508.00","3213.00","hypothetical protein, conserved","PG650"
"aa1107aa","Tb927.10.11440","3.73","3.65","906.00","1113.00","G1 cyclin CycE4, putative","PG651"
"aa1108aa","Tb11.v5.0646","3.73","3.65","906.00","1113.00","CYC2-like cyclin, putative","PG651"
"aa1109aa","Tb927.10.11450","5.61","4.78","2894.00","2342.00","TFIIF-stimulated CTD phosphatase, putative","PG652"
"aa110aa","Tb927.10.4470","5.47","3.65","2566.00","1107.00","hypothetical protein, conserved","PG52"
"aa1110aa","Tb927.10.11480","4.55","3.72","1212.00","1468.00","hypothetical protein, conserved","PG653"
"aa1111aa","Tb927.10.11500","4.61","5.73","1272.00","3839.00","conserved protein","PG654"
"aa1112aa","Tb927.10.11510","6.24","5.80","4422.00","4019.00","hypothetical protein, conserved","PG655"
"aa1113aa","Tb927.10.11520","6.48","7.04","4973.00","6052.00","mitochondrial import inner membrane translocase subunit tim13","PG656"
"aa1114aa","Tb927.10.11530","6.94","6.95","5688.00","5968.00","hypothetical protein, conserved","PG657"
"aa1115aa","Tb927.9.6070","8.29","8.24","6555.00","6585.00","40S ribosomal protein S3, putative","PG658"
"aa1116aa","Tb927.10.11540","8.29","8.24","6555.00","6585.00","40S ribosomal protein S3, putative","PG658"
"aa1117aa","Tb927.10.11550","4.61","3.69","1273.00","1366.00","hypothetical protein, conserved","PG659"
"aa1118aa","Tb927.10.11570","5.05","5.63","1749.00","3616.00","hypothetical protein, conserved","PG660"
"aa1119aa","Tb927.10.11580","5.36","4.69","2334.00","2295.00","predicted WD40 repeat protein","PG661"
"aa111aa","Tb10.v4.0037","5.47","3.65","2566.00","1107.00","hypothetical protein, conserved","PG52"
"aa1120aa","Tb927.10.11590","6.74","5.93","5383.00","4337.00","nicotinate phosphoribosyltransferase, putative","PG662"
"aa1121aa","Tb927.10.11600","5.61","5.40","2881.00","3177.00","hypothetical protein, conserved","PG663"
"aa1122aa","Tb11.v5.0856","5.61","5.40","2881.00","3177.00","hypothetical protein, conserved","PG663"
"aa1123aa","Tb927.10.11610","6.28","5.58","4515.00","3530.00","SKP1-like protein","PG664"
"aa1124aa","Tb927.10.11620","4.42","3.50","1115.00","59.00","calcium-transporting ATPase, putative","PG665"
"aa1125aa","Tb11.v5.0712","4.42","3.50","1115.00","59.00","calcium-transporting ATPase, putative","PG665"
"aa1126aa","Tb927.10.11630","3.26","3.81","164.00","1764.00","PSP1 C-terminal conserved region, putative","PG666"
"aa1127aa","Tb927.10.11660","6.15","5.82","4211.00","4078.00","hypothetical protein, conserved","PG667"
"aa1128aa","Tb927.10.11670","4.58","3.80","1239.00","1740.00","hypothetical protein, conserved","PG668"
"aa1129aa","Tb927.10.11680","5.60","4.70","2852.00","2297.00","Voltage-gated Chloride channel Like 2","PG669"
"aa112aa","Tb927.10.4480","4.38","3.66","1089.00","1169.00","DNA damage repair protein, putative","PG53"
"aa1130aa","Tb927.10.11690","5.89","5.16","3587.00","2778.00","YEATS family, putative","PG670"
"aa1131aa","Tb927.10.1170","7.29","6.41","6080.00","5285.00","intraflagellar transport protein 172","PG671"
"aa1132aa","Tb11.0560","7.29","6.41","6080.00","5285.00","hypothetical protein, conserved","PG671"
"aa1133aa","Tb11.v5.0858","7.29","6.41","6080.00","5285.00","hypothetical protein, conserved","PG671"
"aa1134aa","Tb927.10.11700","7.35","6.63","6135.00","5604.00","guanylate kinase, putative","PG672"
"aa1135aa","Tb927.10.11720","5.76","5.42","3258.00","3215.00","CW-type Zinc Finger, putative","PG673"
"aa1136aa","Tb927.10.11730","5.24","4.42","2088.00","2183.00","zinc finger protein family member, putative","PG674"
"aa1137aa","Tb927.10.11750","5.78","5.80","3299.00","4024.00","hypothetical protein, conserved","PG675"
"aa1138aa","Tb927.10.11760","6.99","6.98","5752.00","5998.00","pumilio/PUF RNA binding protein 6","PG676"
"aa1139aa","Tb927.10.11770","3.74","3.65","911.00","1086.00","succinate dehydrogenase cytochrome B subunit","PG677"
"aa113aa","Tb10.v4.0038","4.38","3.66","1089.00","1169.00","chrX additional, unordered contigs","PG53"
"aa1140aa","Tb927.10.11780","6.02","4.95","3915.00","2500.00","hypothetical protein, conserved","PG678"
"aa1141aa","Tb927.10.1180","4.73","3.69","1365.00","1355.00","hypothetical protein, conserved","PG679"
"aa1142aa","Tb927.10.11800","6.45","6.30","4908.00","5095.00","Axonemal inner arm dynein light chain, putative","PG680"
"aa1143aa","Tb927.10.11810","5.23","3.63","2073.00","935.00","hypothetical protein, conserved","PG681"
"aa1144aa","Tb927.10.11820","3.49","3.72","770.00","1493.00","kinetoplast ribosomal PPR-repeat containing protein 17","PG682"
"aa1145aa","Tb927.10.11830","3.55","3.56","823.00","321.00","hypothetical protein, conserved","PG683"
"aa1146aa","Tb927.10.11840","4.87","3.63","1517.00","974.00","WD domain, G-beta repeat, putative","PG684"
"aa1147aa","Tb927.10.11850","5.53","5.34","2688.00","3076.00","WD domain, G-beta repeat, putative","PG685"
"aa1148aa","Tb927.10.11860","5.37","3.76","2343.00","1624.00","Cornifin (SPRR) family, putative","PG686"
"aa1149aa","Tb927.10.11870","6.14","6.42","4171.00","5306.00","Guide RNA binding complex protein 5","PG687"
"aa114aa","Tb927.10.4500","6.00","5.17","3857.00","2791.00","cap guanine-N7 methyltransferase","PG54"
"aa1150aa","Tb927.10.11880","5.22","3.61","2048.00","744.00","hypothetical protein, conserved","PG688"
"aa1151aa","Tb927.10.11890","5.69","5.24","3102.00","2907.00","hypothetical protein, conserved","PG689"
"aa1152aa","Tb927.10.11900","5.45","6.37","2522.00","5219.00","MICOS complex subunit MIC20","PG690"
"aa1153aa","Tb927.10.11910","3.21","3.48","66.00","22.00","major facilitator superfamily, putative","PG691"
"aa1154aa","Tb927.10.11930","7.33","7.20","6119.00","6162.00","beta-D-hydroxybutyrate dehydrogenase","PG692"
"aa1155aa","Tb927.10.11950","5.83","4.02","3417.00","2052.00","hypothetical protein, conserved","PG693"
"aa1156aa","Tb927.10.11960","5.59","3.51","2828.00","75.00","Serine/threonine-protein phosphatase 1 regulatory subunit, putative","PG694"
"aa1157aa","Tb927.10.11970","4.84","7.56","1487.00","6381.00","glutamine aminotransferase (GlnAT)","PG695"
"aa1158aa","Tb927.10.11980","3.25","3.62","153.00","830.00","QA-SNARE protein putative","PG696"
"aa1159aa","Tb927.10.11990","5.62","5.65","2926.00","3665.00","60S ribosome subunit biogenesis protein NIP7, putative","PG697"
"aa115aa","Tb10.v4.0040","6.00","5.17","3857.00","2791.00","mRNA capping methyltransferase, putative","PG54"
"aa1160aa","Tb927.10.12000","6.04","6.83","3968.00","5847.00","iron-sulfur cluster assembly protein, putative","PG698"
"aa1161aa","Tb927.10.12010","6.66","3.54","5274.00","220.00","hypothetical protein, conserved","PG699"
"aa1162aa","Tb927.10.12020","4.74","3.63","1379.00","965.00","recA bacterial DNA recombination protein, putative","PG700"
"aa1163aa","Tb927.10.12030","7.01","6.72","5767.00","5736.00","hypothetical protein, conserved","PG701"
"aa1164aa","Tb927.10.12050","5.59","5.96","2831.00","4384.00","LSU ribosomal protein, mitochondrial, putative","PG702"
"aa1165aa","Tb927.10.12060","3.25","3.86","143.00","1860.00","hypothetical protein, conserved","PG703"
"aa1166aa","Tb927.10.12090","7.09","6.43","5859.00","5324.00","RNA-binding protein, putative","PG704"
"aa1167aa","Tb927.10.1210","6.37","6.23","4703.00","4966.00","katanin, putative","PG705"
"aa1168aa","Tb11.v5.0486","6.37","6.23","4703.00","4966.00","katanin, putative","PG705"
"aa1169aa","Tb927.10.12100","6.36","3.66","4697.00","1211.00","RNA-binding protein 7B","PG706"
"aa116aa","Tb10.v4.0041","6.03","6.40","3939.00","5264.00","PUB domain containing protein, putative","PG55"
"aa1170aa","Tb927.10.12110","6.00","4.22","3854.00","2131.00","hypothetical protein, conserved","PG707"
"aa1171aa","Tb927.10.12120","5.34","4.62","2290.00","2252.00","hypothetical protein, conserved","PG708"
"aa1172aa","Tb11.v5.0505","5.34","4.62","2290.00","2252.00","hypothetical protein, conserved","PG708"
"aa1173aa","Tb11.v5.0506","5.34","4.62","2290.00","2252.00","hypothetical protein, conserved","PG708"
"aa1174aa","Tb927.10.12130","5.97","5.91","3790.00","4288.00","Ubiquitin family, putative","PG709"
"aa1175aa","Tb927.10.12170","5.35","3.64","2297.00","1006.00","RAB-interacting protein, putative","PG710"
"aa1176aa","Tb927.10.12180","6.34","5.85","4642.00","4146.00","hypothetical protein, conserved","PG711"
"aa1177aa","Tb927.10.12190","6.39","3.63","4748.00","990.00","RAB-interacting protein, putative","PG712"
"aa1178aa","Tb927.10.12200","3.45","3.80","712.00","1742.00","hypothetical protein, conserved","PG713"
"aa1179aa","Tb927.10.12210","3.29","6.56","279.00","5508.00","ribulose-5-phosphate 3-epimerase, putative","PG714"
"aa117aa","Tb927.10.4510","6.03","6.40","3939.00","5264.00","PUB domain containing protein, putative","PG55"
"aa1180aa","Tb927.10.12220","3.80","3.62","931.00","899.00","hypothetical protein, conserved","PG715"
"aa1181aa","Tb927.10.12230","4.76","4.93","1392.00","2472.00","hypothetical protein, conserved","PG716"
"aa1182aa","Tb927.10.12240","6.54","6.90","5077.00","5933.00","3-ketoacyl-CoA reductase, putative","PG717"
"aa1183aa","Tb927.10.12250","3.29","3.81","281.00","1750.00","hypothetical protein, conserved","PG718"
"aa1184aa","Tb927.10.12260","6.52","7.67","5037.00","6426.00","cytosolic nonspecific dipeptidase, putative","PG719"
"aa1185aa","Tb927.10.12270","3.35","3.67","489.00","1223.00","methyltransferase domain containing protein, putative","PG720"
"aa1186aa","Tb927.10.12290","6.27","5.71","4484.00","3795.00","UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase, putative","PG721"
"aa1187aa","Tb927.10.1230","6.71","5.78","5352.00","3963.00","Enriched in surface-labeled proteome protein 23","PG722"
"aa1188aa","Tb927.10.12320","4.45","3.64","1141.00","1040.00","hypothetical protein","PG723"
"aa1189aa","Tb927.10.12330","7.11","6.46","5881.00","5362.00","zinc finger protein family member, putative","PG724"
"aa118aa","Tb927.10.4330","5.95","6.34","3731.00","5166.00","2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative","PG56"
"aa1190aa","Tb927.10.12350","3.45","3.61","722.00","738.00","hypothetical protein, conserved","PG725"
"aa1191aa","Tb927.10.12360","7.14","6.74","5923.00","5759.00","hypothetical protein, conserved","PG726"
"aa1192aa","Tb927.10.12370","3.30","6.11","343.00","4721.00","gamma-glutamylcysteine synthetase","PG727"
"aa1193aa","Tb927.10.12390","6.42","6.38","4841.00","5228.00","hypothetical protein, conserved","PG728"
"aa1194aa","Tb927.10.1240","3.29","3.54","303.00","189.00","hypothetical protein, conserved","PG729"
"aa1195aa","Tb927.10.12400","4.61","6.52","1270.00","5455.00","membrane transporter protein, putative","PG730"
"aa1196aa","Tb927.10.12410","7.35","7.07","6134.00","6072.00","hypothetical protein, conserved","PG731"
"aa1197aa","Tb927.10.12420","5.58","3.60","2808.00","648.00","predicted S. cerevisiae Got1 homologue","PG732"
"aa1198aa","Tb927.10.12430","6.18","6.09","4279.00","4678.00","Noc2p family, putative","PG733"
"aa1199aa","Tb927.10.12440","3.68","6.89","894.00","5925.00","kinesin, putative","PG734"
"aa119aa","Tb11.v5.1012","5.95","6.34","3731.00","5166.00","2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative","PG56"
"aa11aa","Tb10.v4.0147","7.51","3.53","6247.00","142.00","variant surface glycoprotein (VSG, pseudogene), putative","PG1"
"aa1200aa","Tb927.10.12450","5.48","3.96","2575.00","1999.00","SNARE domain-containing protein, putative","PG735"
"aa1201aa","Tb927.10.12460","3.20","3.68","39.00","1313.00","Zinc finger, C3HC4 type (RING finger), putative","PG736"
"aa1202aa","Tb927.10.12470","5.84","5.41","3451.00","3195.00","Flagellum attachment zone protein 40","PG737"
"aa1203aa","Tb927.10.12490","5.85","5.23","3484.00","2877.00","kinesin, putative","PG738"
"aa1204aa","Tb927.10.1250","6.86","6.17","5569.00","4855.00","Aminoacyl-tRNA editing domain containing protein, putative","PG739"
"aa1205aa","Tb927.10.12500","7.29","7.80","6087.00","6483.00","P-type H+-ATPase, putative","PG740"
"aa1206aa","Tb927.10.12510","6.81","6.64","5487.00","5627.00","P-type H+-ATPase, putative","PG741"
"aa1207aa","Tb927.10.12520","3.71","3.63","901.00","905.00","hypothetical protein, conserved","PG742"
"aa1208aa","Tb927.10.12530","5.55","5.18","2728.00","2811.00","chaperone protein DnaJ, putative","PG743"
"aa1209aa","Tb927.10.12540","5.84","5.99","3457.00","4447.00","NADH-ubiquinone oxidoreductase complex I subunit, putative","PG744"
"aa120aa","Tb10.v4.0043","5.95","6.34","3731.00","5166.00","chrX additional, unordered contigs","PG56"
"aa1210aa","Tb927.10.12550","3.21","3.87","65.00","1867.00","hypothetical protein, conserved","PG745"
"aa1211aa","Tb927.10.12590","6.99","6.19","5743.00","4890.00","hypothetical protein, conserved","PG746"
"aa1212aa","Tb927.10.1260","4.87","5.44","1516.00","3256.00","aspartyl-tRNA synthetase, putative","PG747"
"aa1213aa","Tb927.10.12600","5.13","3.80","1904.00","1745.00","Small RNA 2'-O-methyltransferase","PG748"
"aa1214aa","Tb927.10.12620","4.47","5.18","1153.00","2807.00","Protein of unknown function (DUF3648), putative","PG749"
"aa1215aa","Tb927.10.12630","6.68","5.60","5306.00","3563.00","Flagellum attachment zone protein 34","PG750"
"aa1216aa","Tb927.10.12640","5.34","3.58","2286.00","461.00","chaperone protein DnaJ, putative","PG751"
"aa1217aa","Tb927.10.12660","6.59","6.28","5153.00","5058.00","pumilio/PUF RNA binding protein 2","PG752"
"aa1218aa","Tb927.10.12670","5.77","3.71","3284.00","1448.00","hypothetical protein, conserved","PG753"
"aa1219aa","Tb927.11.9730","8.60","7.96","6608.00","6527.00","60S ribosomal protein L34, putative","PG754"
"aa121aa","Tb927.10.4320","5.78","5.46","3300.00","3294.00","hypothetical protein, conserved","PG57"
"aa1220aa","Tb927.10.12680","8.60","7.96","6608.00","6527.00","60S ribosomal protein L34, putative","PG754"
"aa1221aa","Tb927.10.12690","3.50","3.54","780.00","167.00","hypothetical protein, conserved","PG755"
"aa1222aa","Tb927.10.12700","7.64","7.90","6318.00","6511.00","pyruvate dehydrogenase E1 alpha subunit, putative","PG756"
"aa1223aa","Tb927.10.12710","8.06","7.66","6486.00","6421.00","heat shock protein 110, putative","PG757"
