Tb927.9.13440	Tb927_09_v5.1:2132976..2133162:r	Tb927_09_v5.1:2127479..2128238:r
Tb927.9.2075	Tb927_09_v5.1:477051..477050:r	Tb927_09_v5.1:468004..468518:r
Tb927.9.2110	Tb927_09_v5.1:479978..480104:r	Tb927_09_v5.1:479551..479635:r
Tb927.9.2140	Tb927_09_v5.1:490421..490632:r	Tb927_09_v5.1:486807..487342:r
Tb927.9.2160	Tb927_09_v5.1:491909..492765:r	Tb927_09_v5.1:490754..491278:r
Tb927.9.2220	Tb927_09_v5.1:496811..496957:r	Tb927_09_v5.1:494521..494575:r
Tb927.9.2210	Tb927_09_v5.1:493432..493470:r	Tb927_09_v5.1:492984..493083:r
Tb927.9.2240	Tb927_09_v5.1:501436..501735:r	Tb927_09_v5.1:498733..499095:r
Tb927.9.2250	Tb927_09_v5.1:503538..503764:r	Tb927_09_v5.1:501866..502385:r
Tb927.9.2270	Tb927_09_v5.1:508410..508529:r	Tb927_09_v5.1:505985..506219:r
Tb927.9.2260	Tb927_09_v5.1:505753..505898:r	Tb927_09_v5.1:503913..504552:r
Tb927.9.2290	Tb927_09_v5.1:510107..510387:r	Tb927_09_v5.1:509250..509689:r
Tb927.9.2310	Tb927_09_v5.1:512498..512728:r	Tb927_09_v5.1:510497..511126:r
Tb927.9.2320	Tb927_09_v5.1:515169..515219:r	Tb927_09_v5.1:512860..514064:r
Tb927.9.2400	Tb927_09_v5.1:522666..522728:r	Tb927_09_v5.1:521431..522080:r
Tb927.9.2420	Tb927_09_v5.1:524179..524230:r	Tb927_09_v5.1:522891..523545:r
Tb927.9.2450	Tb927_09_v5.1:526897..527188:r	Tb927_09_v5.1:524381..525735:r
Tb927.9.2470	Tb927_09_v5.1:531004..531219:r	Tb927_09_v5.1:527310..528720:r
Tb927.9.2550	Tb927_09_v5.1:565735..566014:r	Tb927_09_v5.1:561506..562605:r
Tb927.9.2600	Tb927_09_v5.1:577114..577224:r	Tb927_09_v5.1:576224..576423:r
Tb927.9.2630	Tb927_09_v5.1:586729..586933:r	Tb927_09_v5.1:580731..581190:r
Tb927.9.2700	Tb927_09_v5.1:594652..594896:r	Tb927_09_v5.1:592280..593199:r
Tb927.9.2760	Tb927_09_v5.1:604546..604652:r	Tb927_09_v5.1:601624..602934:r
Tb927.9.2800	Tb927_09_v5.1:607899..608468:r	Tb927_09_v5.1:606595..607250:r
Tb927.9.2845	Tb927_09_v5.1:622889..622918:r	Tb927_09_v5.1:620624..621583:r
Tb927.9.2855	Tb927_09_v5.1:629070..629099:r	Tb927_09_v5.1:626867..627746:r
Tb927.9.2861	Tb927_09_v5.1:631993..632022:r	Tb927_09_v5.1:629946..630705:r
Tb927.9.2871	Tb927_09_v5.1:638074..638103:r	Tb927_09_v5.1:635845..636804:r
Tb927.9.2875	Tb927_09_v5.1:641203..641232:r	Tb927_09_v5.1:638984..639843:r
Tb927.9.2885	Tb927_09_v5.1:648425..648454:r	Tb927_09_v5.1:645109..645988:r
Tb927.9.2891	Tb927_09_v5.1:651900..651990:r	Tb927_09_v5.1:649310..650054:r
Tb927.9.2900	Tb927_09_v5.1:661801..662404:r	Tb927_09_v5.1:653365..653904:r
Tb927.9.2910	Tb927_09_v5.1:663228..663322:r	Tb927_09_v5.1:662485..662684:r
Tb927.9.2940	Tb927_09_v5.1:666371..666521:r	Tb927_09_v5.1:663524..664882:r
Tb927.9.3000	Tb927_09_v5.1:671289..671319:r	Tb927_09_v5.1:670060..670739:r
Tb927.9.2990	Tb927_09_v5.1:669822..669912:r	Tb927_09_v5.1:668664..669074:r
Tb927.9.3010	Tb927_09_v5.1:672208..672298:r	Tb927_09_v5.1:671537..671976:r
Tb927.9.3030	Tb927_09_v5.1:673767..673787:r	Tb927_09_v5.1:672436..672635:r
Tb927.9.3080	Tb927_09_v5.1:675990..676078:r	Tb927_09_v5.1:674023..674702:r
Tb927.9.3120	Tb927_09_v5.1:681370..681374:r	Tb927_09_v5.1:677915..678327:r
Tb927.9.3130	Tb927_09_v5.1:683607..683620:r	Tb927_09_v5.1:681466..681905:r
Tb927.9.3280	Tb927_09_v5.1:693330..693331	Tb927_09_v5.1:694484..694603
Tb927.9.3340	Tb927_09_v5.1:696902..696904	Tb927_09_v5.1:697412..697446
Tb927.9.3390	Tb927_09_v5.1:701338..701470	Tb927_09_v5.1:702233..702456
Tb927.9.3400	Tb927_09_v5.1:703913..704086	Tb927_09_v5.1:707243..707350
Tb927.9.3410	Tb927_09_v5.1:707499..707668	Tb927_09_v5.1:708050..708189
Tb927.9.3440	Tb927_09_v5.1:708348..708491	Tb927_09_v5.1:709449..710008
Tb927.9.3460	Tb927_09_v5.1:710145..710165	Tb927_09_v5.1:712557..712701
Tb927.9.3480	Tb927_09_v5.1:713960..714156	Tb927_09_v5.1:714709..714783
Tb927.9.3550	Tb927_09_v5.1:718803..718909	Tb927_09_v5.1:719171..719555
Tb927.9.3580	Tb927_09_v5.1:721178..721391	Tb927_09_v5.1:723132..723421
Tb927.9.3600	Tb927_09_v5.1:724543..724577	Tb927_09_v5.1:725505..725769
Tb927.9.3620	Tb927_09_v5.1:725914..725950	Tb927_09_v5.1:726647..726936
Tb927.9.3650	Tb927_09_v5.1:730794..730831	Tb927_09_v5.1:732908..733217
Tb927.9.3670	Tb927_09_v5.1:733340..733442	Tb927_09_v5.1:735039..735148
Tb927.9.3680	Tb927_09_v5.1:735320..735460	Tb927_09_v5.1:739562..739977
Tb927.9.3750	Tb927_09_v5.1:747699..747847	Tb927_09_v5.1:748334..748495
Tb927.9.3800	Tb927_09_v5.1:752696..752797	Tb927_09_v5.1:754595..754794
Tb927.9.3820	Tb927_09_v5.1:754873..755000	Tb927_09_v5.1:755856..756095
Tb927.9.3840	Tb927_09_v5.1:756224..756358	Tb927_09_v5.1:756713..756767
Tb927.9.3870	Tb927_09_v5.1:760949..760985	Tb927_09_v5.1:763101..763334
Tb927.9.3930	Tb927_09_v5.1:766432..766503	Tb927_09_v5.1:767590..768689
Tb927.9.3970	Tb927_09_v5.1:768812..768880	Tb927_09_v5.1:769496..771087
Tb927.9.4000	Tb927_09_v5.1:772917..772990	Tb927_09_v5.1:774077..775146
Tb927.9.4040	Tb927_09_v5.1:775299..775367	Tb927_09_v5.1:775983..777604
Tb927.9.4050	Tb927_09_v5.1:777720..777736	Tb927_09_v5.1:779393..779577
Tb927.9.4200	Tb927_09_v5.1:794275..794395	Tb927_09_v5.1:796523..797082
Tb927.9.4210	Tb927_09_v5.1:797662..797919	Tb927_09_v5.1:800029..800588
Tb927.9.4250	Tb927_09_v5.1:804509..804801	Tb927_09_v5.1:805918..806597
Tb927.9.4290	Tb927_09_v5.1:806752..806960	Tb927_09_v5.1:807714..807883
Tb927.9.4300	Tb927_09_v5.1:808036..808290	Tb927_09_v5.1:809974..810053
Tb927.9.4310	Tb927_09_v5.1:810197..810381	Tb927_09_v5.1:811366..813893
Tb927.9.4420	Tb927_09_v5.1:826089..826127	Tb927_09_v5.1:827376..827895
Tb927.9.4450	Tb927_09_v5.1:829926..829960	Tb927_09_v5.1:831932..833911
Tb927.9.4500	Tb927_09_v5.1:834029..834158	Tb927_09_v5.1:836667..837112
Tb927.9.4520	Tb927_09_v5.1:837281..837534	Tb927_09_v5.1:838969..839428
Tb927.9.4530	Tb927_09_v5.1:839600..839799	Tb927_09_v5.1:842857..843036
Tb927.9.4560	Tb927_09_v5.1:844684..844701	Tb927_09_v5.1:847798..848667
Tb927.9.4570	Tb927_09_v5.1:848830..848960	Tb927_09_v5.1:849621..850680
Tb927.9.4620	Tb927_09_v5.1:850845..851020	Tb927_09_v5.1:852425..852644
Tb927.9.4630	Tb927_09_v5.1:852796..852841	Tb927_09_v5.1:856880..856969
Tb927.9.4640	Tb927_09_v5.1:857058..857227	Tb927_09_v5.1:862055..862534
Tb927.9.4680	Tb927_09_v5.1:864634..864679	Tb927_09_v5.1:865895..867754
Tb927.9.4760	Tb927_09_v5.1:868913..869003	Tb927_09_v5.1:870057..870266
Tb927.9.4810	Tb927_09_v5.1:872068..872095	Tb927_09_v5.1:872993..873214
Tb927.9.4820	Tb927_09_v5.1:873325..873378	Tb927_09_v5.1:876016..876145
Tb927.9.4850	Tb927_09_v5.1:880328..880468:r	Tb927_09_v5.1:878752..878854:r
Tb927.9.4895	Tb927_09_v5.1:886327..886488	Tb927_09_v5.1:886681..887659
Tb927.9.4900	Tb927_09_v5.1:887831..887921	Tb927_09_v5.1:891699..892058
Tb927.9.4910	Tb927_09_v5.1:892148..892235	Tb927_09_v5.1:893391..893522
Tb927.9.4940	Tb927_09_v5.1:896118..896157	Tb927_09_v5.1:897256..897332
Tb927.9.4960	Tb927_09_v5.1:898917..899035	Tb927_09_v5.1:899183..899557
Tb927.9.5100	Tb927_09_v5.1:908535..908686	Tb927_09_v5.1:911465..912649
Tb927.9.5220	Tb927_09_v5.1:920586..920668	Tb927_09_v5.1:920999..922118
Tb927.9.5260	Tb927_09_v5.1:925469..925542	Tb927_09_v5.1:927010..927485
Tb927.9.5300	Tb927_09_v5.1:927626..927921	Tb927_09_v5.1:928747..929652
Tb927.9.5320	Tb927_09_v5.1:929777..929805	Tb927_09_v5.1:931090..932029
Tb927.9.5350	Tb927_09_v5.1:933878..933977	Tb927_09_v5.1:935229..935413
Tb927.9.5390	Tb927_09_v5.1:939935..939952	Tb927_09_v5.1:940610..941944
Tb927.9.5460	Tb927_09_v5.1:945353..945457	Tb927_09_v5.1:948455..950531
Tb927.9.5490	Tb927_09_v5.1:950724..951112	Tb927_09_v5.1:953138..953712
Tb927.9.5520	Tb927_09_v5.1:954286..954382	Tb927_09_v5.1:958412..959686
Tb927.9.5590	Tb927_09_v5.1:960739..961066	Tb927_09_v5.1:964733..965409
Tb927.9.5700	Tb927_09_v5.1:976694..976821	Tb927_09_v5.1:983266..983614
Tb927.9.5730	Tb927_09_v5.1:985297..985399	Tb927_09_v5.1:986669..987388
Tb927.9.5800	Tb927_09_v5.1:989000..989088	Tb927_09_v5.1:989440..989739
Tb927.9.5900	Tb927_09_v5.1:995153..995306	Tb927_09_v5.1:998286..1000315
Tb927.9.5890	Tb927_09_v5.1:993214..993571	Tb927_09_v5.1:994652..994911
Tb927.9.6010	Tb927_09_v5.1:1002280..1002378	Tb927_09_v5.1:1004248..1004497
Tb927.9.6090	Tb927_09_v5.1:1010113..1010332	Tb927_09_v5.1:1011365..1011954
Tb927.9.6150	Tb927_09_v5.1:1019994..1020207	Tb927_09_v5.1:1022584..1022939
Tb927.9.6210	Tb927_09_v5.1:1026937..1027074	Tb927_09_v5.1:1028290..1028716
Tb927.9.6290	Tb927_09_v5.1:1033170..1033219	Tb927_09_v5.1:1034291..1035221
Tb927.9.6350	Tb927_09_v5.1:1040683..1040826	Tb927_09_v5.1:1041922..1043151
Tb927.9.6360	Tb927_09_v5.1:1043300..1043315	Tb927_09_v5.1:1044756..1045150
Tb927.9.6390	Tb927_09_v5.1:1049389..1049406	Tb927_09_v5.1:1050031..1050410
Tb927.9.6420	Tb927_09_v5.1:1053670..1053701	Tb927_09_v5.1:1054617..1054846
Tb927.9.6450	Tb927_09_v5.1:1059136..1059299	Tb927_09_v5.1:1060662..1060961
Tb927.9.6470	Tb927_09_v5.1:1066143..1066293	Tb927_09_v5.1:1066999..1068185
Tb927.9.6510	Tb927_09_v5.1:1068854..1068919	Tb927_09_v5.1:1070921..1071251
Tb927.9.6560	Tb927_09_v5.1:1076924..1077468	Tb927_09_v5.1:1079650..1082880
Tb927.9.6650	Tb927_09_v5.1:1088464..1088529	Tb927_09_v5.1:1089937..1090149
Tb927.9.6660	Tb927_09_v5.1:1090319..1090566	Tb927_09_v5.1:1092226..1092365
Tb927.9.6670	Tb927_09_v5.1:1092489..1092573	Tb927_09_v5.1:1100227..1100356
Tb927.9.6710	Tb927_09_v5.1:1103151..1103214	Tb927_09_v5.1:1105003..1105026
Tb927.9.6720	Tb927_09_v5.1:1105157..1105238	Tb927_09_v5.1:1106256..1106977
Tb927.9.6730	Tb927_09_v5.1:1107116..1107186	Tb927_09_v5.1:1108189..1108596
Tb927.9.6760	Tb927_09_v5.1:1111499..1111551	Tb927_09_v5.1:1112431..1113485
Tb927.9.6870	Tb927_09_v5.1:1125899..1125928	Tb927_09_v5.1:1126376..1126555
Tb927.9.6890	Tb927_09_v5.1:1129033..1129038	Tb927_09_v5.1:1129243..1130102
Tb927.9.6910	Tb927_09_v5.1:1130226..1130248	Tb927_09_v5.1:1130738..1130749
Tb927.9.6960	Tb927_09_v5.1:1134762..1134802	Tb927_09_v5.1:1135826..1137300
Tb927.9.7020	Tb927_09_v5.1:1138543..1138557	Tb927_09_v5.1:1139236..1139415
Tb927.9.7000	Tb927_09_v5.1:1137419..1137444	Tb927_09_v5.1:1138147..1138403
Tb927.9.7030	Tb927_09_v5.1:1139531..1139546	Tb927_09_v5.1:1144503..1144562
Tb927.9.7040	Tb927_09_v5.1:1144698..1144777	Tb927_09_v5.1:1146263..1146582
Tb927.9.7060	Tb927_09_v5.1:1146745..1146747	Tb927_09_v5.1:1147642..1147721
Tb927.9.7080	Tb927_09_v5.1:1148956..1149144	Tb927_09_v5.1:1149526..1149620
Tb927.9.7090	Tb927_09_v5.1:1149760..1149851	Tb927_09_v5.1:1150956..1151110
Tb927.9.7100	Tb927_09_v5.1:1151251..1151353	Tb927_09_v5.1:1152095..1152981
Tb927.9.7110	Tb927_09_v5.1:1154137..1154237	Tb927_09_v5.1:1155126..1155624
Tb927.9.7170	Tb927_09_v5.1:1161401..1161474	Tb927_09_v5.1:1162891..1163110
Tb927.9.7180	Tb927_09_v5.1:1163234..1163294	Tb927_09_v5.1:1168368..1168667
Tb927.9.7200	Tb927_09_v5.1:1170800..1170930	Tb927_09_v5.1:1171801..1171970
Tb927.9.7210	Tb927_09_v5.1:1172083..1172096	Tb927_09_v5.1:1174329..1174433
Tb927.9.7230	Tb927_09_v5.1:1174691..1174741	Tb927_09_v5.1:1175324..1175553
Tb927.9.7260	Tb927_09_v5.1:1176760..1176800	Tb927_09_v5.1:1177902..1178279
Tb927.9.7270	Tb927_09_v5.1:1179851..1179964	Tb927_09_v5.1:1180346..1181554
Tb927.9.7285	Tb927_09_v5.1:1181658..1181687	Tb927_09_v5.1:1181973..1182485
Tb927.9.7290	Tb927_09_v5.1:1185527..1185593:r	Tb927_09_v5.1:1183618..1184062:r
Tb927.9.7320	Tb927_09_v5.1:1191090..1191096:r	Tb927_09_v5.1:1189919..1189973:r
Tb927.9.7370	Tb927_09_v5.1:1206045..1206086:r	Tb927_09_v5.1:1204473..1205267:r
Tb927.9.7380	Tb927_09_v5.1:1208127..1208159:r	Tb927_09_v5.1:1206239..1207073:r
Tb927.9.7390	Tb927_09_v5.1:1210992..1211015:r	Tb927_09_v5.1:1209131..1209845:r
Tb927.9.7400	Tb927_09_v5.1:1213011..1213017:r	Tb927_09_v5.1:1211835..1211894:r
Tb927.9.7410	Tb927_09_v5.1:1214598..1214614:r	Tb927_09_v5.1:1213134..1213178:r
Tb927.9.7430	Tb927_09_v5.1:1221203..1221214:r	Tb927_09_v5.1:1219395..1220149:r
Tb927.9.7520	Tb927_09_v5.1:1235793..1236064:r	Tb927_09_v5.1:1232359..1234751:r
Tb927.9.7540	Tb927_09_v5.1:1241688..1241848:r	Tb927_09_v5.1:1236396..1239116:r
Tb927.9.7550	Tb927_09_v5.1:1244440..1244537:r	Tb927_09_v5.1:1241982..1243023:r
Tb927.9.7670	Tb927_09_v5.1:1251772..1251807:r	Tb927_09_v5.1:1250514..1251063:r
Tb927.9.7690	Tb927_09_v5.1:1259514..1260092:r	Tb927_09_v5.1:1251980..1253939:r
Tb927.9.7720	Tb927_09_v5.1:1268998..1269089:r	Tb927_09_v5.1:1264434..1264908:r
Tb927.9.7740	Tb927_09_v5.1:1271271..1271451:r	Tb927_09_v5.1:1269278..1270304:r
Tb927.9.7760	Tb927_09_v5.1:1275432..1275540:r	Tb927_09_v5.1:1272175..1272659:r
Tb927.9.7820	Tb927_09_v5.1:1281613..1281730:r	Tb927_09_v5.1:1279232..1279296:r
Tb927.9.8000	Tb927_09_v5.1:1324678..1324735:r	Tb927_09_v5.1:1323655..1324224:r
Tb927.9.8040	Tb927_09_v5.1:1330428..1330518:r	Tb927_09_v5.1:1327428..1327724:r
Tb927.9.8050	Tb927_09_v5.1:1333318..1333325:r	Tb927_09_v5.1:1331502..1331691:r
Tb927.9.8160	Tb927_09_v5.1:1340661..1341012:r	Tb927_09_v5.1:1338428..1339367:r
Tb927.9.8260	Tb927_09_v5.1:1355291..1355398:r	Tb927_09_v5.1:1353801..1354300:r
Tb927.9.8290	Tb927_09_v5.1:1356514..1356539:r	Tb927_09_v5.1:1355542..1355856:r
Tb927.9.8330	Tb927_09_v5.1:1360100..1360351:r	Tb927_09_v5.1:1356667..1358641:r
Tb927.9.8350	Tb927_09_v5.1:1364173..1364524:r	Tb927_09_v5.1:1360473..1362357:r
Tb927.9.8400	Tb927_09_v5.1:1369933..1370321:r	Tb927_09_v5.1:1367533..1368174:r
Tb927.9.8550	Tb927_09_v5.1:1387020..1387086:r	Tb927_09_v5.1:1386282..1386386:r
Tb927.9.8570	Tb927_09_v5.1:1388528..1388549:r	Tb927_09_v5.1:1387248..1388062:r
Tb927.9.8655	Tb927_09_v5.1:1398362..1398415:r	Tb927_09_v5.1:1397352..1398133:r
Tb927.9.8680	Tb927_09_v5.1:1402081..1402131:r	Tb927_09_v5.1:1401040..1401264:r
Tb927.9.8700	Tb927_09_v5.1:1403565..1403597:r	Tb927_09_v5.1:1402261..1402520:r
Tb927.9.8720	Tb927_09_v5.1:1406062..1406145:r	Tb927_09_v5.1:1404495..1405008:r
Tb927.9.8740	Tb927_09_v5.1:1410309..1410347:r	Tb927_09_v5.1:1406358..1409324:r
Tb927.9.8760	Tb927_09_v5.1:1418097..1418239:r	Tb927_09_v5.1:1410492..1411121:r
Tb927.9.8810	Tb927_09_v5.1:1420748..1420794:r	Tb927_09_v5.1:1420125..1420204:r
Tb927.9.8850	Tb927_09_v5.1:1426646..1426700:r	Tb927_09_v5.1:1425370..1425514:r
Tb927.9.8990	Tb927_09_v5.1:1441447..1441511:r	Tb927_09_v5.1:1439524..1440408:r
Tb927.9.9090	Tb927_09_v5.1:1452031..1452136:r	Tb927_09_v5.1:1450732..1450941:r
Tb927.9.9100	Tb927_09_v5.1:1452933..1452981:r	Tb927_09_v5.1:1452233..1452677:r
Tb927.9.9150	Tb927_09_v5.1:1458183..1458196:r	Tb927_09_v5.1:1456732..1456826:r
Tb927.9.9160	Tb927_09_v5.1:1461031..1461088:r	Tb927_09_v5.1:1459006..1459170:r
Tb927.9.9170	Tb927_09_v5.1:1462537..1462638:r	Tb927_09_v5.1:1461207..1461396:r
Tb927.9.9190	Tb927_09_v5.1:1467031..1467086:r	Tb927_09_v5.1:1464725..1464909:r
Tb927.9.9200	Tb927_09_v5.1:1468861..1468902:r	Tb927_09_v5.1:1467183..1467447:r
Tb927.9.9220	Tb927_09_v5.1:1471558..1471579:r	Tb927_09_v5.1:1469680..1469856:r
Tb927.9.9230	Tb927_09_v5.1:1472537..1472637:r	Tb927_09_v5.1:1471772..1472026:r
Tb927.9.9280	Tb927_09_v5.1:1477747..1477767:r	Tb927_09_v5.1:1475891..1476045:r
Tb927.9.9300	Tb927_09_v5.1:1483955..1484065:r	Tb927_09_v5.1:1480576..1482505:r
Tb927.9.9320	Tb927_09_v5.1:1489233..1490096:r	Tb927_09_v5.1:1487328..1488137:r
Tb927.9.9370	Tb927_09_v5.1:1496828..1496878:r	Tb927_09_v5.1:1490480..1496053:r
Tb927.9.9380	Tb927_09_v5.1:1498563..1498579:r	Tb927_09_v5.1:1496994..1497518:r
Tb927.9.9390	Tb927_09_v5.1:1500897..1500913:r	Tb927_09_v5.1:1499037..1499906:r
Tb927.9.9400	Tb927_09_v5.1:1503384..1503400:r	Tb927_09_v5.1:1501082..1502411:r
Tb927.9.9410	Tb927_09_v5.1:1505721..1505737:r	Tb927_09_v5.1:1503508..1504706:r
Tb927.9.9420	Tb927_09_v5.1:1507032..1507040:r	Tb927_09_v5.1:1505853..1506092:r
Tb927.9.9430	Tb927_09_v5.1:1508173..1508306:r	Tb927_09_v5.1:1507129..1507383:r
Tb927.9.9450	Tb927_09_v5.1:1513180..1513231:r	Tb927_09_v5.1:1508457..1510086:r
Tb927.9.9520	Tb927_09_v5.1:1520578..1520647:r	Tb927_09_v5.1:1513427..1519539:r
Tb927.9.9550	Tb927_09_v5.1:1522741..1522852:r	Tb927_09_v5.1:1521444..1522101:r
Tb927.9.9600	Tb927_09_v5.1:1529470..1529516:r	Tb927_09_v5.1:1525973..1527147:r
Tb927.9.9610	Tb927_09_v5.1:1530194..1530264:r	Tb927_09_v5.1:1529627..1529866:r
Tb927.9.9620	Tb927_09_v5.1:1532515..1532551:r	Tb927_09_v5.1:1530910..1531464:r
Tb927.9.9640	Tb927_09_v5.1:1537579..1537627:r	Tb927_09_v5.1:1534301..1534620:r
Tb927.9.9870	Tb927_09_v5.1:1566624..1566700:r	Tb927_09_v5.1:1564800..1565174:r
Tb927.9.9950	Tb927_09_v5.1:1575629..1575674:r	Tb927_09_v5.1:1573851..1574158:r
Tb927.9.9990	Tb927_09_v5.1:1581930..1582174:r	Tb927_09_v5.1:1580205..1581122:r
Tb927.9.10010	Tb927_09_v5.1:1585039..1585244:r	Tb927_09_v5.1:1583054..1583565:r
Tb927.9.10040	Tb927_09_v5.1:1586521..1586537:r	Tb927_09_v5.1:1585377..1585716:r
Tb927.9.10070	Tb927_09_v5.1:1591002..1591029:r	Tb927_09_v5.1:1589175..1590134:r
Tb927.9.10140	Tb927_09_v5.1:1600840..1600847:r	Tb927_09_v5.1:1597999..1598373:r
Tb927.9.10150	Tb927_09_v5.1:1603051..1603114:r	Tb927_09_v5.1:1600977..1601241:r
Tb927.9.10160	Tb927_09_v5.1:1604097..1604129:r	Tb927_09_v5.1:1603234..1603418:r
Tb927.9.10190	Tb927_09_v5.1:1607574..1607579:r	Tb927_09_v5.1:1605017..1605551:r
Tb927.9.10200	Tb927_09_v5.1:1608354..1608478:r	Tb927_09_v5.1:1607742..1607876:r
Tb927.9.10280	Tb927_09_v5.1:1617203..1617499:r	Tb927_09_v5.1:1611712..1616824:r
Tb927.9.10310	Tb927_09_v5.1:1620673..1620770:r	Tb927_09_v5.1:1618813..1619718:r
Tb927.9.10340	Tb927_09_v5.1:1623355..1623382:r	Tb927_09_v5.1:1620966..1621875:r
Tb927.9.10350	Tb927_09_v5.1:1625390..1625536:r	Tb927_09_v5.1:1623516..1624765:r
Tb927.9.10370	Tb927_09_v5.1:1628188..1628191:r	Tb927_09_v5.1:1626866..1627095:r
Tb927.9.10440	Tb927_09_v5.1:1638162..1638168:r	Tb927_09_v5.1:1631274..1631438:r
Tb927.9.10490	Tb927_09_v5.1:1646940..1646993:r	Tb927_09_v5.1:1644712..1645181:r
Tb927.9.10500	Tb927_09_v5.1:1649021..1649145:r	Tb927_09_v5.1:1647106..1647430:r
Tb927.9.10510	Tb927_09_v5.1:1650114..1650131:r	Tb927_09_v5.1:1649249..1649708:r
Tb927.9.10550	Tb927_09_v5.1:1660002..1660192:r	Tb927_09_v5.1:1657266..1657820:r
