,Chromosome,Peak_Start,Peak_End,Peak_Name,UTR_Start,UTR_End,UTR_Gene_ID,UTR_Strand,UTR_Peak_overlap,Control_total,Control_F,Control_R,Treatment_total,Treatment_F,Treatment_R,Treatment_fraction_F,Treatment_fraction_R,Treatment_total_corrected_F,Treatment_total_corrected_R,download_seq,is_fully_contained
33,Tb927_01_v5.1,594206,595768,NA_peak_167,594481,595466,Tb927.1.2450,+,985,8,0,3,123,0,0,,,,,Tb927_01_v5.1:594481..595466:f,False
34,Tb927_01_v5.1,595845,597245,NA_peak_168,596065,597044,Tb927.1.2470,+,979,2,0,0,152,0,0,,,,,Tb927_01_v5.1:596065..597044:f,False
35,Tb927_01_v5.1,598034,600593,NA_peak_169,597657,598630,Tb927.1.2490,+,596,17,0,4,257,0,0,,,,,Tb927_01_v5.1:598034..598630:f,False
37,Tb927_01_v5.1,601242,602231,NA_peak_170,600829,601800,Tb927.1.2530,+,558,2,0,1,99,0,0,,,,,Tb927_01_v5.1:601242..601800:f,False
38,Tb927_01_v5.1,605897,607511,NA_peak_171,606431,607110,Tb927.1.2570,+,679,2057,44,66,9937,171,256,0.40046838407494145,0.5995316159250585,3979.4543325526934,5957.545667447307,Tb927_01_v5.1:606431..607110:f,False
39,Tb927_01_v5.1,608236,609318,NA_peak_172,608596,608819,Tb927.1.2580,+,223,634,27,35,3492,472,10,0.979253112033195,0.020746887966805017,3419.551867219917,72.44813278008311,Tb927_01_v5.1:608596..608819:f,False
40,Tb927_01_v5.1,612583,613525,NA_peak_173,612034,616047,Tb927.1.2600,+,942,982,37,88,5221,30,393,0.07092198581560284,0.9290780141843972,370.28368794326246,4850.7163120567375,Tb927_01_v5.1:612583..613525:f,True
41,Tb927_01_v5.1,615361,618949,NA_peak_174,612034,616047,Tb927.1.2600,+,686,863,43,19,4463,139,21,0.86875,0.13124999999999998,3877.2312500000003,585.76875,Tb927_01_v5.1:615361..616047:f,False
43,Tb927_01_v5.1,624432,626859,NA_peak_175,626842,628405,Tb927.1.2710,+,17,2708,84,39,14902,509,42,0.9237749546279492,0.07622504537205077,13766.094373865699,1135.9056261343005,Tb927_01_v5.1:626842..626859:f,False
44,Tb927_01_v5.1,630839,631622,NA_peak_176,629939,630868,Tb927.1.2730,+,29,702,11,99,7963,51,901,0.05357142857142857,0.9464285714285714,426.58928571428567,7536.410714285714,Tb927_01_v5.1:630839..630868:f,False
45,Tb927_01_v5.1,634471,634995,NA_peak_177,633872,634676,Tb927.1.2750,+,205,470,15,17,979,37,6,0.8604651162790697,0.13953488372093026,842.3953488372093,136.60465116279073,Tb927_01_v5.1:634471..634676:f,False
46,Tb927_01_v5.1,674457,676775,NA_peak_179,674728,674982,Tb927.1.3050,+,254,3141,101,30,13122,83,276,0.23119777158774374,0.7688022284122562,3033.777158774373,10088.222841225626,Tb927_01_v5.1:674728..674982:f,False
48,Tb927_01_v5.1,708298,710157,NA_peak_182,708787,709371,Tb927.1.3260,+,584,6985,218,52,23084,503,287,0.6367088607594936,0.3632911392405064,14697.787341772151,8386.212658227849,Tb927_01_v5.1:708787..709371:f,False
49,Tb927_01_v5.1,731110,731928,NA_peak_183,731489,731722,Tb927.1.3390,-,233,2526,34,45,5263,44,129,0.2543352601156069,0.7456647398843931,1338.5664739884392,3924.433526011561,Tb927_01_v5.1:731489..731722:r,False
50,Tb927_01_v5.1,731934,732391,NA_peak_184,732215,732770,Tb927.1.3400,-,176,1830,1,0,3852,0,1,0.0,1.0,0.0,3852.0,Tb927_01_v5.1:732215..732391:r,False
51,Tb927_01_v5.1,732420,733077,NA_peak_185,732215,732770,Tb927.1.3400,-,350,1656,27,69,3770,9,197,0.043689320388349516,0.9563106796116505,164.70873786407768,3605.2912621359224,Tb927_01_v5.1:732420..732770:r,False
52,Tb927_01_v5.1,821188,822813,NA_peak_192,821291,822057,Tb927.1.3850,+,766,4023,166,87,99736,3330,898,0.7876064333017976,0.21239356669820242,78552.71523178808,21183.284768211917,Tb927_01_v5.1:821291..822057:f,False
53,Tb927_01_v5.1,833267,834105,NA_peak_193,832222,833456,Tb927.1.3880,+,189,394,6,42,1014,2,74,0.02631578947368421,0.9736842105263158,26.684210526315788,987.3157894736843,Tb927_01_v5.1:833267..833456:f,False
54,Tb927_01_v5.1,843064,844348,NA_peak_194,842392,844192,Tb927.1.3950,+,1128,1366,85,18,23134,1131,173,0.8673312883435583,0.13266871165644167,20064.842024539877,3069.1579754601216,Tb927_01_v5.1:843064..844192:f,False
55,Tb927_01_v5.1,884483,885471,NA_peak_195,883183,885850,Tb927.1.4280,+,988,140,21,9,5199,25,395,0.05952380952380952,0.9404761904761905,309.4642857142857,4889.535714285715,Tb927_01_v5.1:884483..885471:f,True
56,Tb927_01_v5.1,888889,890197,NA_peak_196,887775,889982,Tb927.1.4300,+,1093,511,6,28,3715,15,140,0.0967741935483871,0.9032258064516129,359.51612903225805,3355.483870967742,Tb927_01_v5.1:888889..889982:f,False
57,Tb927_01_v5.1,895460,896374,NA_peak_199,895844,898974,Tb927.1.4310,+,530,111,15,1,929,26,60,0.3023255813953488,0.6976744186046512,280.86046511627904,648.1395348837209,Tb927_01_v5.1:895844..896374:f,False
58,Tb927_01_v5.1,896537,899935,NA_peak_200,895844,898974,Tb927.1.4310,+,2437,1053,40,29,22434,771,112,0.8731596828992072,0.1268403171007928,19588.464326160814,2845.5356738391856,Tb927_01_v5.1:896537..898974:f,False
59,Tb927_01_v5.1,901697,902675,NA_peak_201,901789,902704,Tb927.1.4340,+,886,2031,79,157,31345,721,1488,0.3263920325939339,0.6736079674060661,10230.758261656858,21114.241738343142,Tb927_01_v5.1:901789..902675:f,False
60,Tb927_01_v5.1,905145,906376,NA_peak_202,905027,905658,Tb927.1.4370,+,513,165,2,6,740,28,24,0.5384615384615384,0.46153846153846156,398.46153846153845,341.53846153846155,Tb927_01_v5.1:905145..905658:f,False
61,Tb927_01_v5.1,909022,909780,NA_peak_203,908967,909267,Tb927.1.4400,+,245,781,75,12,3414,396,1,0.9974811083123426,0.0025188916876573986,3405.4005037783377,8.599496221662358,Tb927_01_v5.1:909022..909267:f,False
62,Tb927_01_v5.1,929219,929884,NA_peak_204,929377,932087,Tb927.1.4490,+,507,693,5,69,12933,15,1316,0.011269722013523666,0.9887302779864763,145.75131480090158,12787.248685199098,Tb927_01_v5.1:929377..929884:f,False
63,Tb927_01_v5.1,933133,934705,NA_peak_205,933595,934231,Tb927.1.4500,+,636,596,17,13,4635,42,171,0.19718309859154928,0.8028169014084507,913.9436619718309,3721.056338028169,Tb927_01_v5.1:933595..934231:f,False
64,Tb927_01_v5.1,941964,942392,NA_peak_207,940978,942232,Tb927.1.4540,+,268,3700,42,96,7543,0,520,0.0,1.0,0.0,7543.0,Tb927_01_v5.1:941964..942232:f,False
65,Tb927_01_v5.1,945075,945633,NA_peak_208,944106,945308,Tb927.1.4560,+,233,2296,8,46,5026,0,357,0.0,1.0,0.0,5026.0,Tb927_01_v5.1:945075..945308:f,False
66,Tb927_01_v5.1,948142,948708,NA_peak_209,947169,948420,Tb927.1.4580,+,278,3871,59,106,8144,7,670,0.0103397341211226,0.9896602658788775,84.20679468242245,8059.793205317578,Tb927_01_v5.1:948142..948420:f,False
67,Tb927_01_v5.1,951322,951935,NA_peak_210,950296,951580,Tb927.1.4600,+,258,4222,72,139,10622,5,716,0.006934812760055479,0.9930651872399445,73.6615811373093,10548.338418862691,Tb927_01_v5.1:951322..951580:f,False
68,Tb927_01_v5.1,954402,954805,NA_peak_211,953425,954668,Tb927.1.4630,+,266,3904,31,63,7502,2,355,0.0056022408963585435,0.9943977591036415,42.02801120448179,7459.971988795518,Tb927_01_v5.1:954402..954668:f,False
69,Tb927_01_v5.1,960017,961306,NA_peak_212,956335,962298,Tb927.1.4650,+,1289,409,34,3,4380,233,36,0.8661710037174721,0.13382899628252787,3793.828996282528,586.1710037174721,Tb927_01_v5.1:960017..961306:f,True
70,Tb927_01_v5.1,961323,963813,NA_peak_213,956335,962298,Tb927.1.4650,+,975,3904,7,146,12927,587,98,0.8569343065693431,0.1430656934306569,11077.589781021898,1849.4102189781017,Tb927_01_v5.1:961323..962298:f,False
72,Tb927_01_v5.1,970764,971460,NA_peak_214,970680,970892,Tb927.1.4720,+,128,744,76,0,5630,539,3,0.9944649446494465,0.005535055350553542,5598.837638376383,31.16236162361644,Tb927_01_v5.1:970764..970892:f,False
73,Tb927_01_v5.1,975367,976039,NA_peak_216,975137,975668,Tb927.1.4740,+,301,198,3,9,919,54,4,0.9310344827586207,0.06896551724137934,855.6206896551724,63.37931034482761,Tb927_01_v5.1:975367..975668:f,False
74,Tb927_01_v5.1,977334,979126,NA_peak_217,978931,979264,Tb927.1.4760,+,195,192,6,5,1247,2,43,0.044444444444444446,0.9555555555555556,55.422222222222224,1191.5777777777778,Tb927_01_v5.1:978931..979126:f,False
75,Tb927_01_v5.1,984225,985217,NA_peak_218,983949,984251,Tb927.1.4800,+,26,2456,112,87,6333,397,11,0.9730392156862745,0.026960784313725505,6162.257352941177,170.74264705882362,Tb927_01_v5.1:984225..984251:f,False
76,Tb927_01_v5.1,987199,990220,NA_peak_220,987621,988178,Tb927.1.4830,+,557,2292,48,79,19445,790,94,0.8936651583710408,0.10633484162895923,17377.31900452489,2067.6809954751125,Tb927_01_v5.1:987621..988178:f,False
77,Tb927_01_v5.1,994315,994707,NA_peak_221,994663,994687,Tb927.1.4900,+,24,2184,36,128,5927,332,5,0.9851632047477745,0.014836795252225476,5839.06231454006,87.9376854599404,Tb927_01_v5.1:994663..994687:f,False
78,Tb927_01_v5.1,1009604,1010209,NA_peak_223,1010012,1010594,Tb927.1.5030,+,197,196,3,6,1676,2,83,0.023529411764705882,0.9764705882352941,39.43529411764706,1636.5647058823529,Tb927_01_v5.1:1010012..1010209:f,False
79,Tb927_01_v5.1,1020372,1020994,NA_peak_224,1020740,1020755,Tb927.1.5110,+,15,3313,124,205,7535,498,12,0.9764705882352941,0.02352941176470591,7357.7058823529405,177.29411764705904,Tb927_01_v5.1:1020740..1020755:f,False
80,Tb927_02_v5.1,16923,17226,NA_peak_232,16119,17246,Tb927.2.170,+,303,273,11,9,536,46,5,0.9019607843137255,0.0980392156862745,483.45098039215685,52.54901960784313,Tb927_02_v5.1:16923..17226:f,True
81,Tb927_02_v5.1,171988,174121,NA_peak_240,174002,174237,Tb927.2.1045,-,119,13440,150,103,44623,39,424,0.08423326133909287,0.9157667386609072,3758.740820734341,40864.25917926566,Tb927_02_v5.1:174002..174121:r,False
82,Tb927_02_v5.1,316375,317948,NA_peak_243,316280,316387,Tb927.2.1680,+,12,4022,151,33,32754,1007,85,0.9221611721611722,0.07783882783882778,30204.467032967033,2549.532967032965,Tb927_02_v5.1:316375..316387:f,False
83,Tb927_02_v5.1,328245,328627,NA_peak_245,327800,328298,Tb927.2.1760,+,53,1482,7,2,4964,16,1,0.9411764705882353,0.05882352941176472,4672.0,292.00000000000006,Tb927_02_v5.1:328245..328298:f,False
84,Tb927_02_v5.1,334855,335249,NA_peak_246,334782,335342,Tb927.2.1800,+,394,59,1,3,134,2,1,0.6666666666666666,0.33333333333333337,89.33333333333333,44.66666666666667,Tb927_02_v5.1:334855..335249:f,True
85,Tb927_02_v5.1,335281,335605,NA_peak_247,334782,335342,Tb927.2.1800,+,61,35,2,4,94,2,1,0.6666666666666666,0.33333333333333337,62.666666666666664,31.333333333333336,Tb927_02_v5.1:335281..335342:f,False
86,Tb927_02_v5.1,338973,339995,NA_peak_248,338959,339357,Tb927.2.1810,+,384,169,3,8,1545,65,6,0.9154929577464789,0.08450704225352113,1414.4366197183099,130.56338028169014,Tb927_02_v5.1:338973..339357:f,False
87,Tb927_02_v5.1,387732,388999,NA_peak_250,388826,393055,Tb927.2.2060,-,173,169,8,1,1851,6,136,0.04225352112676056,0.9577464788732395,78.21126760563381,1772.7887323943662,Tb927_02_v5.1:388826..388999:r,False
88,Tb927_02_v5.1,397509,398893,NA_peak_251,398551,398869,Tb927.2.2090,-,318,696,26,29,4384,13,408,0.030878859857482184,0.9691211401425178,135.3729216152019,4248.627078384799,Tb927_02_v5.1:398551..398869:r,False
89,Tb927_02_v5.1,400804,403664,NA_peak_252,403183,403882,Tb927.2.2120,-,481,3888,65,115,25274,86,648,0.11716621253405994,0.8828337874659401,2961.258855585831,22312.74114441417,Tb927_02_v5.1:403183..403664:r,False
90,Tb927_02_v5.1,410286,411295,NA_peak_253,409725,411631,Tb927.2.2160,-,1009,3291,142,64,21081,1050,96,0.9162303664921466,0.08376963350785338,19315.052356020944,1765.9476439790571,Tb927_02_v5.1:410286..411295:r,True
91,Tb927_02_v5.1,411328,412058,NA_peak_254,409725,411631,Tb927.2.2160,-,303,1670,22,33,4839,34,124,0.21518987341772153,0.7848101265822784,1041.3037974683546,3797.696202531645,Tb927_02_v5.1:411328..411631:r,False
92,Tb927_02_v5.1,419785,420495,NA_peak_256,420437,420516,Tb927.2.2210,-,58,79,3,6,2291,58,183,0.24066390041493776,0.7593360995850622,551.3609958506224,1739.6390041493776,Tb927_02_v5.1:420437..420495:r,False
93,Tb927_02_v5.1,424605,426169,NA_peak_258,425387,425902,Tb927.2.2230,-,515,1226,53,43,12476,87,546,0.13744075829383887,0.8625592417061612,1714.7109004739336,10761.289099526066,Tb927_02_v5.1:425387..425902:r,False
94,Tb927_02_v5.1,446898,447218,NA_peak_259,447151,447295,Tb927.2.2270,-,67,427,26,1,807,6,50,0.10714285714285714,0.8928571428571429,86.46428571428571,720.5357142857143,Tb927_02_v5.1:447151..447218:r,False
95,Tb927_02_v5.1,451885,452824,NA_peak_261,452380,452559,Tb927.2.2340,-,179,279,3,6,1039,7,73,0.0875,0.9125,90.9125,948.0875,Tb927_02_v5.1:452380..452559:r,False
97,Tb927_02_v5.1,468965,470184,NA_peak_263,470011,471225,Tb927.2.2400,-,173,2868,105,150,16837,36,849,0.04067796610169491,0.9593220338983051,684.8949152542373,16152.105084745763,Tb927_02_v5.1:470011..470184:r,False
98,Tb927_02_v5.1,484730,485561,NA_peak_264,484516,486393,Tb927.2.2460,-,831,4366,86,358,19661,25,1304,0.018811136192626036,0.9811888638073739,369.8457486832205,19291.154251316777,Tb927_02_v5.1:484730..485561:r,True
99,Tb927_02_v5.1,489037,491008,NA_peak_265,489866,491050,Tb927.2.2490,-,1142,3879,136,125,41555,233,1666,0.12269615587151132,0.8773038441284887,5098.638757240653,36456.36124275935,Tb927_02_v5.1:489866..491008:r,False
100,Tb927_02_v5.1,503197,503972,NA_peak_266,503717,504176,Tb927.2.2570,-,255,1184,72,8,7026,241,4,0.9836734693877551,0.01632653061224487,6911.289795918367,114.71020408163247,Tb927_02_v5.1:503717..503972:r,False
101,Tb927_02_v5.1,510475,511133,NA_peak_267,510809,511040,Tb927.2.2590,-,231,42,0,3,696,0,70,0.0,1.0,0.0,696.0,Tb927_02_v5.1:510809..511040:r,False
102,Tb927_02_v5.1,541760,542249,NA_peak_269,541724,545866,Tb927.2.2770,+,489,207,15,0,591,25,4,0.8620689655172413,0.13793103448275867,509.48275862068965,81.51724137931038,Tb927_02_v5.1:541760..542249:f,True
103,Tb927_02_v5.1,544853,547260,NA_peak_270,541724,545866,Tb927.2.2770,+,1013,698,30,7,7902,361,59,0.8595238095238096,0.14047619047619042,6791.9571428571435,1110.0428571428567,Tb927_02_v5.1:544853..545866:f,False
104,Tb927_02_v5.1,565268,567624,NA_peak_272,565249,567388,Tb927.2.2970,+,2120,733,12,18,5939,224,140,0.6153846153846154,0.3846153846153846,3654.769230769231,2284.230769230769,Tb927_02_v5.1:565268..567388:f,False
105,Tb927_02_v5.1,596360,597395,NA_peak_274,596509,596843,Tb927.2.3265,+,334,3256,52,168,10255,347,407,0.46021220159151194,0.539787798408488,4719.476127320955,5535.523872679045,Tb927_02_v5.1:596509..596843:f,False
106,Tb927_02_v5.1,610865,611432,NA_peak_277,609992,611011,Tb927.2.3300,+,146,1667,17,108,4453,57,30,0.6551724137931034,0.3448275862068966,2917.4827586206898,1535.5172413793105,Tb927_02_v5.1:610865..611011:f,False
107,Tb927_02_v5.1,614398,614988,NA_peak_278,613535,614554,Tb927.2.3310,+,156,2070,19,62,5391,47,89,0.34558823529411764,0.6544117647058824,1863.0661764705883,3527.9338235294117,Tb927_02_v5.1:614398..614554:f,False
108,Tb927_02_v5.1,625348,625798,NA_peak_279,625688,626204,Tb927.2.3390,-,110,65,2,3,162,0,9,0.0,1.0,0.0,162.0,Tb927_02_v5.1:625688..625798:r,False
109,Tb927_02_v5.1,636678,638664,NA_peak_280,636998,641497,Tb927.2.3580,-,1666,1439,111,9,30786,1220,788,0.6075697211155379,0.39243027888446214,18704.64143426295,12081.358565737051,Tb927_02_v5.1:636998..638664:r,False
110,Tb927_02_v5.1,645554,646834,NA_peak_281,645802,646501,Tb927.2.3620,-,699,1180,91,22,3902,84,94,0.47191011235955055,0.5280898876404494,1841.3932584269662,2060.6067415730336,Tb927_02_v5.1:645802..646501:r,False
111,Tb927_02_v5.1,663408,665600,NA_peak_282,661748,664927,Tb927.2.3720,-,1519,416,13,25,8631,77,398,0.16210526315789472,0.8378947368421052,1399.1305263157894,7231.869473684211,Tb927_02_v5.1:663408..664927:r,False
112,Tb927_02_v5.1,666562,668524,NA_peak_284,666115,666966,Tb927.2.3730,-,404,2551,31,144,27938,571,12,0.9794168096054888,0.020583190394511175,27362.946826758147,575.0531732418532,Tb927_02_v5.1:666562..666966:r,False
113,Tb927_02_v5.1,696075,697915,NA_peak_287,697392,697556,Tb927.2.3960,-,164,153,2,11,3499,149,27,0.8465909090909091,0.15340909090909094,2962.221590909091,536.7784090909092,Tb927_02_v5.1:697392..697556:r,False
114,Tb927_02_v5.1,698027,698920,NA_peak_288,698380,698587,Tb927.2.3970,-,207,1059,12,52,3446,92,93,0.4972972972972973,0.5027027027027027,1713.6864864864865,1732.3135135135135,Tb927_02_v5.1:698380..698587:r,False
115,Tb927_02_v5.1,709631,710262,NA_peak_289,709713,710847,Tb927.2.4050,-,549,231,5,5,549,12,5,0.7058823529411765,0.2941176470588235,387.5294117647059,161.4705882352941,Tb927_02_v5.1:709713..710262:r,False
116,Tb927_02_v5.1,719747,721037,NA_peak_290,720032,720226,Tb927.2.4110,-,194,316,7,10,10931,451,47,0.9056224899598394,0.0943775100401606,9899.359437751005,1031.6405622489954,Tb927_02_v5.1:720032..720226:r,False
117,Tb927_02_v5.1,728227,729035,NA_peak_291,728742,729161,Tb927.2.4150,-,293,240,11,1,2588,217,35,0.8611111111111112,0.13888888888888884,2228.5555555555557,359.44444444444434,Tb927_02_v5.1:728742..729035:r,False
118,Tb927_02_v5.1,735152,736479,NA_peak_292,733635,736854,Tb927.2.4200,-,1327,598,7,12,1670,42,12,0.7777777777777778,0.2222222222222222,1298.888888888889,371.1111111111111,Tb927_02_v5.1:735152..736479:r,True
119,Tb927_02_v5.1,739418,740432,NA_peak_293,740356,741128,Tb927.2.4210,-,76,281,6,18,1669,7,81,0.07954545454545454,0.9204545454545454,132.76136363636363,1536.2386363636363,Tb927_02_v5.1:740356..740432:r,False
120,Tb927_02_v5.1,740656,741359,NA_peak_294,740356,741128,Tb927.2.4210,-,472,969,22,17,2382,101,8,0.926605504587156,0.07339449541284404,2207.1743119266057,174.8256880733945,Tb927_02_v5.1:740656..741128:r,False
121,Tb927_02_v5.1,759040,760516,NA_peak_297,759283,759932,Tb927.2.4280,-,649,469,50,25,6554,190,265,0.4175824175824176,0.5824175824175823,2736.835164835165,3817.1648351648346,Tb927_02_v5.1:759283..759932:r,False
122,Tb927_02_v5.1,770501,771525,NA_peak_299,769357,771006,Tb927.2.4370,-,505,527,3,103,5638,179,567,0.23994638069705093,0.760053619302949,1352.8176943699732,4285.182305630026,Tb927_02_v5.1:770501..771006:r,False
123,Tb927_02_v5.1,793146,794481,NA_peak_300,794009,794857,Tb927.2.4480,-,472,1005,34,16,9431,29,433,0.06277056277056277,0.9372294372294372,591.9891774891775,8839.010822510822,Tb927_02_v5.1:794009..794481:r,False
124,Tb927_02_v5.1,795975,797843,NA_peak_301,795917,798057,Tb927.2.4510,-,1868,817,19,10,8189,26,257,0.09187279151943463,0.9081272084805654,752.3462897526501,7436.65371024735,Tb927_02_v5.1:795975..797843:r,True
125,Tb927_02_v5.1,800442,800993,NA_peak_302,800688,801492,Tb927.2.4520,-,305,150,10,5,889,0,0,,,,,Tb927_02_v5.1:800688..800993:r,False
