,Chromosome,Peak_Start,Peak_End,Peak_Name,UTR_Start,UTR_End,UTR_Gene_ID,UTR_Strand,UTR_Peak_overlap,Control_total,Control_F,Control_R,Treatment_total,Treatment_F,Treatment_R,Treatment_fraction_F,Treatment_fraction_R,Treatment_total_corrected_F,Treatment_total_corrected_R,download_seq,is_fully_contained
21,Tb927_01_v5.1,341064,342141,NA_peak_292,340850,341181,Tb927.1.1310,+,117,1207,3,82,12405,23,693,0.03212290502793296,0.9678770949720671,398.48463687150837,12006.515363128492,Tb927_01_v5.1:341064..341181:f,False
22,Tb927_01_v5.1,358543,359378,NA_peak_295,358937,359337,Tb927.1.1400,+,400,569,17,21,3212,91,56,0.6190476190476191,0.38095238095238093,1988.3809523809525,1223.6190476190475,Tb927_01_v5.1:358937..359337:f,False
23,Tb927_01_v5.1,381876,382621,NA_peak_297,376873,384732,Tb927.1.1500,+,745,1698,8,66,7330,9,223,0.03879310344827586,0.9612068965517241,284.3534482758621,7045.646551724138,Tb927_01_v5.1:381876..382621:f,True
24,Tb927_01_v5.1,392106,392450,NA_peak_299,390939,394564,Tb927.1.1530,+,344,1847,116,28,7742,34,395,0.07925407925407925,0.9207459207459208,613.5850815850815,7128.414918414918,Tb927_01_v5.1:392106..392450:f,True
25,Tb927_01_v5.1,392569,393209,NA_peak_300,390939,394564,Tb927.1.1530,+,640,4188,196,68,18772,61,1041,0.05535390199637023,0.9446460980036298,1039.103448275862,17732.896551724138,Tb927_01_v5.1:392569..393209:f,True
26,Tb927_01_v5.1,404682,405549,NA_peak_303,404681,405277,Tb927.1.1580,+,595,1450,87,57,7227,476,9,0.9814432989690721,0.01855670103092788,7092.8907216494845,134.10927835051578,Tb927_01_v5.1:404682..405277:f,False
27,Tb927_01_v5.1,411473,413023,NA_peak_304,412224,412571,Tb927.1.1610,+,347,723,36,20,3772,109,72,0.6022099447513812,0.39779005524861877,2271.53591160221,1500.46408839779,Tb927_01_v5.1:412224..412571:f,False
28,Tb927_01_v5.1,424603,425490,NA_peak_305,425380,425655,Tb927.1.1680,+,110,172,11,13,2073,38,128,0.2289156626506024,0.7710843373493976,474.54216867469876,1598.4578313253012,Tb927_01_v5.1:425380..425490:f,False
29,Tb927_01_v5.1,475174,476438,NA_peak_309,475822,479411,Tb927.1.1840,+,616,1759,136,10,8384,104,117,0.47058823529411764,0.5294117647058824,3945.4117647058824,4438.588235294118,Tb927_01_v5.1:475822..476438:f,False
30,Tb927_01_v5.1,481765,482616,NA_peak_310,481678,483705,Tb927.1.1850,+,851,1484,1,170,11430,10,909,0.01088139281828074,0.9891186071817193,124.37431991294886,11305.62568008705,Tb927_01_v5.1:481765..482616:f,True
31,Tb927_01_v5.1,483665,484231,NA_peak_311,481678,483705,Tb927.1.1850,+,40,390,5,1,1623,2,20,0.09090909090909091,0.9090909090909091,147.54545454545456,1475.4545454545455,Tb927_01_v5.1:483665..483705:f,False
32,Tb927_01_v5.1,499964,500876,NA_peak_313,499520,500775,Tb927.1.1920,+,811,2819,65,80,17126,857,218,0.7972093023255814,0.2027906976744186,13653.006511627907,3472.993488372093,Tb927_01_v5.1:499964..500775:f,False
33,Tb927_01_v5.1,516690,517680,NA_peak_317,517473,517613,Tb927.1.1980,+,140,2188,127,11,23576,975,89,0.9163533834586466,0.08364661654135341,21603.947368421053,1972.052631578948,Tb927_01_v5.1:517473..517613:f,False
34,Tb927_01_v5.1,520650,521595,NA_peak_318,520805,521079,Tb927.1.2040,-,274,1937,34,52,36309,1137,125,0.9009508716323297,0.09904912836767032,32712.62519809826,3596.3748019017416,Tb927_01_v5.1:520805..521079:r,False
35,Tb927_01_v5.1,542496,543428,NA_peak_323,542917,545997,Tb927.1.2120,+,511,2805,17,107,21500,57,696,0.07569721115537849,0.9243027888446215,1627.4900398406376,19872.50996015936,Tb927_01_v5.1:542917..543428:f,False
36,Tb927_01_v5.1,544672,545263,NA_peak_324,542917,545997,Tb927.1.2120,+,591,278,1,0,1520,0,0,,,,,Tb927_01_v5.1:544672..545263:f,True
37,Tb927_01_v5.1,545492,545857,NA_peak_325,542917,545997,Tb927.1.2120,+,365,138,7,5,797,53,22,0.7066666666666667,0.29333333333333333,563.2133333333334,233.78666666666666,Tb927_01_v5.1:545492..545857:f,True
38,Tb927_01_v5.1,567135,567467,NA_peak_328,565367,568411,Tb927.1.2260,+,332,154,2,1,549,7,31,0.18421052631578946,0.8157894736842105,101.13157894736841,447.86842105263156,Tb927_01_v5.1:567135..567467:f,True
39,Tb927_01_v5.1,594044,594559,NA_peak_334,594481,595466,Tb927.1.2450,+,78,0,0,0,44,0,0,,,,,Tb927_01_v5.1:594481..594559:f,False
40,Tb927_01_v5.1,595317,595756,NA_peak_335,594481,595466,Tb927.1.2450,+,149,0,0,0,43,0,0,,,,,Tb927_01_v5.1:595317..595466:f,False
41,Tb927_01_v5.1,595765,596629,NA_peak_336,596065,597044,Tb927.1.2470,+,564,2,0,0,82,0,0,,,,,Tb927_01_v5.1:596065..596629:f,False
42,Tb927_01_v5.1,598495,598819,NA_peak_337,597657,598630,Tb927.1.2490,+,135,0,0,0,25,0,0,,,,,Tb927_01_v5.1:598495..598630:f,False
43,Tb927_01_v5.1,599369,599676,NA_peak_338,599243,600216,Tb927.1.2510,+,307,10,0,4,44,0,0,,,,,Tb927_01_v5.1:599369..599676:f,True
44,Tb927_01_v5.1,599992,600598,NA_peak_339,599243,600216,Tb927.1.2510,+,224,0,0,0,61,0,0,,,,,Tb927_01_v5.1:599992..600216:f,False
45,Tb927_01_v5.1,601664,602121,NA_peak_340,600829,601800,Tb927.1.2530,+,136,0,0,0,48,0,0,,,,,Tb927_01_v5.1:601664..601800:f,False
46,Tb927_01_v5.1,602135,602487,NA_peak_341,602413,603378,Tb927.1.2550,+,74,0,0,0,35,0,0,,,,,Tb927_01_v5.1:602413..602487:f,False
47,Tb927_01_v5.1,608377,609312,NA_peak_342,608596,608819,Tb927.1.2580,+,223,608,25,28,11987,782,95,0.8916761687571265,0.10832383124287348,10688.522234891676,1298.4777651083243,Tb927_01_v5.1:608596..608819:f,False
48,Tb927_01_v5.1,622624,624084,NA_peak_343,623777,624006,Tb927.1.2700,+,229,8664,314,255,47130,1988,508,0.7964743589743589,0.20352564102564108,37537.83653846154,9592.163461538465,Tb927_01_v5.1:623777..624006:f,False
49,Tb927_01_v5.1,637027,637871,NA_peak_346,636257,637281,Tb927.1.2780,-,254,123,1,6,932,23,48,0.323943661971831,0.676056338028169,301.9154929577465,630.0845070422536,Tb927_01_v5.1:637027..637281:r,False
50,Tb927_01_v5.1,644597,644918,NA_peak_349,644706,645276,Tb927.1.2850,-,212,1525,10,1,5536,22,17,0.5641025641025641,0.4358974358974359,3122.871794871795,2413.128205128205,Tb927_01_v5.1:644706..644918:r,False
51,Tb927_01_v5.1,648582,649005,NA_peak_351,648704,649279,Tb927.1.2880,-,301,2164,45,8,7893,69,96,0.41818181818181815,0.5818181818181818,3300.7090909090907,4592.290909090909,Tb927_01_v5.1:648704..649005:r,False
52,Tb927_01_v5.1,663366,663717,NA_peak_354,663270,663556,Tb927.1.2985,+,190,697,11,33,2714,63,58,0.5206611570247934,0.47933884297520657,1413.0743801652893,1300.9256198347107,Tb927_01_v5.1:663366..663556:f,False
53,Tb927_01_v5.1,671511,672181,NA_peak_357,671533,671662,Tb927.1.3030,+,129,32,0,0,230,2,3,0.4,0.6,92.0,138.0,Tb927_01_v5.1:671533..671662:f,False
54,Tb927_01_v5.1,676934,677894,NA_peak_359,676455,677513,Tb927.1.3070,+,579,2346,60,117,12311,8,758,0.010443864229765013,0.9895561357702349,128.57441253263707,12182.425587467362,Tb927_01_v5.1:676934..677513:f,False
55,Tb927_01_v5.1,677938,678991,NA_peak_360,678612,679013,Tb927.1.3110,+,379,1598,127,73,17283,950,449,0.6790564689063617,0.32094353109363827,11736.13295210865,5546.86704789135,Tb927_01_v5.1:678612..678991:f,False
56,Tb927_01_v5.1,683308,684752,NA_peak_361,684632,685276,Tb927.1.3130,+,120,4996,261,27,35468,1233,61,0.9528593508500772,0.047140649149922775,33796.01545595054,1671.984544049461,Tb927_01_v5.1:684632..684752:f,False
57,Tb927_01_v5.1,690470,690839,NA_peak_362,690821,691247,Tb927.1.3200,+,18,25,1,0,116,0,4,0.0,1.0,0.0,116.0,Tb927_01_v5.1:690821..690839:f,False
58,Tb927_01_v5.1,711669,712403,NA_peak_368,712309,712728,Tb927.1.3270,+,94,1196,8,47,10489,83,590,0.12332838038632987,0.8766716196136701,1293.591381872214,9195.408618127785,Tb927_01_v5.1:712309..712403:f,False
59,Tb927_01_v5.1,712584,713478,NA_peak_369,712309,712728,Tb927.1.3270,+,144,3797,36,75,14235,74,262,0.22023809523809523,0.7797619047619048,3135.089285714286,11099.910714285714,Tb927_01_v5.1:712584..712728:f,False
60,Tb927_01_v5.1,717098,717647,NA_peak_370,717204,717735,Tb927.1.3290,+,443,112,17,3,671,30,5,0.8571428571428571,0.1428571428571429,575.1428571428571,95.85714285714289,Tb927_01_v5.1:717204..717647:f,False
62,Tb927_01_v5.1,731032,733066,NA_peak_373,732215,732770,Tb927.1.3400,-,555,4765,65,145,24301,688,230,0.7494553376906318,0.2505446623093682,18212.514161220042,6088.485838779958,Tb927_01_v5.1:732215..732770:r,False
64,Tb927_01_v5.1,734433,736920,NA_peak_374,736446,737756,Tb927.1.3450,-,474,2463,63,41,11290,309,41,0.8828571428571429,0.1171428571428571,9967.457142857143,1322.5428571428567,Tb927_01_v5.1:736446..736920:r,False
65,Tb927_01_v5.1,756440,757952,NA_peak_377,752810,756776,Tb927.1.3550,-,336,3595,69,41,22994,758,149,0.8357221609702316,0.16427783902976845,19216.595369349503,3777.4046306504956,Tb927_01_v5.1:756440..756776:r,False
66,Tb927_01_v5.1,758196,758595,NA_peak_378,758163,758686,Tb927.1.3560,-,399,1180,21,24,4004,93,85,0.5224719101123596,0.4775280898876404,2091.977528089888,1912.0224719101122,Tb927_01_v5.1:758196..758595:r,True
67,Tb927_01_v5.1,818821,821073,NA_peak_394,820567,820827,Tb927.1.3840,+,260,9060,138,282,38927,526,696,0.43044189852700493,0.5695581014729951,16755.811783960722,22171.18821603928,Tb927_01_v5.1:820567..820827:f,False
68,Tb927_01_v5.1,833122,834118,NA_peak_398,832222,833456,Tb927.1.3880,+,334,400,6,44,4427,20,331,0.05698005698005698,0.9430199430199431,252.25071225071227,4174.749287749288,Tb927_01_v5.1:833122..833456:f,False
69,Tb927_01_v5.1,838769,840881,NA_peak_399,840422,840600,Tb927.1.3940,+,178,3782,70,75,19182,322,466,0.4086294416243655,0.5913705583756346,7838.329949238579,11343.670050761422,Tb927_01_v5.1:840422..840600:f,False
70,Tb927_01_v5.1,847169,848885,NA_peak_401,848608,851483,Tb927.1.4010,+,277,344,13,2,5067,170,100,0.6296296296296297,0.37037037037037035,3190.3333333333335,1876.6666666666665,Tb927_01_v5.1:848608..848885:f,False
71,Tb927_01_v5.1,859390,859800,NA_peak_402,859289,861360,Tb927.1.4050,+,410,1375,68,26,5041,5,211,0.023148148148148147,0.9768518518518519,116.68981481481481,4924.310185185185,Tb927_01_v5.1:859390..859800:f,True
72,Tb927_01_v5.1,863192,865081,NA_peak_403,862869,864625,Tb927.1.4100,+,1433,489,4,18,3820,162,29,0.8481675392670157,0.1518324607329843,3240.0,580.0,Tb927_01_v5.1:863192..864625:f,False
73,Tb927_01_v5.1,883851,884183,NA_peak_407,883183,885850,Tb927.1.4280,+,332,82,3,3,560,11,9,0.55,0.44999999999999996,308.0,251.99999999999997,Tb927_01_v5.1:883851..884183:f,True
74,Tb927_01_v5.1,911146,912666,NA_peak_409,911872,912053,Tb927.1.4410,+,181,2166,104,32,17410,461,309,0.5987012987012987,0.40129870129870127,10423.389610389611,6986.610389610389,Tb927_01_v5.1:911872..912053:f,False
75,Tb927_01_v5.1,912934,915493,NA_peak_410,915162,916224,Tb927.1.4420,+,331,1904,75,59,30597,1043,268,0.7955758962623951,0.2044241037376049,24342.235697940505,6254.764302059497,Tb927_01_v5.1:915162..915493:f,False
76,Tb927_01_v5.1,920716,922240,NA_peak_412,920057,921063,Tb927.1.4450,+,347,4821,71,150,24543,23,897,0.025,0.975,613.575,23929.425,Tb927_01_v5.1:920716..921063:f,False
77,Tb927_01_v5.1,947936,948248,NA_peak_413,947169,948420,Tb927.1.4580,+,312,3421,4,43,9981,5,15,0.25,0.75,2495.25,7485.75,Tb927_01_v5.1:947936..948248:f,True
78,Tb927_01_v5.1,950652,950958,NA_peak_414,950296,951580,Tb927.1.4600,+,306,3857,0,3,11671,0,0,,,,,Tb927_01_v5.1:950652..950958:f,True
79,Tb927_01_v5.1,980349,981671,NA_peak_418,981556,982234,Tb927.1.4780,+,115,3499,212,23,16285,476,370,0.5626477541371159,0.4373522458628841,9162.718676122931,7122.281323877068,Tb927_01_v5.1:981556..981671:f,False
80,Tb927_01_v5.1,987342,987841,NA_peak_419,987621,988178,Tb927.1.4830,+,220,622,14,25,2197,19,87,0.1792452830188679,0.8207547169811321,393.8018867924528,1803.1981132075473,Tb927_01_v5.1:987621..987841:f,False
81,Tb927_01_v5.1,987923,988462,NA_peak_420,987621,988178,Tb927.1.4830,+,255,561,0,10,2332,0,1,0.0,1.0,0.0,2332.0,Tb927_01_v5.1:987923..988178:f,False
82,Tb927_01_v5.1,1001289,1002585,NA_peak_423,1002059,1004159,Tb927.1.4970,+,526,2603,166,22,25486,994,419,0.7034677990092003,0.2965322009907997,17928.58032554848,7557.419674451521,Tb927_01_v5.1:1002059..1002585:f,False
83,Tb927_01_v5.1,1014118,1015004,NA_peak_427,1014303,1014441,Tb927.1.5060,+,138,446,3,16,3310,17,33,0.34,0.6599999999999999,1125.4,2184.6,Tb927_01_v5.1:1014303..1014441:f,False
84,Tb927_02_v5.1,25081,25565,NA_peak_455,24708,25547,Tb927.2.240,-,466,1829,20,59,7539,137,173,0.44193548387096776,0.5580645161290323,3331.751612903226,4207.248387096774,Tb927_02_v5.1:25081..25547:r,False
85,Tb927_02_v5.1,34608,35259,NA_peak_461,35208,35797,Tb927.2.280,-,51,1162,56,46,5027,234,143,0.6206896551724138,0.3793103448275862,3120.206896551724,1906.7931034482758,Tb927_02_v5.1:35208..35259:r,False
86,Tb927_02_v5.1,77121,78012,NA_peak_482,76772,77150,Tb927.2.450,-,29,6246,178,213,35033,1278,472,0.7302857142857143,0.2697142857142857,25584.09942857143,9448.90057142857,Tb927_02_v5.1:77121..77150:r,False
87,Tb927_02_v5.1,86765,87109,NA_peak_488,86491,86880,Tb927.2.470,-,115,2296,81,149,9683,817,225,0.7840690978886756,0.21593090211132437,7592.141074856046,2090.858925143954,Tb927_02_v5.1:86765..86880:r,False
88,Tb927_02_v5.1,124738,125168,NA_peak_503,125051,125210,Tb927.2.680,+,117,2275,19,11,8841,63,31,0.6702127659574468,0.32978723404255317,5925.351063829788,2915.6489361702124,Tb927_02_v5.1:125051..125168:f,False
89,Tb927_02_v5.1,128859,130132,NA_peak_507,128712,129848,Tb927.2.690,+,989,524,2,1,2999,33,28,0.5409836065573771,0.4590163934426229,1622.409836065574,1376.590163934426,Tb927_02_v5.1:128859..129848:f,False
90,Tb927_02_v5.1,163189,164208,NA_peak_525,163039,164146,Tb927.2.950,+,957,309,0,4,2399,7,9,0.4375,0.5625,1049.5625,1349.4375,Tb927_02_v5.1:163189..164146:f,False
91,Tb927_02_v5.1,173105,174154,NA_peak_531,174002,174237,Tb927.2.1045,-,152,7221,91,55,31891,524,50,0.9128919860627178,0.08710801393728218,29113.038327526134,2777.961672473866,Tb927_02_v5.1:174002..174154:r,False
92,Tb927_02_v5.1,179176,179943,NA_peak_533,178829,179638,Tb927.2.1080,-,462,2790,18,58,10711,103,148,0.4103585657370518,0.5896414342629481,4395.350597609562,6315.649402390437,Tb927_02_v5.1:179176..179638:r,False
93,Tb927_02_v5.1,204940,206331,NA_peak_547,204700,205539,Tb927.2.1170,-,599,5427,189,219,26140,722,464,0.6087689713322091,0.3912310286677909,15913.220910623946,10226.779089376054,Tb927_02_v5.1:204940..205539:r,False
94,Tb927_02_v5.1,209377,210615,NA_peak_551,209786,210946,Tb927.2.1180,-,829,4843,106,79,32726,718,210,0.7737068965517241,0.2262931034482759,25320.33189655172,7405.668103448277,Tb927_02_v5.1:209786..210615:r,False
95,Tb927_02_v5.1,210652,211608,NA_peak_552,209786,210946,Tb927.2.1180,-,294,5656,306,186,27741,1613,533,0.7516309412861137,0.24836905871388626,20850.99394221808,6890.006057781919,Tb927_02_v5.1:210652..210946:r,False
96,Tb927_02_v5.1,219406,219734,NA_peak_556,219429,219958,Tb927.2.1210,-,305,1052,44,36,3391,125,88,0.5868544600938967,0.41314553990610325,1990.0234741784038,1400.9765258215962,Tb927_02_v5.1:219429..219734:r,False
97,Tb927_02_v5.1,219916,220528,NA_peak_557,219429,219958,Tb927.2.1210,-,42,1511,30,22,7564,47,32,0.5949367088607594,0.40506329113924056,4500.101265822785,3063.8987341772154,Tb927_02_v5.1:219916..219958:r,False
98,Tb927_02_v5.1,229688,230547,NA_peak_563,230409,230553,Tb927.2.1250,+,138,5261,138,64,22689,489,152,0.7628705148205929,0.23712948517940713,17308.76911076443,5380.230889235569,Tb927_02_v5.1:230409..230547:f,False
99,Tb927_02_v5.1,327075,329115,NA_peak_593,327800,328298,Tb927.2.1760,+,498,3840,88,15,22289,555,45,0.925,0.07499999999999996,20617.325,1671.674999999999,Tb927_02_v5.1:327800..328298:f,False
100,Tb927_02_v5.1,387709,388940,NA_peak_608,388826,393055,Tb927.2.2060,-,114,169,8,1,1000,73,1,0.9864864864864865,0.013513513513513487,986.4864864864866,13.513513513513487,Tb927_02_v5.1:388826..388940:r,False
101,Tb927_02_v5.1,397500,398870,NA_peak_610,398551,398869,Tb927.2.2090,-,318,786,40,48,4342,226,82,0.7337662337662337,0.26623376623376627,3186.0129870129867,1155.987012987013,Tb927_02_v5.1:398551..398869:r,False
102,Tb927_02_v5.1,408049,408937,NA_peak_611,408614,409056,Tb927.2.2140,-,323,1899,107,3,8564,473,50,0.904397705544933,0.09560229445506696,7745.2619502868065,818.7380497131935,Tb927_02_v5.1:408614..408937:r,False
103,Tb927_02_v5.1,415699,416719,NA_peak_612,414848,416562,Tb927.2.2190,-,863,5058,399,21,61550,2588,51,0.9806744979158772,0.01932550208412276,60360.51534672224,1189.4846532777558,Tb927_02_v5.1:415699..416562:r,False
104,Tb927_02_v5.1,459464,460537,NA_peak_620,460464,460800,Tb927.2.2370,-,73,776,28,12,4213,81,41,0.6639344262295082,0.33606557377049184,2797.155737704918,1415.8442622950822,Tb927_02_v5.1:460464..460537:r,False
105,Tb927_02_v5.1,460568,460946,NA_peak_621,460464,460800,Tb927.2.2370,-,232,529,25,9,2202,89,62,0.5894039735099338,0.4105960264900662,1297.8675496688743,904.1324503311258,Tb927_02_v5.1:460568..460800:r,False
107,Tb927_02_v5.1,497514,500558,NA_peak_624,500416,500795,Tb927.2.2540,-,142,120,1,4,1452,47,42,0.5280898876404494,0.4719101123595506,766.7865168539325,685.2134831460675,Tb927_02_v5.1:500416..500558:r,False
108,Tb927_02_v5.1,500631,500957,NA_peak_625,500416,500795,Tb927.2.2540,-,164,25,2,2,393,30,18,0.625,0.375,245.625,147.375,Tb927_02_v5.1:500631..500795:r,False
109,Tb927_02_v5.1,500972,502373,NA_peak_626,501565,501835,Tb927.2.2550,-,270,362,7,13,4204,87,74,0.5403726708074534,0.45962732919254656,2271.726708074534,1932.2732919254659,Tb927_02_v5.1:501565..501835:r,False
110,Tb927_02_v5.1,552264,554242,NA_peak_635,552847,553711,Tb927.2.2880,+,864,1899,63,20,9650,82,135,0.3778801843317972,0.6221198156682028,3646.543778801843,6003.456221198157,Tb927_02_v5.1:552847..553711:f,False
111,Tb927_02_v5.1,554980,556271,NA_peak_636,556245,556347,Tb927.2.2910,+,26,4785,141,244,36665,1019,1099,0.48111425873465535,0.5188857412653447,17640.05429650614,19024.945703493864,Tb927_02_v5.1:556245..556271:f,False
112,Tb927_02_v5.1,557607,559768,NA_peak_637,558329,559408,Tb927.2.2920,+,1079,2905,112,34,23857,450,310,0.5921052631578947,0.4078947368421053,14125.855263157893,9731.144736842107,Tb927_02_v5.1:558329..559408:f,False
113,Tb927_02_v5.1,569219,569792,NA_peak_639,569218,569267,Tb927.2.2990,+,48,3585,32,213,12546,9,771,0.011538461538461539,0.9884615384615385,144.76153846153846,12401.238461538462,Tb927_02_v5.1:569219..569267:f,False
114,Tb927_02_v5.1,592045,592517,NA_peak_641,592448,592956,Tb927.2.3190,+,69,1269,32,48,4659,17,215,0.07327586206896551,0.9267241379310345,341.3922413793103,4317.607758620689,Tb927_02_v5.1:592448..592517:f,False
115,Tb927_02_v5.1,599089,599535,NA_peak_644,599361,600381,Tb927.2.3270,+,174,6776,187,213,23603,519,748,0.409629044988161,0.590370955011839,9668.474348855563,13934.525651144437,Tb927_02_v5.1:599361..599535:f,False
116,Tb927_02_v5.1,602843,603189,NA_peak_646,602905,603927,Tb927.2.3280,+,284,3613,159,284,13465,525,1243,0.29694570135746606,0.7030542986425339,3998.3738687782807,9466.62613122172,Tb927_02_v5.1:602905..603189:f,False
117,Tb927_02_v5.1,606103,606735,NA_peak_647,606451,607469,Tb927.2.3290,+,284,6944,214,400,26753,661,1655,0.28540587219343694,0.7145941278065631,7635.463298791018,19117.53670120898,Tb927_02_v5.1:606451..606735:f,False
118,Tb927_02_v5.1,607076,607386,NA_peak_648,606451,607469,Tb927.2.3290,+,310,901,16,21,6158,4,130,0.029850746268656716,0.9701492537313433,183.82089552238804,5974.179104477612,Tb927_02_v5.1:607076..607386:f,True
119,Tb927_02_v5.1,609511,610280,NA_peak_650,609992,611011,Tb927.2.3300,+,288,5694,150,276,22732,456,1100,0.2930591259640103,0.7069408740359897,6661.820051413882,16070.179948586117,Tb927_02_v5.1:609992..610280:f,False
120,Tb927_02_v5.1,610543,611058,NA_peak_651,609992,611011,Tb927.2.3300,+,468,1208,33,54,7803,11,192,0.054187192118226604,0.9458128078817734,422.8226600985222,7380.177339901477,Tb927_02_v5.1:610543..611011:f,False
121,Tb927_02_v5.1,613033,613756,NA_peak_653,613535,614554,Tb927.2.3310,+,221,6265,150,138,23433,369,484,0.43259085580304807,0.567409144196952,10136.901524032826,13296.098475967176,Tb927_02_v5.1:613535..613756:f,False
122,Tb927_02_v5.1,614366,614989,NA_peak_654,613535,614554,Tb927.2.3310,+,188,2099,19,63,10067,2,122,0.016129032258064516,0.9838709677419355,162.3709677419355,9904.629032258064,Tb927_02_v5.1:614366..614554:f,False
