# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-O" "-T" "8" "-F" "SAF" "-a" "count_pca/count_pca.SAF" "-o" "count_pca/count_pca.txt" "BSF_01/res4/BSF_01/BSF_01_sorted.bam" "BSF_03/res4/BSF_03/BSF_03_sorted.bam" "BSF_04/res4/BSF_04/BSF_04_sorted.bam" "BSF_05/res4/BSF_05/BSF_05_sorted.bam" "BSF_06/res4/BSF_06/BSF_06_sorted.bam" "BSF_07/res4/BSF_07/BSF_07_sorted.bam" "BSF_08/res4/BSF_08/BSF_08_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	BSF_01/res4/BSF_01/BSF_01_sorted.bam	BSF_03/res4/BSF_03/BSF_03_sorted.bam	BSF_04/res4/BSF_04/BSF_04_sorted.bam	BSF_05/res4/BSF_05/BSF_05_sorted.bam	BSF_06/res4/BSF_06/BSF_06_sorted.bam	BSF_07/res4/BSF_07/BSF_07_sorted.bam	BSF_08/res4/BSF_08/BSF_08_sorted.bam
Tb927.9.4630	Tb927_09_v5.1	856880	856969	.	90	4	1	13	3	16	11	7
Tb927.9.4640	Tb927_09_v5.1	862055	862534	.	480	71	5	5	5	196	165	278
Tb927.9.4680	Tb927_09_v5.1	865895	867754	.	1860	8706	9712	8995	10983	820	326	762
Tb927.9.4760	Tb927_09_v5.1	870057	870266	.	210	155	122	223	20	259	117	115
Tb927.9.4810	Tb927_09_v5.1	872993	873214	.	222	1270	25	4	10	352	747	401
Tb927.9.4820	Tb927_09_v5.1	876016	876145	.	130	3	9	1	0	24	3	10
Tb927.9.4850	Tb927_09_v5.1	878752	878854	.	103	201	48	8	96	91	119	29
Tb927.9.4895	Tb927_09_v5.1	886681	887659	.	979	1460	5031	2273	193	6261	1913	5209
Tb927.9.4900	Tb927_09_v5.1	891699	892058	.	360	1055	41	10	4	1008	370	618
Tb927.9.4910	Tb927_09_v5.1	893391	893522	.	132	838	26	0	2	250	269	184
Tb927.9.4940	Tb927_09_v5.1	897256	897332	.	77	181	0	11	2	77	35	20
Tb927.9.4960	Tb927_09_v5.1	899183	899557	.	375	0	2	0	0	3	1	4
Tb927.9.5100	Tb927_09_v5.1	911465	912649	.	1185	1997	671	267	174	233	65	40
Tb927.9.5220	Tb927_09_v5.1	920999	922118	.	1120	88	122	92	213	20	85	33
Tb927.9.5260	Tb927_09_v5.1	927010	927485	.	476	232	2462	485	361	470	227	331
Tb927.9.5300	Tb927_09_v5.1	928747	929652	.	906	1510	21	2	28	1893	906	3218
Tb927.9.5320	Tb927_09_v5.1	931090	932029	.	940	114	185	348	145	244	121	249
Tb927.9.5350	Tb927_09_v5.1	935229	935413	.	185	892	31	18	60	3819	1771	2201
Tb927.9.5390	Tb927_09_v5.1	940610	941944	.	1335	395	6	5	6	135	88	90
Tb927.9.5460	Tb927_09_v5.1	948455	950531	.	2077	5117	2012	1860	1897	741	298	320
Tb927.9.5490	Tb927_09_v5.1	953138	953712	.	575	133	303	116	93	43	9	8
Tb927.9.5520	Tb927_09_v5.1	958412	959686	.	1275	103	491	180	183	170	160	179
Tb927.9.5590	Tb927_09_v5.1	964733	965409	.	677	4228	9910	10084	5247	2204	725	741
Tb927.9.5700	Tb927_09_v5.1	983266	983614	.	349	0	0	1	2	4	0	14
Tb927.9.5730	Tb927_09_v5.1	986669	987388	.	720	3612	12663	15676	16734	2651	3341	3573
Tb927.9.5800	Tb927_09_v5.1	989440	989739	.	300	2	0	0	3	1	1	2
Tb927.9.5900	Tb927_09_v5.1	998286	1000315	.	2030	1026	1231	1170	1399	237	83	247
Tb927.9.5890	Tb927_09_v5.1	994652	994911	.	260	0	1	1	6	3	1	1
Tb927.9.6010	Tb927_09_v5.1	1004248	1004497	.	250	7	1	5	4	6	6	2
Tb927.9.6090	Tb927_09_v5.1	1011365	1011954	.	590	4092	1150	471	304	4530	3844	5608
Tb927.9.6150	Tb927_09_v5.1	1022584	1022939	.	356	192	5	6	6	30	19	14
Tb927.9.6210	Tb927_09_v5.1	1028290	1028716	.	427	461	23	29	53	0	0	2
Tb927.9.6290	Tb927_09_v5.1	1034291	1035221	.	931	374	333	135	147	254	575	114
Tb927.9.6350	Tb927_09_v5.1	1041922	1043151	.	1230	4906	3646	611	28	6067	1977	3751
Tb927.9.6360	Tb927_09_v5.1	1044756	1045150	.	395	59	45	9	5	219	87	175
Tb927.9.6390	Tb927_09_v5.1	1050031	1050410	.	380	7	37	36	18	16	3	2
Tb927.9.6420	Tb927_09_v5.1	1054617	1054846	.	230	54	5	3	5	40	24	27
Tb927.9.6450	Tb927_09_v5.1	1060662	1060961	.	300	2	30	31	67	46	5	8
Tb927.9.6470	Tb927_09_v5.1	1066999	1068185	.	1187	1923	972	634	997	2576	1522	1981
Tb927.9.6510	Tb927_09_v5.1	1070921	1071251	.	331	53	5	3	20	60	35	54
Tb927.9.6560	Tb927_09_v5.1	1079650	1082880	.	3231	606	35	8	14	634	335	1032
Tb927.9.6650	Tb927_09_v5.1	1089937	1090149	.	213	100	2	1	3	81	71	12
Tb927.9.6660	Tb927_09_v5.1	1092226	1092365	.	140	1899	324	119	103	3040	1066	2226
Tb927.9.6670	Tb927_09_v5.1	1100227	1100356	.	130	220	275	119	125	635	509	299
Tb927.9.6710	Tb927_09_v5.1	1105003	1105026	.	24	314	6	0	1	1	0	1
Tb927.9.6720	Tb927_09_v5.1	1106256	1106977	.	722	639	30	5	14	4534	6713	5010
Tb927.9.6730	Tb927_09_v5.1	1108189	1108596	.	408	49	2	5	3	28	6	8
Tb927.9.6760	Tb927_09_v5.1	1112431	1113485	.	1055	1206	303	304	314	1789	720	1017
Tb927.9.6870	Tb927_09_v5.1	1126376	1126555	.	180	14	91	61	104	20	7	4
Tb927.9.6890	Tb927_09_v5.1	1129243	1130102	.	860	6046	8888	4553	2822	19119	15969	18797
Tb927.9.6910	Tb927_09_v5.1	1130738	1130749	.	12	147	35	17	3	62	59	123
Tb927.9.6960	Tb927_09_v5.1	1135826	1137300	.	1475	213	102	84	81	998	841	1318
Tb927.9.7020	Tb927_09_v5.1	1139236	1139415	.	180	65	12	5	3	184	231	241
Tb927.9.7000	Tb927_09_v5.1	1138147	1138403	.	257	643	434	146	44	875	822	873
Tb927.9.7030	Tb927_09_v5.1	1144503	1144562	.	60	636	105	6	11	153	137	102
Tb927.9.7040	Tb927_09_v5.1	1146263	1146582	.	320	316	174	206	328	950	906	1183
Tb927.9.7060	Tb927_09_v5.1	1147642	1147721	.	80	94	112	139	151	311	175	195
Tb927.9.7080	Tb927_09_v5.1	1149526	1149620	.	95	1362	1970	2070	1881	877	863	762
Tb927.9.7090	Tb927_09_v5.1	1150956	1151110	.	155	7	1	1	3	80	12	21
Tb927.9.7100	Tb927_09_v5.1	1152095	1152981	.	887	2892	1458	1943	2398	1988	1612	2308
Tb927.9.7110	Tb927_09_v5.1	1155126	1155624	.	499	188	56	17	25	68	16	26
Tb927.9.7170	Tb927_09_v5.1	1162891	1163110	.	220	9	9	8	6	4	13	5
Tb927.9.7180	Tb927_09_v5.1	1168368	1168667	.	300	112	5	8	2	70	146	46
Tb927.9.7200	Tb927_09_v5.1	1171801	1171970	.	170	998	145	17	18	398	262	410
Tb927.9.7210	Tb927_09_v5.1	1174329	1174433	.	105	21	0	1	1	35	5	2
Tb927.9.7230	Tb927_09_v5.1	1175324	1175553	.	230	19	16	0	1	34	55	45
Tb927.9.7260	Tb927_09_v5.1	1177902	1178279	.	378	895	268	34	8	1151	1121	1365
Tb927.9.7270	Tb927_09_v5.1	1180346	1181554	.	1209	224	64	35	18	456	405	335
Tb927.9.7285	Tb927_09_v5.1	1181973	1182485	.	513	111	32	12	14	474	574	364
Tb927.9.7290	Tb927_09_v5.1	1183618	1184062	.	445	881	196	16	14	1028	2046	1128
Tb927.9.7320	Tb927_09_v5.1	1189919	1189973	.	55	1	4	65	114	0	0	2
Tb927.9.7370	Tb927_09_v5.1	1204473	1205267	.	795	729	218	277	428	233	229	1503
Tb927.9.7380	Tb927_09_v5.1	1206239	1207073	.	835	105	390	76	382	94	40	80
Tb927.9.7390	Tb927_09_v5.1	1209131	1209845	.	715	0	2	4	0	6	0	10
Tb927.9.7400	Tb927_09_v5.1	1211835	1211894	.	60	2	8	50	70	0	0	0
Tb927.9.7410	Tb927_09_v5.1	1213134	1213178	.	45	0	26	0	0	2	0	2
Tb927.9.7430	Tb927_09_v5.1	1219395	1220149	.	755	61	275	48	245	43	26	61
Tb927.9.7520	Tb927_09_v5.1	1232359	1234751	.	2393	1465	14053	11497	14801	721	264	460
Tb927.9.7540	Tb927_09_v5.1	1236396	1239116	.	2721	3296	2093	2227	2026	1984	1567	1823
Tb927.9.7550	Tb927_09_v5.1	1241982	1243023	.	1042	964	194	16	25	146	101	85
Tb927.9.7670	Tb927_09_v5.1	1250514	1251063	.	550	965	285	159	12	551	102	97
Tb927.9.7690	Tb927_09_v5.1	1251980	1253939	.	1960	530	2429	1426	18	381	1728	445
Tb927.9.7720	Tb927_09_v5.1	1264434	1264908	.	475	737	181	172	52	31	22	74
Tb927.9.7740	Tb927_09_v5.1	1269278	1270304	.	1027	880	169	62	168	555	401	344
Tb927.9.7760	Tb927_09_v5.1	1272175	1272659	.	485	1986	1501	209	82	1357	200	298
Tb927.9.7820	Tb927_09_v5.1	1279232	1279296	.	65	385	240	110	25	150	19	19
Tb927.9.8000	Tb927_09_v5.1	1323655	1324224	.	570	635	1892	1662	2149	790	622	1027
Tb927.9.8040	Tb927_09_v5.1	1327428	1327724	.	297	293	87	2	9	224	343	1175
Tb927.9.8050	Tb927_09_v5.1	1331502	1331691	.	190	477	79	85	26	1263	1106	1330
Tb927.9.8160	Tb927_09_v5.1	1338428	1339367	.	940	35	93	62	53	25	74	17
Tb927.9.8260	Tb927_09_v5.1	1353801	1354300	.	500	29392	7183	2875	3608	6525	3222	4709
Tb927.9.8290	Tb927_09_v5.1	1355542	1355856	.	315	0	234	200	224	105	138	208
Tb927.9.8330	Tb927_09_v5.1	1356667	1358641	.	1975	681	2659	2398	1499	977	403	816
Tb927.9.8350	Tb927_09_v5.1	1360473	1362357	.	1885	247	861	333	257	189	136	438
Tb927.9.8400	Tb927_09_v5.1	1367533	1368174	.	642	139	416	244	66	85	39	77
Tb927.9.8550	Tb927_09_v5.1	1386282	1386386	.	105	999	0	0	3	0	0	2
Tb927.9.8570	Tb927_09_v5.1	1387248	1388062	.	815	5	5	3	6	1	4	5
Tb927.9.8655	Tb927_09_v5.1	1397352	1398133	.	782	449	593	32	42	14	10	1387
Tb927.9.8680	Tb927_09_v5.1	1401040	1401264	.	225	711	53	36	73	517	444	518
Tb927.9.8700	Tb927_09_v5.1	1402261	1402520	.	260	257	66	4	5	671	122	768
Tb927.9.8720	Tb927_09_v5.1	1404495	1405008	.	514	1296	1326	1545	1152	2276	162	1816
Tb927.9.8740	Tb927_09_v5.1	1406358	1409324	.	2967	570	4435	5834	9313	956	579	268
Tb927.9.8760	Tb927_09_v5.1	1410492	1411121	.	630	152	213	31	24	174	131	143
Tb927.9.8810	Tb927_09_v5.1	1420125	1420204	.	80	68	126	157	143	167	90	73
Tb927.9.8850	Tb927_09_v5.1	1425370	1425514	.	145	0	2	1	0	0	0	1
Tb927.9.8990	Tb927_09_v5.1	1439524	1440408	.	885	1625	24	22	28	5	27	17
Tb927.9.9090	Tb927_09_v5.1	1450732	1450941	.	210	1512	1141	49	75	865	285	74
Tb927.9.9100	Tb927_09_v5.1	1452233	1452677	.	445	32	233	91	271	3	1	5
Tb927.9.9150	Tb927_09_v5.1	1456732	1456826	.	95	37	49	18	24	25	11	7
Tb927.9.9160	Tb927_09_v5.1	1459006	1459170	.	165	483	13	18	40	518	460	785
Tb927.9.9170	Tb927_09_v5.1	1461207	1461396	.	190	148	26	3	26	468	286	229
Tb927.9.9190	Tb927_09_v5.1	1464725	1464909	.	185	5	2	1	3	2	5	2
Tb927.9.9200	Tb927_09_v5.1	1467183	1467447	.	265	971	216	180	125	1043	2153	2967
Tb927.9.9220	Tb927_09_v5.1	1469680	1469856	.	177	11	2	2	2	175	39	30
Tb927.9.9230	Tb927_09_v5.1	1471772	1472026	.	255	212	159	80	16	379	333	490
Tb927.9.9280	Tb927_09_v5.1	1475891	1476045	.	155	3	8	10	0	9	3	7
Tb927.9.9300	Tb927_09_v5.1	1480576	1482505	.	1930	1811	68	22	26	15683	10536	14686
Tb927.9.9320	Tb927_09_v5.1	1487328	1488137	.	810	1944	395	69	174	697	330	879
Tb927.9.9370	Tb927_09_v5.1	1490480	1496053	.	5574	5087	1671	1660	1376	568	511	435
Tb927.9.9380	Tb927_09_v5.1	1496994	1497518	.	525	1460	640	705	426	386	273	180
Tb927.9.9390	Tb927_09_v5.1	1499037	1499906	.	870	2623	1836	874	430	3683	2205	3129
Tb927.9.9400	Tb927_09_v5.1	1501082	1502411	.	1330	2197	1199	321	244	2941	1471	2010
Tb927.9.9410	Tb927_09_v5.1	1503508	1504706	.	1199	1733	1230	277	177	3275	1543	2146
Tb927.9.9420	Tb927_09_v5.1	1505853	1506092	.	240	196	283	88	39	724	160	508
Tb927.9.9430	Tb927_09_v5.1	1507129	1507383	.	255	23	85	230	410	16	6	59
Tb927.9.9450	Tb927_09_v5.1	1508457	1510086	.	1630	2483	1388	2108	3643	1096	672	1844
Tb927.9.9520	Tb927_09_v5.1	1513427	1519539	.	6113	1566	4817	5255	6121	2295	1804	2433
Tb927.9.9550	Tb927_09_v5.1	1521444	1522101	.	658	5390	6856	8515	10110	6046	4603	5832
Tb927.9.9600	Tb927_09_v5.1	1525973	1527147	.	1175	1	6	15	9	1	6	5
Tb927.9.9610	Tb927_09_v5.1	1529627	1529866	.	240	153	3	5	4	135	55	96
Tb927.9.9620	Tb927_09_v5.1	1530910	1531464	.	555	85	74	36	34	31	4	5
Tb927.9.9640	Tb927_09_v5.1	1534301	1534620	.	320	1212	58	63	47	860	692	781
Tb927.9.9870	Tb927_09_v5.1	1564800	1565174	.	375	2	106	124	79	18	3	49
Tb927.9.9950	Tb927_09_v5.1	1573851	1574158	.	308	2	5	1	10	3	2	11
Tb927.9.9990	Tb927_09_v5.1	1580205	1581122	.	918	142	312	259	241	188	124	178
Tb927.9.10010	Tb927_09_v5.1	1583054	1583565	.	512	688	198	134	212	472	590	1618
Tb927.9.10040	Tb927_09_v5.1	1585377	1585716	.	340	762	3042	925	488	2961	1464	449
Tb927.9.10070	Tb927_09_v5.1	1589175	1590134	.	960	294	96	44	13	155	126	60
Tb927.9.10140	Tb927_09_v5.1	1597999	1598373	.	375	80	4	0	5	466	547	448
Tb927.9.10150	Tb927_09_v5.1	1600977	1601241	.	265	0	1	0	1	1	1	1
Tb927.9.10160	Tb927_09_v5.1	1603234	1603418	.	185	1389	123	34	29	1040	839	1057
Tb927.9.10190	Tb927_09_v5.1	1605017	1605551	.	535	336	460	341	541	911	584	928
Tb927.9.10200	Tb927_09_v5.1	1607742	1607876	.	135	274	541	401	541	57	156	71
